This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for AAPL on 9/17/14 16:11:16

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
101.61,Q,+.75,101.61,Q,101.62,Q,15 x 31,"56,646,602",101.27,101.80,100.5922

UNDERLYING EXTRA INFO
Yield,PE,EPS,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
1.85%,16.34,6.22,.47,Q,8/7/14,103.74,63.9286,"5,987,867,000",.9006

SEP 14  (2)  100
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,52.90,X,0,51.55,C,51.70,C,SEP 14,50,0,W,.01,H,.01,A,0,,
,,46.75,A,0,46.55,C,46.70,C,SEP 14,55,0,W,.01,H,.01,X,0,,
,,41.70,H,0,41.55,C,41.70,C,SEP 14,60,0,W,.01,H,.01,Z,0,,
,,34.80,H,0,36.55,C,36.70,A,SEP 14,65,0,W,.01,H,.01,C,0,,
,,30.20,Q,0,31.55,C,31.70,C,SEP 14,70,0,W,.01,H,.01,I,0,,
,,27.90,B,0,27.05,C,27.20,A,SEP 14,74.5,0,W,.01,H,.01,C,0,,
,,26.65,M,+.45,26.55,C,26.70,C,SEP 14,75,0,W,.01,H,.01,M,0,,
,,22.40,C,0,25.55,C,25.70,C,SEP 14,76,0,W,.01,H,.01,C,0,,
,,21.65,A,0,22.55,C,22.70,C,SEP 14,79,0,W,.01,H,.01,C,0,,
,,21.55,A,+.45,21.55,C,21.70,C,SEP 14,80,0,W,.01,H,.01,A,0,,
,,20.82,C,0,20.55,C,20.70,C,SEP 14,81,0,W,.01,H,.01,H,0,,
,,19.25,N,+.74,19.05,C,19.20,C,SEP 14,82.5,0,W,.01,H,.01,H,0,,
,,16.29,B,0,17.55,C,17.70,C,SEP 14,84,0,W,.01,H,.01,T,0,,
,,16.65,Q,+.65,16.55,C,16.70,C,SEP 14,85,0,W,.01,H,.01,I,0,,
,,14.85,X,0,15.55,C,15.70,C,SEP 14,86,0,W,.01,H,.01,N,0,,
,,14.16,X,+.66,14.05,C,14.20,C,SEP 14,87.5,0,W,.01,H,.01,I,0,,
,,12.35,Z,+.91,12.55,C,12.70,A,SEP 14,89,0,C,.01,H,.01,A,-.01,,
,,11.50,H,+.47,11.55,A,11.70,C,SEP 14,90,0,W,.01,H,.01,H,-.01,,
,,10.55,X,+.57,10.50,A,10.70,A,SEP 14,91,.01,Z,.02,H,.01,Z,-.02,,
,,9.00,H,+.45,9.05,A,9.20,A,SEP 14,92.5,.01,Z,.02,H,.01,A,-.01,,
,,7.43,C,+.48,7.55,A,7.70,A,SEP 14,94,.01,Q,.02,H,.02,A,-.02,,
,,6.65,Q,+.65,6.55,A,6.70,A,SEP 14,95,.01,H,.02,H,.02,I,-.02,,
,,5.55,A,+.50,5.60,A,5.70,A,SEP 14,96,.02,H,.03,H,.03,C,-.04,,
,,4.20,C,+.75,4.10,A,4.20,A,SEP 14,97.5,.03,H,.04,H,.04,X,-.09,,
,,2.74,X,+.62,2.67,I,2.72,I,SEP 14,99,.08,Q,.09,H,.08,Z,-.20,,
,,1.82,H,+.42,1.75,A,1.81,C,SEP 14,100,.16,H,.17,Q,.16,X,-.37,,
,,1.01,Z,+.21,1.00,C,1.03,Q,SEP 14,101,.39,H,.41,H,.39,I,-.57,,
,,.46,I,+.04,.46,N,.47,N,SEP 14,102,.84,C,.86,N,.84,H,-.69,,
,,.18,C,-.02,.18,Z,.19,H,SEP 14,103,1.54,C,1.59,Q,1.53,C,-.75,,
,,.07,T,-.03,.06,H,.07,H,SEP 14,104,2.39,A,2.45,H,2.45,H,-.79,,
,,.03,M,-.03,.02,H,.03,M,SEP 14,105,3.35,A,3.45,A,3.45,C,-.60,,
,,.01,C,-.02,.01,H,.02,H,SEP 14,106,4.30,A,4.45,A,4.62,I,-.23,,
,,.02,X,0,0,W,.01,I,SEP 14,107,5.30,A,5.45,A,5.40,A,-.55,,
,,.01,Z,-.01,.01,Q,.02,H,SEP 14,108,6.30,C,6.45,C,6.58,C,-.40,,
,,.01,A,0,0,W,.01,H,SEP 14,109,7.30,A,7.45,C,8.15,A,-.15,,
,,.01,C,0,0,X,.01,H,SEP 14,110,8.30,C,8.45,C,8.85,X,-.90,,
,,.01,C,0,0,W,.01,H,SEP 14,111,9.30,A,9.45,C,9.85,T,-.45,,
,,.01,A,0,0,W,.01,H,SEP 14,112,10.30,C,10.45,C,10.90,A,0,,
,,.01,X,0,0,W,.01,H,SEP 14,113,11.30,C,11.45,C,11.85,X,-.05,,
,,.01,C,0,0,W,.01,H,SEP 14,115,13.30,C,13.45,C,12.94,B,0,,
,,.01,C,0,0,W,.01,H,SEP 14,120,18.30,C,18.45,A,18.50,Q,0,,
,,.01,C,0,0,Z,.01,H,SEP 14,125,23.30,C,23.45,A,21.60,X,0,,
,,.04,C,0,0,W,.01,H,SEP 14,130,28.30,C,28.45,A,, ,,,
,,.01,N,0,0,W,.01,H,SEP 14,135,33.30,C,33.45,A,, ,,,
,,.01,C,0,0,W,.01,H,SEP 14,140,38.30,C,38.45,A,, ,,,
,,, ,,0,W,.01,H,SEP 14,145,43.30,C,43.45,C,, ,,,
,,, ,,0,W,.01,H,SEP 14,150,48.30,C,48.45,C,, ,,,

SEP 14  (2)  10 (Mini)
,,LAST,LX,Net Chng,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,,
,,50.05,Z,0,51.45,A,51.75,A,SEP 14,50,0,B,.07,A,.05,A,0,,
,,, ,,46.45,A,46.75,A,SEP 14,55,0,B,.06,N,, ,,,
,,, ,,41.45,A,41.75,A,SEP 14,60,0,B,.06,N,, ,,,
,,, ,,36.45,A,36.75,A,SEP 14,65,0,B,.06,N,, ,,,
