Recipient.Organization,Appealing.Agency.NATIONAL.INTERNATIONAL,donorCount,totalContrib,countryCount
"?LOVEK V TÍSNI, O.P.S.",,1,5053953,3
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,,1,8217469,1
21 Century Unification Service Organization,,1,500000,1
A Call to Serve International,International NGO,1,0,1
A.I.M.E! International e.V. (Deutschland),International NGO,1,321919,1
Aadamiga USA,International NGO,2,104814,1
AAGAHI,National NGO,1,1174331,1
Aamin Voluntary Relief Organization,National NGO,2,326014,1
AAP,,1,968082,1
Abo Akademi University,,1,46901,1
Abraham's Oasis,Local NGOs,1,25000,1
Abyei Community Action for Development,Local NGOs,1,109794,1
Academy for Educational Development,,1,2000000,1
Access Aid and Development,Local NGOs,2,2041524,1
Access Development and Relief Organization,Undefined,1,147517,1
Access Relief and Development,,1,190000,1
Access to Quality Education Program,,1,1244708,1
Aceh’s People Forum,National NGO,1,99295,1
ACF - Canada,International NGO,1,6572758,5
ACF - France,International NGO,8,95172389,19
ACF - Spain,International NGO,11,139112313,25
ACF - UK,International NGO,2,7874311,7
ACF - USA,International NGO,12,64383781,13
ACT Alliance,International NGO,6,10190307,5
ACT Alliance / Act for Peace,International NGO,2,1350915,2
ACT Alliance / Bread for the World,International NGO,1,1328869,1
ACT Alliance / Canadian Lutheran World Relief,International NGO,1,816876,1
ACT Alliance / Christian Aid,International NGO,6,30135390,15
ACT Alliance / Christian Aid UK,International NGO,5,10090098,5
ACT Alliance / Christian Care,National NGO,1,358821,1
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),International NGO,1,2174000,1
ACT Alliance / Church of Sweden,International NGO,4,24327142,27
ACT Alliance / Church World Service,International NGO,4,12910203,7
ACT Alliance / Church World Service - Indonesia,National NGO,1,199989,1
ACT Alliance / DanChurchAid,International NGO,15,117246455,31
"ACT Alliance / Diakonia, Sweden",International NGO,4,5760761,1
ACT Alliance / Diakonie Emergency Aid,International NGO,8,57279841,26
ACT Alliance / Finn Church Aid,International NGO,6,38772565,21
ACT Alliance / Hungarian Interchurch Aid,International NGO,1,139643,5
ACT Alliance / Interchurch Organisation for Development Co-operation,International NGO,1,20954494,3
ACT Alliance / Life With Dignity,National NGO,1,54666,1
ACT Alliance / Lutheran Development Service,International NGO,1,220946,1
ACT Alliance / Lutheran World Federation,International NGO,12,21453988,11
ACT Alliance / Lutheran World Federation Nepal,International NGO,1,1758525,1
ACT Alliance / Lutheran World Relief,International NGO,6,13249837,10
ACT Alliance / National Council of Churches of Kenya,National NGO,3,494164,1
ACT Alliance / Norwegian Church Aid,International NGO,13,125593663,22
ACT Alliance / Sudan Council of Churches,National NGO,1,200000,1
ACT Alliance / United Methodist Committee on Relief,International NGO,5,21766257,7
ACT Alliance / World Renew,International NGO,1,1701572,1
ACT Alliance / YAKKUM Emergency Unit,SINGO,1,305119,1
Action Against Disasters Somalia,National NGO,1,241496,1
Action by Churches Together (ACT),Undefined,1,92200,1
Action Chretienne pour combattre la pauvretre et l'analphabetisme,Undefined,1,150014,1
Action Contre la Faim,International NGO,22,239938581,41
Action Contre la Pauvreté (ACP),International NGO,2,1692024,2
Action d'Espoir,Local NGOs,1,2515489,1
Action de Dévelopement Durable en Afrique,Undefined,1,33921,1
Action for Community Transformation Organization - Afghanistan,Undefined,1,196824,1
Action for Relief and Development,Local NGOs,1,184363,1
Action for Youth & Environmental Development,,2,3184824,1
Action on Armed Violence,International NGO,1,6336246,4
Action pour le Bien Etre Communautaire (ABC),International NGO,1,201210,1
Action pour un Monde Uni,International NGO,1,645529,1
Action Solidarité Tiers Monde,International NGO,1,126706,2
ActionAid,International NGO,8,43832780,13
Actions et Interventions pour le Développement et l'Encadrement Social,National NGO,1,864928,1
Actions Médicales Internationale,International NGO,1,4283002,4
Actions pour la Protection et l’Encadrement de l’Enfant,Local NGOs,1,141074,1
Actions pour le Developpement Integre en Mileu Rural,Local NGOs,1,163086,1
Active Development Aid,Undefined,1,1579881,1
Active Learning Network for Accountability and Performance,International NGO,4,1389698,1
Ad Council,International NGO,1,388842,1
ADU_04,,1,1195414,1
Advancement for Small Enterprise Programme,National NGO,2,539414,1
Adventist Development and Relief Agency ,International NGO,15,105011014,42
Aertze der Welt e.V.,International NGO,1,3752178,2
Afghan Global Development Organization,National NGO,1,266001,1
Afghan NGO Security Office,National NGO,1,200000,1
Afghan Reconstruction Trust Fund,,1,2801120,1
Afghan Red Crescent,,1,10000,1
Afghan Social and Agricultural Affairs Rehabilitation Organization,,1,320046,1
Afghan Technical Consultants,,1,2132242,1
Afghan Women Association for Rehabilitation & Development,National NGO,1,418516,1
Afghanaid,International NGO,7,5715611,1
Afghanistan Center for Training and Development,National NGO,1,1847767,1
Afghanistan Demain,International NGO,1,333173,1
Afghanistan Development & Educational Organization,Undefined,1,858612,1
Afghanistan Independent Human Rights Commission,,1,1503409,1
Afghanistan Landmine Survivors' Organisation,National NGO,1,98954,1
Africa 2000 Network,SINGO,1,296839,1
Africa Centre for Holistic Management,,1,2977001,1
Africa Development Corps,International NGO,1,83682,1
Africa Humanitarian Action,SINGO,2,899381,2
Africa Solidarity Trust Fund,,1,500000,1
African Development and Emergency Organisation,SINGO,1,71797,1
African Development Solutions,SINGO,3,13410247,2
African Medical and Research Foundation,SINGO,1,599065,1
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,SINGO,1,165444,1
African Rescue Committee,SINGO,2,5499877,1
African Union,,5,19415212,1
Africare,International NGO,1,24588841,7
Afrique Verte Mali,Affiliated National NGO,2,773095,1
Afrique Verte Niger,Affiliated National NGO,2,2388556,1
Aga Khan Foundation,,5,15316664,4
Aga Khan Foundation Tajikistan,Affiliated National NGO,1,929615,1
AGEF,Undefined,1,312614,1
Agence Humanitaire Africaine,,1,601056,1
Agency for Cooperation and Research in Development,SINGO,3,1981655,3
Agency for Peace and Development,International NGO,1,1239612,1
Agency for rehabilitation and Energy-Conservation in Afghanistan,National NGO,1,60000,1
Agency for Technical Cooperation and Development,International NGO,23,308411765,36
AGHSAN,,1,242464,1
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,International NGO,1,24609709,4
Agricultural Development Organisation,National NGO,1,378400,1
AGROCARE Community Development Association,,1,359848,1
Agronomes et Vétérinaires Sans Frontières,International NGO,3,5382086,3
AGROSPHERE,International NGO,1,1688740,1
Aid for Refugees and Orphans,Local NGOs,1,76016,1
Aide à l''Enfance de l''Inde,Affiliated National NGO,1,271723,2
Aide à l'Enfance de Canada,International NGO,1,2023121,1
Aide Médicale  Internationale ,International NGO,4,8347616,5
AiN - Afghanistankomiteen i Norge,,1,829044,1
Air Serv International,International NGO,1,7290065,1
Airlink,,1,3000000,1
AISHA Association for Woman and Child Protection,Local NGOs,1,412485,1
Aktion Deutschland Hilft,International NGO,1,213171,2
Al-Afeea Fund,,1,493600,1
Al-Ahleya Association for the development of palm and dates,National NGO,1,217843,1
Al-Amal Charity Organization for the Disabled,Local NGOs,1,330822,1
Al-Amal Community for Social Welfare,,1,99854,1
Al-Khidmat Foundation,,1,407318,1
Al-Ofiq Organization for Development and Emergency,,1,168979,1
Al Ihsan NGO,Local NGOs,1,499994,1
Al Mamoura Humanitarian Establishment,Local NGOs,1,228472,1
Al Zubair Charity Organisation,National NGO,1,129246,1
Alaska Sudan Medical Project,International NGO,2,293129,1
Albanian Red Cross,,1,50000,1
Alber Charity Society,,1,60100,1
Alfajr Palestinian Youth Association,National NGO,1,144130,1
Algerian Red Crescent,,1,6103548,1
All Hands Volunteers (previously Hands On Disaster Response),International NGO,1,302993,1
Alliance for International Medical Action,,9,34541390,8
Allianz Mission,International NGO,1,33687,1
Almanar Voluntary Organization,National NGO,1,2547168,1
Almassar Charity Organization for Nomads,Local NGOs,1,1810195,1
Alpha Ujuvi,Local NGOs,1,2735725,1
Alpistan,International NGO,1,250000,1
Alsalam Organization for Rehabilitation and Development,Local NGOs,1,1579497,1
Alshroog Organization for Social and Culture Development,,1,124999,1
Aman Organization,National NGO,1,172238,1
AMAR Foundation,,1,486111,1
American Institutes for Research,,1,5000000,1
American Jewish Joint Distribution Committee,,1,3200000,2
American Jewish World Service,International NGO,4,5140000,1
American Lebanese Language Center,,1,150000,1
American Near East Refugee Aid,SINGO,1,999019,1
American Red Cross,,235,271314924,12
American Refugee Committee,International NGO,13,75723185,9
Americares,International NGO,8,3480000,6
Amis des Personnes en Détresse,Undefined,1,103819,1
Amnesty International Norge,International NGO,1,3547013,1
AMURT International,SINGO,2,2625701,2
AMURT/Ananda Marga Universal Relief Team (USA),SINGO,1,245300,1
ANGLO AMERICAN PLC,,1,10000000,1
"Anhar for Peace, Development and Humanitarian Work Organization",Local NGOs,1,366036,1
Antares Foundation,,1,24250,1
APEC (Association pour la protection de l'enfance  au Congo),,1,3111443,1
APHEDA,International NGO,1,933707,1
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),Undefined,2,4361927,5
Apostolic Christian World Relief,International NGO,1,10000,1
Applied Research Institute Jerusalem,,3,698870,1
APPRONA,,1,148275,1
Appui aux Femmes Démunies et Enfants Marginalisés,Local NGOs,2,4864508,1
Appui aux Initiatives de Bien Etre Familial,,1,941830,1
AQUADEV,International NGO,1,0,1
Arab Agronomist Association,National NGO,2,277770,2
Arab Fund for Human Rights,SINGO,1,91693,1
