DONOR,obsValue.1990,obsValue.1991,obsValue.1992,obsValue.1993,obsValue.1994,obsValue.1995,obsValue.1996,obsValue.1997,obsValue.1998,obsValue.1999,obsValue.2000,obsValue.2001,obsValue.2002,obsValue.2003,obsValue.2004,obsValue.2005,obsValue.2006,obsValue.2007,obsValue.2008,obsValue.2009,obsValue.2010,obsValue.2011,obsValue.2012,obsValue.2013,obsValue.2014
Australia,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,106.92,123.99,145.2,121.78,189.37,156.01,170.03,166.95,237.46,251.07,269.82,280.54,277.98,291.8,330.67,341.96,309.85,288.63,298.69,300.05
Belgium,208.81,304.58,253.77,229.01,298.76,280.18,259.55,299.46,307.8,348.72,354.73,358.47,365.67,405.76,427.68,459.83,473.5,490.63,552.36,608.96,579.89,518.78,472.15,495.65,469.23
Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,48.9,83.73,87.26,90.96,105.15,92.84,110.63,133.33,119.5,118.23,127.59
Denmark,119.2,145.01,132.36,161.55,158.82,155.18,124.24,145.48,181.45,128.02,176.9,168.4,194.13,212.86,232.24,247.5,267.55,260.73,270.59,278.65,264.2,270.95,253,260.94,263.55
Finland,,,,,,55.67,67.02,73.89,99.37,89.9,91.09,98.92,106.95,151.93,163.55,176.13,189.57,193.93,214.41,222.31,216.07,214.55,198.39,198.29,194.09
France,1180.77,1397.53,1299.29,1260.36,1342.96,1283.18,1113.44,1314.58,1167.21,1240.99,1401.57,1863.27,2138.12,1784.94,2268.79,2163.57,2243.55,2232.19,2425.9,2879.67,2747.03,2360.43,2182.54,2271.82,2276.85
Germany,1168.23,1848.47,1601.86,1551.24,1860.54,1798.28,1612.4,1819.95,1709.1,1908.71,2081.62,1952.01,2008.9,2111.84,2231.23,2603.73,2504.11,2577.59,2782.74,2908.95,3073.76,2677.61,2561.65,2620.07,2748.98
Greece,,,,,,,185.74,174.33,144.9,144.74,183.44,177.31,218.13,162.27,177.89,191.26,190.61,224.78,223.97,270.53,273.54,239.2,205.96,179.82,185.3
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,41.83,55.82,48.86,48.21,66.52,70.46,65.56,63.91,80.27,93.75,83.22,105.38,97.48,90.92,101.91,119.59,125.25,123.05,138.98,157.87,169.55,149.14,133.29,131.4,138.51
Italy,679.16,949.98,847.92,993.36,1067.88,1063.12,834.84,999.56,1144.66,1133.18,1205.55,1170.5,1324.29,1323.9,1477.95,1542.15,1563.69,1588.95,1686.59,1862.02,1632.72,1893.53,1588.41,1605.31,1614.75
Japan,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,11.99,18.81,16.88,20,18.18,18.61,21.67,25.95,35.03,28.68,22.07,27.47,28.2,31.06,29.41,34.53,31.34,38.96,37.82,44.06,39.24,36.18,32.7,38,32.93
