"to.DONOR","to.obsValue","to.obsTime","to.RECIPIENT"
"United Kingdom",69928000,2006,"Central Emergency Response Fund"
"Netherlands",51860000,2006,"Central Emergency Response Fund"
"Sweden",41093250,2006,"Central Emergency Response Fund"
"Norway",29993971,2006,"Central Emergency Response Fund"
"Canada",21941309,2006,"Central Emergency Response Fund"
"Ireland",12601974,2006,"Central Emergency Response Fund"
"United States of America",1e+07,2006,"Central Emergency Response Fund"
"Spain",9999984,2006,"Central Emergency Response Fund"
"Denmark",8401243,2006,"Central Emergency Response Fund"
"Australia",7600000,2006,"Central Emergency Response Fund"
"Japan",7500000,2006,"Central Emergency Response Fund"
"Finland",5154000,2006,"Central Emergency Response Fund"
"Republic of Korea",5e+06,2006,"Central Emergency Response Fund"
"Luxembourg",4e+06,2006,"Central Emergency Response Fund"
"Switzerland",3928097,2006,"Central Emergency Response Fund"
"Belgium",2666194,2006,"Central Emergency Response Fund"
"Qatar",2e+06,2006,"Central Emergency Response Fund"
"France",1263800,2006,"Central Emergency Response Fund"
"India",1e+06,2006,"Central Emergency Response Fund"
"Turkey",3e+05,2006,"Central Emergency Response Fund"
"South Africa",288577,2006,"Central Emergency Response Fund"
"Portugal",254220,2006,"Central Emergency Response Fund"
"Poland",250000,2006,"Central Emergency Response Fund"
"Kuwait",2e+05,2006,"Central Emergency Response Fund"
"Iceland",150000,2006,"Central Emergency Response Fund"
"Czech Republic",113302,2006,"Central Emergency Response Fund"
"Greece",1e+05,2006,"Central Emergency Response Fund"
"Nigeria",1e+05,2006,"Central Emergency Response Fund"
"Liechtenstein",1e+05,2006,"Central Emergency Response Fund"
"Estonia",52102,2006,"Central Emergency Response Fund"
"Saudi Arabia",50000,2006,"Central Emergency Response Fund"
"Indonesia",50000,2006,"Central Emergency Response Fund"
"Malaysia",50000,2006,"Central Emergency Response Fund"
"Mexico",50000,2006,"Central Emergency Response Fund"
"Andorra",25440,2006,"Central Emergency Response Fund"
"Monaco",25000,2006,"Central Emergency Response Fund"
"Kazakhstan",25000,2006,"Central Emergency Response Fund"
"Ecuador",20000,2006,"Central Emergency Response Fund"
"Pakistan",20000,2006,"Central Emergency Response Fund"
"Azerbaijan",20000,2006,"Central Emergency Response Fund"
"Trinidad and Tobago",20000,2006,"Central Emergency Response Fund"
"Egypt",15000,2006,"Central Emergency Response Fund"
"Grenada",10000,2006,"Central Emergency Response Fund"
"Slovenia",10000,2006,"Central Emergency Response Fund"
"Thailand",10000,2006,"Central Emergency Response Fund"
"Sri Lanka",10000,2006,"Central Emergency Response Fund"
"Antigua and Barbuda",5000,2006,"Central Emergency Response Fund"
"Bangladesh",5000,2006,"Central Emergency Response Fund"
"Morocco",5000,2006,"Central Emergency Response Fund"
"Croatia",5000,2006,"Central Emergency Response Fund"
"Armenia",5000,2006,"Central Emergency Response Fund"
"Djibouti",2000,2006,"Central Emergency Response Fund"
"Hyogo Prefecture Japan",424989,2006,"Central Emergency Response Fund"
"Disaster Resource Network",10000,2006,"Central Emergency Response Fund"
"United Kingdom",83726040,2007,"Central Emergency Response Fund"
"Norway",55066049,2007,"Central Emergency Response Fund"
"Netherlands",53400000,2007,"Central Emergency Response Fund"
"Sweden",51045498,2007,"Central Emergency Response Fund"
"Canada",35116374,2007,"Central Emergency Response Fund"
"Ireland",26273974,2007,"Central Emergency Response Fund"
"Spain",20692484,2007,"Central Emergency Response Fund"
"Australia",8760000,2007,"Central Emergency Response Fund"
"Denmark",8742384,2007,"Central Emergency Response Fund"
"Switzerland",8194982,2007,"Central Emergency Response Fund"
"Finland",6726000,2007,"Central Emergency Response Fund"
"Germany",6597500,2007,"Central Emergency Response Fund"
"Luxembourg",5610800,2007,"Central Emergency Response Fund"
"Belgium",2988914,2007,"Central Emergency Response Fund"
"Italy",2670400,2007,"Central Emergency Response Fund"
"Republic of Korea",1500000,2007,"Central Emergency Response Fund"
"France",1312100,2007,"Central Emergency Response Fund"
"India",1e+06,2007,"Central Emergency Response Fund"
"New Zealand",762700,2007,"Central Emergency Response Fund"
"Iceland",558618,2007,"Central Emergency Response Fund"
"Poland",510000,2007,"Central Emergency Response Fund"
"China",5e+05,2007,"Central Emergency Response Fund"
"Austria",401430,2007,"Central Emergency Response Fund"
"Romania",359625,2007,"Central Emergency Response Fund"
"Turkey",3e+05,2007,"Central Emergency Response Fund"
"Portugal",268540,2007,"Central Emergency Response Fund"
"South Africa",240000,2007,"Central Emergency Response Fund"
"Liechtenstein",123244,2007,"Central Emergency Response Fund"
"Czech Republic",121353,2007,"Central Emergency Response Fund"
"Malaysia",1e+05,2007,"Central Emergency Response Fund"
"Indonesia",1e+05,2007,"Central Emergency Response Fund"
"Mexico",50000,2007,"Central Emergency Response Fund"
"Bahamas",50000,2007,"Central Emergency Response Fund"
"Slovenia",50000,2007,"Central Emergency Response Fund"
"Saudi Arabia",50000,2007,"Central Emergency Response Fund"
"Brunei Darussalam",50000,2007,"Central Emergency Response Fund"
"Kazakhstan",50000,2007,"Central Emergency Response Fund"
"Estonia",39739,2007,"Central Emergency Response Fund"
"Monaco",35000,2007,"Central Emergency Response Fund"
"Israel",30000,2007,"Central Emergency Response Fund"
"Brazil",30000,2007,"Central Emergency Response Fund"
"Chile",30000,2007,"Central Emergency Response Fund"
"Cyprus",30000,2007,"Central Emergency Response Fund"
"Andorra",29735,2007,"Central Emergency Response Fund"
"Trinidad and Tobago",20000,2007,"Central Emergency Response Fund"
"Ecuador",20000,2007,"Central Emergency Response Fund"
"Colombia",20000,2007,"Central Emergency Response Fund"
"Croatia",20000,2007,"Central Emergency Response Fund"
"Azerbaijan",20000,2007,"Central Emergency Response Fund"
"Pakistan",19967,2007,"Central Emergency Response Fund"
"Egypt",15000,2007,"Central Emergency Response Fund"
"Sri Lanka",10000,2007,"Central Emergency Response Fund"
"Hungary",10000,2007,"Central Emergency Response Fund"
"Bulgaria",10000,2007,"Central Emergency Response Fund"
"Malta",10000,2007,"Central Emergency Response Fund"
"Algeria",10000,2007,"Central Emergency Response Fund"
"Thailand",10000,2007,"Central Emergency Response Fund"
"Jamaica",5000,2007,"Central Emergency Response Fund"
"Armenia",5000,2007,"Central Emergency Response Fund"
"Antigua and Barbuda",5000,2007,"Central Emergency Response Fund"
"Peru",5000,2007,"Central Emergency Response Fund"
"Morocco",5000,2007,"Central Emergency Response Fund"
"Philippines",5000,2007,"Central Emergency Response Fund"
"Lebanon",3000,2007,"Central Emergency Response Fund"
"Djibouti",2000,2007,"Central Emergency Response Fund"
"El Salvador",2000,2007,"Central Emergency Response Fund"
"Maldives",1000,2007,"Central Emergency Response Fund"
"Hyogo Prefecture Japan",435578,2007,"Central Emergency Response Fund"
"Private Donations through UNF",117959,2007,"Central Emergency Response Fund"
"Jan Egeland",17240,2007,"Central Emergency Response Fund"
"Humanity First",10000,2007,"Central Emergency Response Fund"
"Disaster Resource Network",9978,2007,"Central Emergency Response Fund"
"Private donations outside United Nations Foundation (under $10,000)",8107,2007,"Central Emergency Response Fund"
"United Kingdom",80239000,2008,"Central Emergency Response Fund"
"Netherlands",63900000,2008,"Central Emergency Response Fund"
"Sweden",56264400,2008,"Central Emergency Response Fund"
"Norway",55258765,2008,"Central Emergency Response Fund"
"Spain",45531968,2008,"Central Emergency Response Fund"
"Canada",39037523,2008,"Central Emergency Response Fund"
"Ireland",33301074,2008,"Central Emergency Response Fund"
"Germany",14790000,2008,"Central Emergency Response Fund"
"Denmark",9931473,2008,"Central Emergency Response Fund"
"Australia",9517000,2008,"Central Emergency Response Fund"
"Finland",7791000,2008,"Central Emergency Response Fund"
"Switzerland",7241825,2008,"Central Emergency Response Fund"
"Luxembourg",6190400,2008,"Central Emergency Response Fund"
"United States of America",5e+06,2008,"Central Emergency Response Fund"
"Italy",2935400,2008,"Central Emergency Response Fund"
"Belgium",2539594,2008,"Central Emergency Response Fund"
"France",2223046,2008,"Central Emergency Response Fund"
"Japan",2169083,2008,"Central Emergency Response Fund"
"Republic of Korea",2e+06,2008,"Central Emergency Response Fund"
"Austria",1030055,2008,"Central Emergency Response Fund"
"New Zealand",1e+06,2008,"Central Emergency Response Fund"
"Iceland",611243,2008,"Central Emergency Response Fund"
"China",5e+05,2008,"Central Emergency Response Fund"
"Portugal",312400,2008,"Central Emergency Response Fund"
"Greece",3e+05,2008,"Central Emergency Response Fund"
"Turkey",3e+05,2008,"Central Emergency Response Fund"
"Poland",3e+05,2008,"Central Emergency Response Fund"
"South Africa",221538,2008,"Central Emergency Response Fund"
"Liechtenstein",196136,2008,"Central Emergency Response Fund"
"Czech Republic",153875,2008,"Central Emergency Response Fund"
"Monaco",139313,2008,"Central Emergency Response Fund"
"Malaysia",1e+05,2008,"Central Emergency Response Fund"
"Qatar",1e+05,2008,"Central Emergency Response Fund"
"Mexico",1e+05,2008,"Central Emergency Response Fund"
"Chile",1e+05,2008,"Central Emergency Response Fund"
"Saudi Arabia",1e+05,2008,"Central Emergency Response Fund"
"Indonesia",1e+05,2008,"Central Emergency Response Fund"
"Estonia",91200,2008,"Central Emergency Response Fund"
"Kuwait",50000,2008,"Central Emergency Response Fund"
"Brazil",50000,2008,"Central Emergency Response Fund"
"Kazakhstan",50000,2008,"Central Emergency Response Fund"
"United Arab Emirates",50000,2008,"Central Emergency Response Fund"
"Slovenia",50000,2008,"Central Emergency Response Fund"
"Croatia",34000,2008,"Central Emergency Response Fund"
"Andorra",33495,2008,"Central Emergency Response Fund"
"Argentina",30000,2008,"Central Emergency Response Fund"
"Lithuania",20845,2008,"Central Emergency Response Fund"
"Ecuador",20000,2008,"Central Emergency Response Fund"
"Thailand",20000,2008,"Central Emergency Response Fund"
"Trinidad and Tobago",20000,2008,"Central Emergency Response Fund"
"Pakistan",20000,2008,"Central Emergency Response Fund"
"Hungary",20000,2008,"Central Emergency Response Fund"
"Latvia",20000,2008,"Central Emergency Response Fund"
"Israel",15000,2008,"Central Emergency Response Fund"
"Egypt",15000,2008,"Central Emergency Response Fund"
"Peru",10000,2008,"Central Emergency Response Fund"
"Guatemala",10000,2008,"Central Emergency Response Fund"
"Bulgaria",10000,2008,"Central Emergency Response Fund"
"Algeria",10000,2008,"Central Emergency Response Fund"
"Mongolia",10000,2008,"Central Emergency Response Fund"
"Sri Lanka",9982,2008,"Central Emergency Response Fund"
"Holy See*",5000,2008,"Central Emergency Response Fund"
"Morocco",5000,2008,"Central Emergency Response Fund"
"Tunisia",5000,2008,"Central Emergency Response Fund"
"Philippines",5000,2008,"Central Emergency Response Fund"
"Ghana",5000,2008,"Central Emergency Response Fund"
"Bangladesh",5000,2008,"Central Emergency Response Fund"
"Armenia",5000,2008,"Central Emergency Response Fund"
"Bosnia and Herzegovina",5000,2008,"Central Emergency Response Fund"
"Syrian Arab Republic",5000,2008,"Central Emergency Response Fund"
"Antigua and Barbuda",5000,2008,"Central Emergency Response Fund"
"Botswana",5000,2008,"Central Emergency Response Fund"
"Guyana",4913,2008,"Central Emergency Response Fund"
"San Marino",4413,2008,"Central Emergency Response Fund"
"Albania",3000,2008,"Central Emergency Response Fund"
"Montenegro",2500,2008,"Central Emergency Response Fund"
"The former Yugoslav Republic of Macedonia",2000,2008,"Central Emergency Response Fund"
"Bhutan",1480,2008,"Central Emergency Response Fund"
"Maldives",1000,2008,"Central Emergency Response Fund"
"Price Waterhouse Coopers",5e+05,2008,"Central Emergency Response Fund"
"SCOR Group",2e+05,2008,"Central Emergency Response Fund"
"Private Donations through UNF",118201,2008,"Central Emergency Response Fund"
"Western Union Foundation",1e+05,2008,"Central Emergency Response Fund"
"Alexander Bodini Foundation",10000,2008,"Central Emergency Response Fund"
"Disaster Resource Network",5000,2008,"Central Emergency Response Fund"
"Private donations outside United Nations Foundation (under $10,000)",3515,2008,"Central Emergency Response Fund"
"Humanity First",2500,2008,"Central Emergency Response Fund"
"United Kingdom",64262000,2009,"Central Emergency Response Fund"
"Netherlands",55668000,2009,"Central Emergency Response Fund"
"Sweden",49367572,2009,"Central Emergency Response Fund"
"Spain",44348982,2009,"Central Emergency Response Fund"
"Norway",42734983,2009,"Central Emergency Response Fund"
"Canada",34566877,2009,"Central Emergency Response Fund"
"Ireland",27179610,2009,"Central Emergency Response Fund"
"Germany",19522484,2009,"Central Emergency Response Fund"
"Denmark",8544087,2009,"Central Emergency Response Fund"
"Finland",8198400,2009,"Central Emergency Response Fund"
"Australia",7821600,2009,"Central Emergency Response Fund"
"Belgium",7272905,2009,"Central Emergency Response Fund"
"Luxembourg",5696400,2009,"Central Emergency Response Fund"
"Switzerland",4657370,2009,"Central Emergency Response Fund"
"Republic of Korea",3e+06,2009,"Central Emergency Response Fund"
"Italy",1358868,2009,"Central Emergency Response Fund"
"New Zealand",1e+06,2009,"Central Emergency Response Fund"
"Japan",1e+06,2009,"Central Emergency Response Fund"
"Greece",5e+05,2009,"Central Emergency Response Fund"
"China",5e+05,2009,"Central Emergency Response Fund"
"India",5e+05,2009,"Central Emergency Response Fund"
"Austria",424740,2009,"Central Emergency Response Fund"
"Poland",3e+05,2009,"Central Emergency Response Fund"
"Portugal",263020,2009,"Central Emergency Response Fund"
"Liechtenstein",230840,2009,"Central Emergency Response Fund"
"Iceland",2e+05,2009,"Central Emergency Response Fund"
"Turkey",2e+05,2009,"Central Emergency Response Fund"
"South Africa",180000,2009,"Central Emergency Response Fund"
"Mexico",150000,2009,"Central Emergency Response Fund"
"Saudi Arabia",150000,2009,"Central Emergency Response Fund"
"Brazil",149985,2009,"Central Emergency Response Fund"
"Czech Republic",143176,2009,"Central Emergency Response Fund"
"Monaco",141692,2009,"Central Emergency Response Fund"
"Indonesia",125000,2009,"Central Emergency Response Fund"
"Malaysia",1e+05,2009,"Central Emergency Response Fund"
"Estonia",80845,2009,"Central Emergency Response Fund"
"Slovenia",66588,2009,"Central Emergency Response Fund"
"Hungary",54088,2009,"Central Emergency Response Fund"
"Qatar",50000,2009,"Central Emergency Response Fund"
"Kuwait",50000,2009,"Central Emergency Response Fund"
"Kazakhstan",50000,2009,"Central Emergency Response Fund"
"Colombia",40000,2009,"Central Emergency Response Fund"
"Andorra",38986,2009,"Central Emergency Response Fund"
"Argentina",30000,2009,"Central Emergency Response Fund"
"San Marino",30000,2009,"Central Emergency Response Fund"
"Oman",30000,2009,"Central Emergency Response Fund"
"Croatia",24000,2009,"Central Emergency Response Fund"
"Trinidad and Tobago",20000,2009,"Central Emergency Response Fund"
"Chile",20000,2009,"Central Emergency Response Fund"
"Egypt",15000,2009,"Central Emergency Response Fund"
"Pakistan",15000,2009,"Central Emergency Response Fund"
"Israel",15000,2009,"Central Emergency Response Fund"
"Bulgaria",14966,2009,"Central Emergency Response Fund"
"Peru",10000,2009,"Central Emergency Response Fund"
"Myanmar",10000,2009,"Central Emergency Response Fund"
"Algeria",10000,2009,"Central Emergency Response Fund"
"Ghana",10000,2009,"Central Emergency Response Fund"
"Viet Nam",10000,2009,"Central Emergency Response Fund"
"Sri Lanka",10000,2009,"Central Emergency Response Fund"
"Republic of Moldova",10000,2009,"Central Emergency Response Fund"
"Philippines",10000,2009,"Central Emergency Response Fund"
"Slovakia",10000,2009,"Central Emergency Response Fund"
"Azerbaijan",10000,2009,"Central Emergency Response Fund"
"Kenya",9895,2009,"Central Emergency Response Fund"
"Holy See*",5000,2009,"Central Emergency Response Fund"
"Morocco",5000,2009,"Central Emergency Response Fund"
"Venezuela",5000,2009,"Central Emergency Response Fund"
"Armenia",5000,2009,"Central Emergency Response Fund"
"Jamaica",5000,2009,"Central Emergency Response Fund"
"Syrian Arab Republic",5000,2009,"Central Emergency Response Fund"
"Antigua and Barbuda",5000,2009,"Central Emergency Response Fund"
"Montenegro",4975,2009,"Central Emergency Response Fund"
"Albania",3500,2009,"Central Emergency Response Fund"
"Lao People's Democratic Republic",3000,2009,"Central Emergency Response Fund"
"Republic of Congo",2256,2009,"Central Emergency Response Fund"
"Mozambique",2000,2009,"Central Emergency Response Fund"
"Samoa",2000,2009,"Central Emergency Response Fund"
"Afghanistan",1500,2009,"Central Emergency Response Fund"
"Benin",1500,2009,"Central Emergency Response Fund"
"Haiti",1480,2009,"Central Emergency Response Fund"
"Bhutan",1480,2009,"Central Emergency Response Fund"
"Timor-Leste",1200,2009,"Central Emergency Response Fund"
"Tuvalu",1000,2009,"Central Emergency Response Fund"
"Namibia",1000,2009,"Central Emergency Response Fund"
"Abu Dhabi National Energy Company «TAQA»",150000,2009,"Central Emergency Response Fund"
"Western Union Foundation",1e+05,2009,"Central Emergency Response Fund"
"HSBC Bank Middle East Limited",1e+05,2009,"Central Emergency Response Fund"
"Private Donations through UNF",56030,2009,"Central Emergency Response Fund"
"Alexander Bodini Foundation",15000,2009,"Central Emergency Response Fund"
"The Estate of George Gary",10408,2009,"Central Emergency Response Fund"
"Baha'I International Community (National Spiritual Assembly)",10000,2009,"Central Emergency Response Fund"
"Red Crescent of UAE",9982,2009,"Central Emergency Response Fund"
"Private donations outside United Nations Foundation (under $10,000)",1400,2009,"Central Emergency Response Fund"
"Norway",65483535,2010,"Central Emergency Response Fund"
"Sweden",64369548,2010,"Central Emergency Response Fund"
"United Kingdom",60005700,2010,"Central Emergency Response Fund"
"Netherlands",54984000,2010,"Central Emergency Response Fund"
"Spain",39585000,2010,"Central Emergency Response Fund"
"Canada",37328450,2010,"Central Emergency Response Fund"
"Germany",21735000,2010,"Central Emergency Response Fund"
"Denmark",11135478,2010,"Central Emergency Response Fund"
"Australia",10986000,2010,"Central Emergency Response Fund"
"United States of America",1e+07,2010,"Central Emergency Response Fund"
"Belgium",8387538,2010,"Central Emergency Response Fund"
"Finland",8079000,2010,"Central Emergency Response Fund"
"Luxembourg",5775000,2010,"Central Emergency Response Fund"
"Ireland",5099972,2010,"Central Emergency Response Fund"
"Switzerland",4568942,2010,"Central Emergency Response Fund"
"Republic of Korea",3e+06,2010,"Central Emergency Response Fund"
"Japan",2e+06,2010,"Central Emergency Response Fund"
"Russian Federation",2e+06,2010,"Central Emergency Response Fund"
"Italy",1502270,2010,"Central Emergency Response Fund"
"China",1500000,2010,"Central Emergency Response Fund"
"New Zealand",1e+06,2010,"Central Emergency Response Fund"
"France",657250,2010,"Central Emergency Response Fund"
"Austria",548400,2010,"Central Emergency Response Fund"
"Ukraine",503310,2010,"Central Emergency Response Fund"
"India",5e+05,2010,"Central Emergency Response Fund"
"Greece",5e+05,2010,"Central Emergency Response Fund"
"Portugal",286000,2010,"Central Emergency Response Fund"
"South Africa",263540,2010,"Central Emergency Response Fund"
"Poland",250000,2010,"Central Emergency Response Fund"
"Liechtenstein",235073,2010,"Central Emergency Response Fund"
"Turkey",2e+05,2010,"Central Emergency Response Fund"
"Brazil",2e+05,2010,"Central Emergency Response Fund"
"Central African Republic",197239,2010,"Central Emergency Response Fund"
"Mexico",150000,2010,"Central Emergency Response Fund"
"Indonesia",150000,2010,"Central Emergency Response Fund"
"Romania",136900,2010,"Central Emergency Response Fund"
"Monaco",134778,2010,"Central Emergency Response Fund"
"Iceland",1e+05,2010,"Central Emergency Response Fund"
"San Marino",1e+05,2010,"Central Emergency Response Fund"
"Estonia",74057,2010,"Central Emergency Response Fund"
"Argentina",50000,2010,"Central Emergency Response Fund"
