"to.RECIPIENT","to.DONOR","to.PART","to.AIDTYPE","to.DATATYPE","to.TIME_FORMAT","to.UNIT","to.POWERCODE","to.REFERENCEPERIOD","to.obsTime","to.obsValue"
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1990",2.68
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1991",2.72
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1992",2.74
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1993",2.67
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1994",2.69
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1995",2.54
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1996",2.62
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1997",2.34
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1998",2.58
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1999",2.43
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2000",1.74
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2001",1.6
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2002",1.84
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2003",1.6
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2004",1.87
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2005",1.68
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2006",1.8
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2007",2.05
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2008",2.08
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2009",2.04
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2010",2.02
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2011",1.99
"UNICEF","Austria","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2013",1.59
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1990",88.64
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1991",81.27
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1992",91
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1993",75.16
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1994",73.21
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1995",57.09
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1996",56.5
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1997",55.71
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1998",48.78
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","1999",51.17
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2000",55.65
"UNICEF","Sweden","1 : Part I - Developing Countries","ODA: Total Net","Constant Prices","Annual","US Dollar","millions","2013","2001",55.67
