"DONOR","obsTime","obsValue","REFERENCEPERIOD"
"Adaptation Fund","2013",1,"2013"
"Adaptation Fund","2014",0.993758275014186,"2013"
"AfDB (African Dev. Bank)","2001",1.56965988330724,"2013"
"AfDB (African Dev. Bank)","2002",1.51484248788368,"2013"
"AfDB (African Dev. Bank)","2003",1.3308615819209,"2013"
"AfDB (African Dev. Bank)","2004",1.21899612868776,"2013"
"AfDB (African Dev. Bank)","2005",1.18302147885205,"2013"
"AfDB (African Dev. Bank)","2006",1.15707092819615,"2013"
"AfDB (African Dev. Bank)","2007",1.07533469480372,"2013"
"AfDB (African Dev. Bank)","2008",1.0224091216979,"2013"
"AfDB (African Dev. Bank)","2009",1.05543595263724,"2013"
"AfDB (African Dev. Bank)","2010",1.04408880520907,"2013"
"AfDB (African Dev. Bank)","2011",0.983143818065343,"2013"
"AfDB (African Dev. Bank)","2012",1.00523159092899,"2013"
"AfDB (African Dev. Bank)","2013",1,"2013"
"AfDF (African Dev.Fund)","2000",1.49419011153654,"2013"
"AfDF (African Dev.Fund)","2001",1.56953610453167,"2013"
"AfDF (African Dev.Fund)","2002",1.51481827724201,"2013"
"AfDF (African Dev.Fund)","2003",1.33086864670063,"2013"
"AfDF (African Dev.Fund)","2004",1.21895460378918,"2013"
"AfDF (African Dev.Fund)","2005",1.1830195765457,"2013"
"AfDF (African Dev.Fund)","2006",1.15701353841224,"2013"
"AfDF (African Dev.Fund)","2007",1.07535574642651,"2013"
"AfDF (African Dev.Fund)","2008",1.02244895447441,"2013"
"AfDF (African Dev.Fund)","2009",1.05541475458002,"2013"
"AfDF (African Dev.Fund)","2010",1.04422921094072,"2013"
"AfDF (African Dev.Fund)","2011",0.983094881555921,"2013"
"AfDF (African Dev.Fund)","2012",1.00528795487842,"2013"
"AfDF (African Dev.Fund)","2013",1,"2013"
"All Donors, Total","2000",1.49926541720118,"2013"
"All Donors, Total","2001",1.5769619600346,"2013"
"All Donors, Total","2002",1.51591443346901,"2013"
"All Donors, Total","2003",1.32789206046423,"2013"
"All Donors, Total","2004",1.22031940759863,"2013"
"All Donors, Total","2005",1.180011457752,"2013"
"All Donors, Total","2006",1.15706763027493,"2013"
"All Donors, Total","2007",1.07698793965108,"2013"
"All Donors, Total","2008",1.02168544177015,"2013"
"All Donors, Total","2009",1.0528642640351,"2013"
"All Donors, Total","2010",1.04388866580692,"2013"
"All Donors, Total","2011",0.985821589900078,"2013"
"All Donors, Total","2012",1.01043780610147,"2013"
"All Donors, Total","2013",1,"2013"
"Arab Fund (AFESD)","2008",1.02242886153796,"2013"
"Arab Fund (AFESD)","2009",1.05543042565375,"2013"
"Arab Fund (AFESD)","2010",1.04421323653554,"2013"
"Arab Fund (AFESD)","2011",0.983102944387524,"2013"
"Arab Fund (AFESD)","2012",1.00524703755774,"2013"
"Arab Fund (AFESD)","2013",1,"2013"
"Arab Fund (AFESD)","2014",0.994107708848211,"2013"
"AsDB Special Funds","2000",1.49411585647582,"2013"
"AsDB Special Funds","2001",1.56959555162454,"2013"
"AsDB Special Funds","2002",1.51487360343701,"2013"
"AsDB Special Funds","2003",1.33081085022162,"2013"
"AsDB Special Funds","2004",1.21899600601991,"2013"
"AsDB Special Funds","2005",1.18297231303578,"2013"
"AsDB Special Funds","2006",1.15705228274524,"2013"
"AsDB Special Funds","2007",1.07532348189539,"2013"
"AsDB Special Funds","2008",1.02244670619316,"2013"
"AsDB Special Funds","2009",1.05542295442236,"2013"
