"country_code","sum_of_percent_of_trans_usd"
"AF",247488842.386094
"BD",330306071.857646
"BF",146467.499218317
"BI",9735337.81108583
"CD",247987514.939312
"CF",26063340.164863
"CM",15911625.6922032
"EG",473265.732359687
"ER",9168665.94921677
"ET",508637545.743383
"GH",78706257.7146453
"GY",1102199.38618857
"HT",7468624.91249846
"ID",21218069.5896326
"IN",268722691.605573
"IQ",47457466.8205566
"JM",84522.6985782511
"JO",15820503.2657827
"KE",184530412.62045
"KG",6775560.63751659
"KH",2069108.34519885
"LA",1268430.97742566
"LB",28613771.3898401
"LK",1882203.51661844
"LR",9302668.98084663
"LS",-47307.457070335
"LY",21889968.2077456
"ML",373450.444896023
"MM",105957443.525294
"MR",533023.647709513
"MS",31888832.8699881
"MW",82916713.8432187
"MZ",134173060.847079
"NG",356190291.443512
"NP",177000362.272909
"PH",89255347.572773
"PK",367044749.437587
"PN",6016547.58631684
"PS",183731195.210466
"RW",76433069.0405553
"SB",505340.327189948
"SD",44708217.4409133
"SH",45312981.2330694
"SL",373957166.603785
"SN",388804.413459955
"SO",175346707.098017
"SS",270896814.91153
"SY",162790879.817977
"TA",619704.370762115
"TC",999.073385436897
"TJ",19343954.7538116
"TN",1047178.50421852
"TR",6180908.85066413
"TZ",221020459.991625
"UA",4415334.62842256
"UG",173264824.716333
"VN",17006955.7827015
"YE",113330105.145847
"ZA",18578719.1496146
"ZM",130945379.759299
"ZW",131042212.667421
