"donor","year","sum"
"Department for International Development",2013,12381408281.8008
"Department for International Development",2014,13614255497.2516
"Department for International Development",2015,13889603242.6124
"Department for Work and Pensions",2013,15136550.9623488
"Department for Work and Pensions",2014,13014445.6750242
"Foreign & Commonwealth Office",2013,610449052.325173
"Foreign & Commonwealth Office",2014,314472293.672806
"Foreign & Commonwealth Office",2015,80377158.7244198
"Medical Research Council",2013,79484941.2227509
"UK - Home Office",2013,47011163.1066861
"UK - Ministry of Defence",2013,290455.138183374
"UK Department of Energy and Climate Change",2013,412210340.162517
"UK Department of Energy and Climate Change",2014,295714074.917395
"UK Department of Health",2015,24235109.7118883
