"year","flow.category","value"
2000,"DFIs",0
2000,"Illicit finance",0
2000,"Inward FDI",275806335.36
2000,"Long term debt",305162731.644
2000,"ODA",1253510000
2000,"OOFs",69190000
2000,"Outward FDI",0
2000,"PDA",0
2000,"Portfolio equity",0
2000,"Remittances",143784868.63
2000,"Short term debt",-18933364.794
2000,"SSC",0
2000,"Trade mispricing",0
2001,"DFIs",0
2001,"Illicit finance",0
2001,"Inward FDI",744011999.54
2001,"Long term debt",540419935.2345
2001,"ODA",1931990000
2001,"OOFs",50440000
2001,"Outward FDI",0
2001,"PDA",0
2001,"Portfolio equity",0
2001,"Remittances",69736888.25
2001,"Short term debt",-3333815.479
2001,"SSC",0
2001,"Trade mispricing",0
2002,"DFIs",0
2002,"Illicit finance",2007281958
2002,"Inward FDI",583792741.21
2002,"Long term debt",521092125.12
2002,"ODA",2268240000
2002,"OOFs",132640000
2002,"Outward FDI",0
2002,"PDA",0
2002,"Portfolio equity",0
2002,"Remittances",102660191.02
2002,"Short term debt",14347640.482
2002,"SSC",0
2002,"Trade mispricing",692061977.4
2003,"DFIs",0
2003,"Illicit finance",762645504.9
2003,"Inward FDI",942018665.85
2003,"Long term debt",543441026.85
2003,"ODA",2424960000
2003,"OOFs",106960000
2003,"Outward FDI",0
2003,"PDA",0
2003,"Portfolio equity",0
2003,"Remittances",110657092.55
2003,"Short term debt",49619517.76
2003,"SSC",0
2003,"Trade mispricing",204235718.9
2004,"DFIs",0
2004,"Illicit finance",657562314.9
2004,"Inward FDI",1064002172.91
2004,"Long term debt",539577039.77
2004,"ODA",2477190000
2004,"OOFs",161930000
2004,"Outward FDI",0
2004,"PDA",0
2004,"Portfolio equity",0
2004,"Remittances",216758614.33
2004,"Short term debt",98137349.969
2004,"SSC",0
2004,"Trade mispricing",95738767.39
2005,"DFIs",0
2005,"Illicit finance",0
2005,"Inward FDI",489958626.4
2005,"Long term debt",576790191.5
2005,"ODA",2684200000
2005,"OOFs",170810000
2005,"Outward FDI",0
2005,"PDA",0
2005,"Portfolio equity",0
2005,"Remittances",277618402.53
2005,"Short term debt",-9411687.983
2005,"SSC",0
2005,"Trade mispricing",1341767162
2006,"DFIs",0
2006,"Illicit finance",0
2006,"Inward FDI",880933771.42
2006,"Long term debt",360000439.41
2006,"ODA",12244960000
2006,"OOFs",57410000
2006,"Outward FDI",0
2006,"PDA",0
2006,"Portfolio equity",0
2006,"Remittances",257082559.84
2006,"Short term debt",-63687172.465
2006,"SSC",0
2006,"Trade mispricing",1783393935
2007,"DFIs",0
2007,"Illicit finance",211782067.6
2007,"Inward FDI",322434709.57
2007,"Long term debt",296340095.27
2007,"ODA",2716810000
2007,"OOFs",42730000
2007,"Outward FDI",0
2007,"PDA",0
2007,"Portfolio equity",0
2007,"Remittances",455048648.49
2007,"Short term debt",-30211741.538
2007,"SSC",0
2007,"Trade mispricing",1789862760
2008,"DFIs",0
2008,"Illicit finance",0
2008,"Inward FDI",137321019.73
2008,"Long term debt",198218192.38
2008,"ODA",3417210000
2008,"OOFs",67130000
2008,"Outward FDI",0
2008,"PDA",0
2008,"Portfolio equity",0
2008,"Remittances",429467519.55
2008,"Short term debt",1988309.5725
2008,"SSC",0
2008,"Trade mispricing",1997853021
2009,"DFIs",0
2009,"Illicit finance",500141531
2009,"Inward FDI",238541993.85
2009,"Long term debt",1442159617.17
2009,"ODA",4062470000
2009,"OOFs",54450000
2009,"Outward FDI",0
2009,"PDA",0
2009,"Portfolio equity",0
2009,"Remittances",324333022.77
2009,"Short term debt",-4486257.82
2009,"SSC",0
2009,"Trade mispricing",2491316879
2010,"DFIs",0
2010,"Illicit finance",3678788653
2010,"Inward FDI",386842450.1
2010,"Long term debt",1698063357.42
2010,"ODA",3722530000
2010,"OOFs",217510000
2010,"Outward FDI",0
2010,"PDA",0
2010,"Portfolio equity",0
2010,"Remittances",473722678.31
2010,"Short term debt",328273808.866
2010,"SSC",0
2010,"Trade mispricing",3079702409
2011,"DFIs",0
2011,"Illicit finance",2249242727
2011,"Inward FDI",809580870.28
2011,"Long term debt",1892517111.6
2011,"ODA",3605130000
2011,"OOFs",203620000
2011,"Outward FDI",0
2011,"PDA",0
2011,"Portfolio equity",0
2011,"Remittances",556286427.47
2011,"Short term debt",-170574145.677
2011,"SSC",0
2011,"Trade mispricing",2926046952
2012,"DFIs",0
2012,"Illicit finance",0
2012,"Inward FDI",284465498.308
2012,"Long term debt",1982627000
2012,"ODA",3416650000
2012,"OOFs",161800000
2012,"Outward FDI",0
2012,"PDA",0
2012,"Portfolio equity",0
2012,"Remittances",544080155.3
2012,"Short term debt",-133850000
2012,"SSC",0
2012,"Trade mispricing",3116890836
2013,"DFIs",0
2013,"Illicit finance",0
2013,"Inward FDI",961258510.4
2013,"Long term debt",1653760178.19
2013,"ODA",4015990000
2013,"OOFs",111200000
2013,"Outward FDI",0
2013,"PDA",0
2013,"Portfolio equity",0
2013,"Remittances",596344947.1
2013,"Short term debt",150223924.7
2013,"SSC",0
2013,"Trade mispricing",0
