"country_code","sum_of_percent_of_trans_usd"
"AF",1034550987.10162
"AL",115025539.384177
"AM",57330093.0863342
"AO",5565841.26487088
"AR",15370744.5521808
"AZ",23732559.9310206
"BA",54506088.390255
"BD",290578590.465922
"BF",179687721.011501
"BG",31654513.9207416
"BI",126085893.873176
"BJ",185741795.285894
"BO",274645142.952371
"BR",226802676.85394
"BW",646700.992926289
"BY",12386160.8241069
"CD",325325077.847096
"CF",772090.127320205
"CG",586860.410521435
"CI",59457731.6585855
"CL",23634472.6230609
"CM",196901185.328394
"CN",467147070.717051
"CO",111666099.026667
"CR",7248270.54044522
"CU",1169316.2266694
"CV",5348325.57537318
"DJ",3011638.93668201
"DO",10578317.7523561
"DZ",56588475.0576022
"EC",120116550.085283
"EG",361032991.259193
"ER",80012.6874876082
"ET",191490073.320684
"FJ",4735980.91179561
"FM",104715.162035125
"GE",62956725.6453294
"GH",216810741.073523
"GM",286007.625240812
"GN",34476347.1468622
"GT",86268836.7094097
"GW",1216632.32277769
"GY",5820719.55501699
"HN",63247907.312561
"HR",4030108.90386223
"HT",20347260.4613588
"ID",356486966.494833
"IL",2730614.22461679
"IN",617293172.333331
"IQ",1328104.81324692
"JO",167813615.245825
"KE",308482040.903483
"KG",96240867.9650854
"KH",171151890.861502
"KP",570279.060986146
"KZ",649167.171186911
"LA",143683424.76222
"LB",46545290.8598402
"LK",81572281.3563775
"LR",53237894.4454934
"LS",31685003.2825776
"MA",102909409.04945
"MD",62351092.6858881
"ME",25295711.2619308
"MG",79219102.1505684
"MK",30441406.9997874
"ML",201965902.869974
"MM",40787151.8112756
"MN",124597459.111939
"MR",26955134.793601
"MW",171964547.155031
"MX",77352916.699706
"MY",6038907.27809071
"MZ",187128495.261524
"NA",183886975.217546
"NE",71460786.4869745
"NG",91175902.5725903
"NI",70392920.2023231
"NP",183286063.756384
"PA",85699.6945566017
"PE",235971129.818264
"PG",4104433.35119171
"PH",123591614.744364
"PK",236555520.351257
"PS",228944243.167918
"PY",52850619.3754258
"RO",1202247.10498348
"RS",232773659.417287
"RW",103600509.882691
"SB",218256.776065014
"SD",903951.746559122
"SL",35459515.0053308
"SN",107146091.209867
"SO",2847442.02117895
"SS",77616122.0407491
"SV",48877386.7076992
"SZ",1175212.85889055
"TD",9335394.73623104
"TG",46517635.1368256
"TH",20668504.8415873
"TJ",110502583.251267
"TL",29280628.6822563
"TN",93107535.462133
"TR",67874603.2340046
"TZ",254155178.319051
"UA",167116184.966077
"UG",142617729.947527
"UY",581709.797224127
"UZ",73486687.8074403
"VE",548108.118423157
"VN",253964234.467222
"VU",305806.104317082
"WS",593917.379614204
"XK",115332250.575916
"YE",258705665.632974
"ZA",174254932.529968
"ZM",131841294.230782
"ZW",130088486.393096
