"flow.type.x","year","total"
"commercial",2000,5232840779.7
"commercial",2001,6571530658.91
"commercial",2002,8357500811.15
"commercial",2003,6075643989.03
"commercial",2004,10951634358.93
"commercial",2005,11613700458.93
"commercial",2006,15662066778.54
"commercial",2007,18565366465.8
"commercial",2008,13547305976.9
"commercial",2009,10647828242.66
"commercial",2010,15399361898.93
"commercial",2011,6933711606.03
"commercial",2012,5889530000
"commercial",2013,7912137256.61
"illicit",2000,0
"illicit",2001,0
"illicit",2002,0
"illicit",2003,72170398.31
"illicit",2004,0
"illicit",2005,292329539.1
"illicit",2006,0
"illicit",2007,0
"illicit",2008,60857875.8
"illicit",2009,0
"illicit",2010,858130190.8
"illicit",2011,0
"illicit",2012,405340900
"illicit",2013,0
"official",2000,5040817771.2
"official",2001,6940314262.2
"official",2002,6777110378.4
"official",2003,8341871602.5
"official",2004,6411871634.3
"official",2005,5415585859.4
"official",2006,6318930282.6
"official",2007,6019284776.9
"official",2008,6000201936.8
"official",2009,8232202336
"official",2010,7196395443
"official",2011,7960986446.6
"official",2012,6509385000
"official",2013,6692928925
"private",2000,3364448.691
"private",2001,5231438.169
"private",2002,3614475.237
"private",2003,8234877.234
"private",2004,15040016.95
"private",2005,4381576.856
"private",2006,4005939.35
"private",2007,2537610.241
"private",2008,0
"private",2009,9606130.386
"private",2010,10594199.89
"private",2011,28395458.65
"private",2012,33990000
"private",2013,18072581.88
