Sector,From UK,From other OECD DAC
Agriculture and food security,438260519,6115704900
Banking and business,325429404,2462094765
Debt relief,82761170,7446611986
Education,1424915454,7190387005
Environment,595297413,2866283987
General Budget Support,209699678,4071009052
Governance and security,1298338121,11725420305
Health,2026018160,11610378390
Humanitarian,1281881277,9525479573
Industry and trade,227523665,2323300825
Infrastructure,608095980,12364417320
Other,1653801078,18319188613
Other social services,494157091,1953681480
Water and sanitation,216021734,4117461970
