value,type,iso2,filename,numerical,inadequate,urban.inadequate,rural.inadequate,phase
adobe,floor,MZ,mzhr62dt,FALSE,1,,,6
asphlat tiles/vynil,floor,PE,pehr61dt,FALSE,0,,,6
asphlat tiles/vynil,floor,PE,pehr6adt,FALSE,0,,,6
asphlat tiles/vynil,floor,PE,pehr6idt,FALSE,0,,,6
bamboo,floor,ID,idhr63dt,FALSE,1,,,6
brick tiles,floor,LS,lshr61dt,FALSE,0,,,6
bricks,floor,UG,ughr6adt,FALSE,0,,,6
bricks,floor,UG,ughr72dt,FALSE,0,,,7
broken bricks,floor,MW,mwhr6hdt,FALSE,1,,,6
broken bricks,floor,MW,mwhr71dt,FALSE,1,,,7
cane,floor,KY,kyhr61dt,FALSE,1,,,6
carpet,floor,AO,aohr61dt,FALSE,0,,,6
carpet,floor,BJ,bjhr61dt,FALSE,0,,,6
carpet,floor,BU,buhr6hdt,FALSE,0,,,6
carpet,floor,CD,cdhr61dt,FALSE,0,,,6
carpet,floor,KY,kyhr61dt,FALSE,0,,,6
carpet,floor,LB,lbhr6adt,FALSE,0,,,6
carpet,floor,LS,lshr61dt,FALSE,0,,,6
carpet,floor,MD,mdhr61dt,FALSE,0,,,6
carpet,floor,MD,mdhr6hdt,FALSE,0,,,6
carpet,floor,MW,mwhr6hdt,FALSE,0,,,6
carpet,floor,NM,nmhr61dt,FALSE,0,,,6
carpet,floor,TG,tghr61dt,FALSE,0,,,6
carpet,floor,TJ,tjhr61dt,FALSE,0,,,6
carpet,floor,TL,tlhr61dt,FALSE,0,,,6
carpet,floor,ZM,zmhr61dt,FALSE,0,,,6
carpet,floor,BD,bdhr70dt,FALSE,0,,,7
carpet,floor,KE,kehr70dt,FALSE,0,,,7
carpet,floor,KE,kehr7hdt,FALSE,0,,,7
carpet,floor,MW,mwhr71dt,FALSE,0,,,7
cement,floor,EG,eghr61dt,FALSE,0,,,6
cement,floor,AO,aohr61dt,FALSE,0,,,6
cement,floor,BJ,bjhr61dt,FALSE,0,,,6
cement,floor,BU,buhr6hdt,FALSE,0,,,6
cement,floor,CD,cdhr61dt,FALSE,0,,,6
cement,floor,GN,gnhr61dt,FALSE,0,,,6
cement,floor,JO,johr61dt,FALSE,0,,,6
cement,floor,JO,johr6cdt,FALSE,0,,,6
cement,floor,KH,khhr61dt,FALSE,0,,,6
cement,floor,KY,kyhr61dt,FALSE,0,,,6
cement,floor,LS,lshr61dt,FALSE,0,,,6
cement,floor,MD,mdhr61dt,FALSE,0,,,6
cement,floor,MD,mdhr6hdt,FALSE,0,,,6
cement,floor,MW,mwhr6hdt,FALSE,0,,,6
cement,floor,NM,nmhr61dt,FALSE,0,,,6
cement,floor,TG,tghr61dt,FALSE,0,,,6
cement,floor,TJ,tjhr61dt,FALSE,0,,,6
cement,floor,TL,tlhr61dt,FALSE,0,,,6
cement,floor,UG,ughr6adt,FALSE,0,,,6
cement,floor,YE,yehr61dt,FALSE,0,,,6
