value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
uncovered adobe,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
dirt,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
NAN,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
cement,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
covered adobe,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
bricks,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
stone with mud,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
mud wall/bamboo with mud,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
stone with lime / cement,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
cement blocks,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
cane/palm/trunks,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
other,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
plywood,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
reused wood,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
no walls,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
wood planks / shingles,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
cardboard,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
missing,wall,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
carpet,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
earth / sand,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
NAN,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
vinyl or asphalt strips,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
cement,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
ceramic tiles,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
palm / bamboo,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
dung,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
other,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
wood planks,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
parquet or polished wood,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
missing,floor,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
piped into dwelling,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,0,0
piped to neighbour,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,0
"piped into compound, yard or plot",water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,0,0
"tube well, borehole",water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,0
cart with small tank / drum,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,1
protected well/kariaz,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,0
public tap / standpipe,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,0
unprotected well/kariaz,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,1
protected spring,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,0
unprotected spring,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,1
"surface water (river, stream, dam, lake, pond, canal, irrigation channel)",water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,1
tanker-truck,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,1
rainwater collection,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,1,1
bottled water,water,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,0,0
flush to piped sewer system,toilets,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
NAN,toilets,Afghanistan_MICS4_Datasets,,,,,FALSE,NAN,NAN,NAN
single vault,toilets,Afghanistan_MICS4_Datasets,,,,,FALSE,0,NAN,NAN
pit latrine without slab / open pit,toilets,Afghanistan_MICS4_Datasets,,,,,FALSE,1,NAN,NAN
