provider,plan,mem,core,storage,price
Digital Ocean,1,0.512,1,20,5
Digital Ocean,2,1,1,30,10
Digital Ocean,3,2,2,40,20
Digital Ocean,4,4,2,60,40
Digital Ocean,5,8,4,80,80
Digital Ocean,6,16,8,160,160
Digital Ocean,7,32,12,320,320
Digital Ocean,8,48,16,480,480
Digital Ocean,9,64,20,640,640
VPS.net,1,0.5,1,10,11.25
VPS.net,2,1,2,20,22.5
VPS.net,3,1.5,3,30,33.75
VPS.net,4,2,4,40,45
VPS.net,5,2.5,5,50,56.25
VPS.net,6,3,6,60,67.5
VPS.net,7,3.5,7,70,78.75
VPS.net,8,4,8,80,90
VPS.net,9,4.5,9,90,101.25
VPS.net,10,5,10,100,112.5
VPS.net,11,5.5,11,110,123.75
VPS.net,12,6,12,120,135
VPS.net,13,6.5,13,130,146.25
VPS.net,14,7,14,140,157.5
VPS.net,15,7.5,15,150,168.75
VPS.net,16,8,16,160,180
VPS.net,17,1,2,10,18.75
VPS.net,18,2,4,20,30
VPS.net,19,3,6,30,41.25
VPS.net,20,4,8,40,52.5
VPS.net,21,5,10,50,63.75
VPS.net,22,6,12,60,75
VPS.net,23,7,14,70,86.25
VPS.net,24,8,16,80,97.5
VPS.net,25,9,18,90,108.75
VPS.net,26,10,20,100,120
VPS.net,27,11,22,110,131.25
VPS.net,28,12,24,120,142.5
VPS.net,29,13,26,130,153.75
VPS.net,30,14,28,140,165
VPS.net,31,15,30,150,176.25
VPS.net,32,16,32,160,187.5
Linode,1,1,1,24,10
Linode,2,2,2,48,20
Linode,3,4,4,96,40
Linode,4,8,6,192,80
Linode,5,16,8,384,160
Linode,6,32,12,768,320
Linode,7,48,16,1152,480
Linode,8,64,20,1536,640
Linode,9,96,20,1920,960
RamNode,1,0.128,1,12,1.25
RamNode,2,0.256,1,25,2.666666667
RamNode,3,0.512,2,50,5
RamNode,4,1.024,4,75,10
RamNode,5,2.048,4,95,20
RamNode,6,3.072,4,115,30
RamNode,7,4.096,4,135,40
RamNode,8,0.512,1,40,3.5
RamNode,9,1.024,2,60,7
RamNode,10,2.048,2,80,14
RamNode,11,3.072,2,100,21
RamNode,12,4.096,2,120,28
RamNode,13,8.192,2,200,56
RamNode,14,0.128,1,80,1.25
RamNode,15,0.256,1,120,2.666666667
RamNode,16,0.512,2,150,5
RamNode,17,1.024,4,200,10
RamNode,18,2.048,4,250,20
RamNode,19,3.072,4,275,30
RamNode,20,4.096,4,300,40
RamNode,21,8.192,4,350,80
