id,year,value
AF,2000,0
AG,2000,30974125.08
AI,2000,0
AL,2000,0
AM,2000,0
AO,2000,0
AR,2000,1137312035
AZ,2000,2556981.989
BA,2000,0
BB,2000,1290109.92
BD,2000,3003281.465
BF,2000,343852.3936
BH,2000,18214232.92
BI,2000,0
BJ,2000,7153068.787
BO,2000,5041899.153
BR,2000,5373300959
BT,2000,0
BW,2000,3512052.907
BY,2000,557345.9137
BZ,2000,0
CD,2000,-1434741.004
CF,2000,0
CG,2000,9667485.688
CI,2000,17730907.23
CK,2000,0
CL,2000,8190708775
CM,2000,18270022.35
CN,2000,2010176181
CO,2000,728037857.7
CR,2000,14300366.83
CU,2000,0
CV,2000,0
DJ,2000,0
DM,2000,3307953.047
DO,2000,85450466.14
DZ,2000,33546751.33
EC,2000,46297795.57
EG,2000,80093807.44
ER,2000,0
ET,2000,0
FJ,2000,4174376.96
FM,2000,0
GA,2000,62865883.22
GD,2000,2599139.73
GE,2000,7914810.706
GH,2000,0
GM,2000,0
GN,2000,13.07818452
GQ,2000,-13196505.22
GT,2000,78808121.1
GW,2000,0
GY,2000,3628502.743
HN,2000,10473688.9
HR,2000,9690639.9
HT,2000,0
ID,2000,2000
IN,2000,870414700.1
IQ,2000,0
IR,2000,55753983.42
JM,2000,112736575.5
JO,2000,16233779.25
KE,2000,24223.0733
KG,2000,13939841.3
KH,2000,10269260.27
KI,2000,249666.3322
KM,2000,0
KN,2000,4173608.428
KP,2000,0
KZ,2000,19418800.8
LA,2000,10093510.5
LB,2000,151630694.5
LC,2000,6160797.129
LK,2000,3817429.932
LR,2000,1641693556
LS,2000,0
LY,2000,173734061
MA,2000,86937627.25
MD,2000,258788.9555
ME,2000,0
MG,2000,0
MH,2000,12.465366
MK,2000,-1219595.277
ML,2000,8662630.732
MM,2000,0
MN,2000,0
MR,2000,0
MS,2000,0
MT,2000,36076107.45
MU,2000,19729061.97
MV,2000,0
MW,2000,-863595.9218
MX,2000,488308343.3
MY,2000,3793051650
MZ,2000,-323365.1983
NA,2000,5120872.429
NE,2000,-1296044.133
NG,2000,648325833.6
NI,2000,0
NP,2000,0
NR,2000,0
NU,2000,0
OM,2000,0
PA,2000,0
PE,2000,0
PG,2000,3113618.651
PH,2000,219046109
PK,2000,18504467.8
PS,2000,0
PW,2000,-1286405.643
PY,2000,11996081.09
RS,2000,0
RW,2000,0
SA,2000,3129392455
SB,2000,94187.16537
SC,2000,10480587.07
SD,2000,0
SH,2000,0
SI,2000,0
SL,2000,0
SN,2000,1230935.815
SO,2000,0
SR,2000,0
SS,2000,0
ST,2000,0
SV,2000,-7223408.844
SY,2000,0
SZ,2000,20950019.91
TC,2000,0
TD,2000,0
TG,2000,986111.8023
TH,2000,-36300221.57
TJ,2000,0
