"id","reference","in_ddh"
"adult-literacy",FALSE,FALSE
"agricultural-census",FALSE,TRUE
"avg-income-of-extreme-poor",FALSE,TRUE
"budget-type",TRUE,TRUE
"bundle",TRUE,TRUE
"channel",TRUE,TRUE
"civil-reg-births",FALSE,TRUE
"civil-reg-deaths",FALSE,TRUE
"climate-vulnerability",FALSE,TRUE
"color",TRUE,TRUE
"colorRamp",TRUE,TRUE
"cp-bubble-chart",TRUE,TRUE
"creditor-institution",TRUE,FALSE
"creditor-type",TRUE,FALSE
"currency",TRUE,TRUE
"current-ncu-to-constant-2012-usd",TRUE,FALSE
"dac-oda-percent-gni",FALSE,TRUE
"dac-oda-to-ldcs-pc-gni",FALSE,TRUE
"debt-flow",TRUE,FALSE
"depth-of-extreme-poverty",FALSE,TRUE
"destination-institution-type",TRUE,TRUE
"dev-coop-in-detail",FALSE,TRUE
"dfis-out",FALSE,TRUE
"dfis-out-dev",FALSE,TRUE
"domestic",FALSE,TRUE
"domestic-budget-level",TRUE,TRUE
"domestic-netlending",FALSE,FALSE
"domestic-sectors",FALSE,TRUE
"domestic-sources",TRUE,FALSE
"educ-mis",FALSE,TRUE
"education-pc-transferred-oda",FALSE,FALSE
"employment-agriculture",FALSE,FALSE
"employment-by-sector",FALSE,FALSE
"employment-industry",FALSE,FALSE
"employment-services",FALSE,FALSE
"entity",TRUE,TRUE
"evi",FALSE,TRUE
"exchange-rates",TRUE,FALSE
"fdi-out",FALSE,TRUE
"fdi-pp",FALSE,TRUE
"financing-type",TRUE,TRUE
"fiscal-year",TRUE,FALSE
"flow-name",TRUE,TRUE
"flow-type",TRUE,TRUE
"fragile-states",FALSE,TRUE
"fragile-states",FALSE,TRUE
"fragile-states",TRUE,TRUE
"fragile-states",TRUE,TRUE
"gdp-current-ncu-fy",FALSE,FALSE
"gdp-deflator-constant-2012",TRUE,FALSE
"gdp-growth",FALSE,FALSE
"gdp-pc-usd-2005",FALSE,FALSE
"gdp-pc-usd-current",FALSE,FALSE
"gdp-usd-2005",FALSE,FALSE
"gdp-usd-2012",FALSE,FALSE
"gdp-usd-current",FALSE,TRUE
"general-gov-health-exp",FALSE,TRUE
"gni-pc-usd-current",FALSE,TRUE
"gni-usd-2005",FALSE,FALSE
"gni-usd-current",FALSE,TRUE
"gov-revenue-pc-gdp",FALSE,TRUE
"govtspend-pc",FALSE,TRUE
"govtspend-USD",FALSE,FALSE
"grants-pct-totalrevenue",FALSE,TRUE
"health-mis",FALSE,TRUE
"health-pc-transferred-oda",FALSE,FALSE
"human-hazard",FALSE,TRUE
"implied-ppp",TRUE,FALSE
"in-ha",FALSE,TRUE
"in-oda-and-repayments",FALSE,FALSE
"in-oda-gross",FALSE,TRUE
"in-oda-net",FALSE,TRUE
"in-oof-and-repayments",FALSE,FALSE
"in-oof-gross",FALSE,TRUE
"in-oof-net",FALSE,FALSE
"income-group",TRUE,TRUE
"income-share-bottom-20pc",FALSE,FALSE
"income-share-by-quintile",FALSE,TRUE
"income-share-top-10pc",FALSE,FALSE
"infant-mortality",FALSE,FALSE
"intl-flows-donors",FALSE,TRUE
"intl-flows-donors-wide",FALSE,FALSE
"intl-flows-recipients",FALSE,TRUE
"intl-flows-recipients-wide",FALSE,FALSE
"intlresources-total",FALSE,TRUE
"kenya-births-pc-skilled",FALSE,TRUE
"kenya-district-entity",TRUE,TRUE
"kenya-electricity",FALSE,TRUE
"kenya-electricity-avg",FALSE,FALSE
"kenya-electricity-rank",FALSE,FALSE
"kenya-fertility-rate",FALSE,TRUE
"kenya-improved-sani",FALSE,TRUE
"kenya-improved-sani-avg",FALSE,FALSE
"kenya-improved-sani-rank",FALSE,FALSE
"kenya-improved-water",FALSE,TRUE
"kenya-improved-water-avg",FALSE,FALSE
"kenya-improved-water-rank",FALSE,FALSE
"kenya-paved-roads",FALSE,TRUE
"kenya-paved-roads-avg",FALSE,FALSE
"kenya-paved-roads-rank",FALSE,FALSE
"kenya-pc-female-know-hiv",FALSE,TRUE
"kenya-pc-female-tested-hiv",FALSE,TRUE
"kenya-pc-house-malaria-nets",FALSE,TRUE
"kenya-pc-male-know-hiv",FALSE,TRUE
"kenya-pc-male-tested-hiv",FALSE,TRUE
"kenya-pc-modern-contra",FALSE,TRUE
"kenya-pc-no-contra",FALSE,TRUE
"kenya-pc-trad-contra",FALSE,TRUE
"kenya-pop-female",FALSE,TRUE
"kenya-pop-male",FALSE,TRUE
"kenya-pop-pc-female",FALSE,TRUE
"kenya-pop-pc-male",FALSE,TRUE
"kenya-pop-total",FALSE,TRUE
"kenya-pov-avg",FALSE,FALSE
"kenya-pov-gap",FALSE,TRUE
"kenya-pov-rank",FALSE,FALSE
"kenya-rural-pop",FALSE,TRUE
"kenya-theme",TRUE,TRUE
"kenya-treat-child-diarr",FALSE,TRUE
"kenya-treat-child-respir",FALSE,TRUE
"kenya-urban-avg",FALSE,FALSE
"kenya-urban-pop",FALSE,TRUE
"kenya-urban-rank",FALSE,FALSE
"kenya-weight-below-3sd",FALSE,TRUE
"largest-intl-flow",TRUE,TRUE
"largest-intl-flow",TRUE,TRUE
"largest-intl-flow",FALSE,TRUE
"largest-intl-flow",FALSE,TRUE
"latest-census",FALSE,TRUE
"latest-hh-survey",FALSE,TRUE
"life-expectancy-at-birth",FALSE,TRUE
"long-debt-disbursement-in",FALSE,TRUE
"long-debt-net-official-in",FALSE,TRUE
"long-term-debt",FALSE,FALSE
"maternal-mortality",FALSE,TRUE
"mean-years-of-schooling",FALSE,FALSE
"natural-hazard",FALSE,TRUE
"ncu-per-ppp-cy",TRUE,FALSE
"non-grant-revenue-PPP-capita",FALSE,TRUE
"number-of-surveys",FALSE,TRUE
"oda",FALSE,TRUE
"oda-capital-repayments",FALSE,TRUE
"oda-donor/oda-AE",FALSE,TRUE
"oda-donor/oda-afdb",FALSE,TRUE
"oda-donor/oda-afdf",FALSE,TRUE
"oda-donor/oda-afesd",FALSE,TRUE
"oda-donor/oda-arab-fund-afesd",FALSE,TRUE
"oda-donor/oda-asdb-special-funds",FALSE,TRUE
"oda-donor/oda-AT",FALSE,TRUE
"oda-donor/oda-AU",FALSE,TRUE
"oda-donor/oda-badea",FALSE,TRUE
"oda-donor/oda-BE",FALSE,TRUE
"oda-donor/oda-CA",FALSE,TRUE
"oda-donor/oda-CH",FALSE,TRUE
"oda-donor/oda-CZ",FALSE,TRUE
"oda-donor/oda-DE",FALSE,TRUE
"oda-donor/oda-DK",FALSE,TRUE
"oda-donor/oda-ebrd",FALSE,TRUE
"oda-donor/oda-EE",FALSE,TRUE
"oda-donor/oda-ES",FALSE,TRUE
"oda-donor/oda-EU",FALSE,TRUE
"oda-donor/oda-FI",FALSE,TRUE
"oda-donor/oda-FR",FALSE,TRUE
"oda-donor/oda-gavi",FALSE,TRUE
"oda-donor/oda-GB",FALSE,TRUE
"oda-donor/oda-gef",FALSE,TRUE
"oda-donor/oda-global-fund",FALSE,TRUE
"oda-donor/oda-GR",FALSE,TRUE
"oda-donor/oda-ibrd",FALSE,TRUE
"oda-donor/oda-ida",FALSE,TRUE
"oda-donor/oda-idb-specialfund",FALSE,TRUE
"oda-donor/oda-IE",FALSE,TRUE
"oda-donor/oda-ifad",FALSE,TRUE
"oda-donor/oda-imf",FALSE,TRUE
"oda-donor/oda-imf-concessional-trust-fund",FALSE,TRUE
"oda-donor/oda-IS",FALSE,TRUE
"oda-donor/oda-islamic-dev-bank",FALSE,TRUE
"oda-donor/oda-IT",FALSE,TRUE
"oda-donor/oda-JP",FALSE,TRUE
"oda-donor/oda-KR",FALSE,TRUE
"oda-donor/oda-KW",FALSE,TRUE
"oda-donor/oda-LU",FALSE,TRUE
"oda-donor/oda-NL",FALSE,TRUE
"oda-donor/oda-NO",FALSE,TRUE
"oda-donor/oda-nordic-dev-fund",FALSE,TRUE
"oda-donor/oda-NZ",FALSE,TRUE
"oda-donor/oda-ofid",FALSE,TRUE
"oda-donor/oda-osce",FALSE,TRUE
"oda-donor/oda-PL",FALSE,TRUE
"oda-donor/oda-PT",FALSE,TRUE
"oda-donor/oda-SE",FALSE,TRUE
"oda-donor/oda-SI",FALSE,TRUE
"oda-donor/oda-SK",FALSE,TRUE
"oda-donor/oda-unaids",FALSE,TRUE
"oda-donor/oda-undp",FALSE,TRUE
"oda-donor/oda-unece",FALSE,TRUE
"oda-donor/oda-unfpa",FALSE,TRUE
"oda-donor/oda-unhcr",FALSE,TRUE
"oda-donor/oda-unicef",FALSE,TRUE
"oda-donor/oda-unpbf",FALSE,TRUE
"oda-donor/oda-unrwa",FALSE,TRUE
"oda-donor/oda-US",FALSE,TRUE
"oda-donor/oda-wfp",FALSE,TRUE
"oda-donor/oda-who",FALSE,TRUE
"oda-interest-payments",FALSE,TRUE
"oda-per-poor-person",FALSE,TRUE
"oof",FALSE,TRUE
"oof-bundle",TRUE,TRUE
"out-dac-oda-net",FALSE,TRUE
"out-oda-and-repayments",FALSE,FALSE
"out-oda-gross",FALSE,FALSE
"out-oof-and-repayments",FALSE,FALSE
"out-oof-gross",FALSE,FALSE
"out-oof-net",FALSE,TRUE
"out-ssc-net",FALSE,TRUE
"poor-people",FALSE,TRUE
"poorest20pct",FALSE,TRUE
"poorest20pct-percentages",FALSE,FALSE
"population-0-14",FALSE,TRUE
"population-15-64",FALSE,TRUE
"population-65-",FALSE,TRUE
"population-by-age",FALSE,TRUE
"population-rural",FALSE,TRUE
"population-rural-urban",FALSE,TRUE
"population-total",FALSE,TRUE
"population-urban",FALSE,TRUE
"poverty-125",FALSE,TRUE
"poverty-200",FALSE,TRUE
"poverty-gap-125",FALSE,FALSE
"poverty-gap-2",FALSE,FALSE
"primary-school-enrolment",FALSE,FALSE
"profits-pct-fdi",FALSE,TRUE
"region",TRUE,TRUE
"remittances",FALSE,TRUE
"rems-pp",FALSE,TRUE
"sector",TRUE,TRUE
"sectoral-type",TRUE,FALSE
"ssc-out",FALSE,TRUE
"ssc-percent-gni",FALSE,TRUE
"stat-capacity",FALSE,TRUE
"taxrev-pctGDP",FALSE,FALSE
"theme",TRUE,TRUE
"theme-colours",TRUE,TRUE
"total-employment",FALSE,FALSE
"total-revenue-pct-GDP",FALSE,TRUE
"total-revenue-PPP-capita",FALSE,TRUE
"uganda-agri-percent",FALSE,TRUE
"uganda-anc4-coverage",FALSE,TRUE
"uganda-avg-house-size",FALSE,TRUE
"uganda-budget-level",TRUE,TRUE
"uganda-central-resources",FALSE,TRUE
"uganda-dependency-ratio",FALSE,TRUE
"uganda-deprivation-living",FALSE,TRUE
"uganda-district-entity",TRUE,TRUE
"uganda-donor-educ-spend",FALSE,TRUE
"uganda-donor-percent",FALSE,TRUE
"uganda-donor-resources",FALSE,TRUE
"uganda-dpt3-coverage",FALSE,TRUE
"uganda-educ-percent",FALSE,TRUE
"uganda-finance",FALSE,TRUE
"uganda-gov-spend-pp",FALSE,TRUE
"uganda-health-funding",FALSE,TRUE
"uganda-health-percent",FALSE,TRUE
"uganda-health-posts",FALSE,TRUE
"uganda-hmis",FALSE,TRUE
"uganda-household-san-cov",FALSE,TRUE
"uganda-igf-resources",FALSE,TRUE
"uganda-ipt2-coverage",FALSE,TRUE
"uganda-leaving-exam-perf-rate",FALSE,TRUE
"uganda-life-expectancy",FALSE,TRUE
"uganda-local-percent",FALSE,TRUE
"uganda-overall-health",FALSE,TRUE
"uganda-pop-dens",FALSE,TRUE
"uganda-poverty-headcount",FALSE,TRUE
"uganda-primary-educ-funding",FALSE,TRUE
"uganda-primary-enrol",FALSE,TRUE
"uganda-primary-sit-write",FALSE,TRUE
"uganda-primary-sit-write-gov",FALSE,TRUE
"uganda-primary-stu-teach-ratio",FALSE,TRUE
"uganda-primary-stu-teach-ratio-gov",FALSE,TRUE
"uganda-rural-safe-water",FALSE,TRUE
"uganda-rural-water-func",FALSE,TRUE
"uganda-secondary-enrol",FALSE,TRUE
"uganda-secondary-sit-write",FALSE,TRUE
"uganda-secondary-sit-write-gov",FALSE,TRUE
"uganda-secondary-stu-teach-ratio",FALSE,TRUE
