DISTRICT/MUNI,ITEM,Releases
,,
 ARUA ,1112-Health training," 190,593 "
 GULU ,1112-Health training," 186,481 "
 JINJA ,1112-Health training," 231,841 "
 KABALE ,1112-Health training," 399,359 "
 KABAROLE ,1112-Health training," 299,539 "
 LIRA ,1112-Health training," 102,181 "
 MASAKA ,1112-Health training," 154,975 "
 MBALE ,1112-Health training," 221,393 "
 SOROTI ,1112-Health training," 102,181 "
,,
 ADJUMANI ,6019-Urban Water," 46,624 "
 ARUA ,6019-Urban Water, -   
 BUGIRI ,6019-Urban Water," 18,650 "
 BUNDIBUGYO ,6019-Urban Water," 37,299 "
 BUSHENYI ,6019-Urban Water," 60,690 "
 BUSIA ,6019-Urban Water," 18,650 "
 HOIMA ,6019-Urban Water," 56,814 "
 IGANGA ,6019-Urban Water," 46,624 "
 KABERAMAIDO ,6019-Urban Water," 56,814 "
 KALANGALA ,6019-Urban Water," 9,469 "
 KAMULI ,6019-Urban Water," 46,624 "
 KAPCHORWA ,6019-Urban Water," 37,974 "
 KASESE ,6019-Urban Water," 37,299 "
 KIBOGA ,6019-Urban Water," 18,650 "
 KISORO ,6019-Urban Water," 37,299 "
 KITGUM ,6019-Urban Water," 37,299 "
 KOTIDO ,6019-Urban Water," 37,299 "
 KUMI ,6019-Urban Water," 47,806 "
 LIRA ,6019-Urban Water," 9,325 "
 LUWERO ,6019-Urban Water," 37,299 "
 MASINDI ,6019-Urban Water," 74,598 "
 MBARARA ,6019-Urban Water," 37,299 "
 MOROTO ,6019-Urban Water," 18,650 "
 MOYO ,6019-Urban Water," 46,624 "
 MUBENDE ,6019-Urban Water," 48,817 "
 MUKONO ,6019-Urban Water," 26,578 "
 NAKASONGOLA ,,
 NTUNGAMO ,,
 PALLISA ,6019-Urban Water," 37,299 "
 RAKAI ,6019-Urban Water," 55,949 "
RUKUNGIRI,,
 SOROTI ,6019-Urban Water," 27,974 "
 TORORO ,6019-Urban Water," 18,650 "
ARUA M.C.,6019-Urban Water," 49,596 "
MOROTO M.C.,6019-Urban Water," 46,624 "
SOROTI M.C.,6019-Urban Water," 69,682 "
,,   
 ADJUMANI ,6020-Dist Uncond," 674,034 "
 APAC ,6020-Dist Uncond," 1,831,476 "
 ARUA ,6020-Dist Uncond," 2,107,455 "
 BUGIRI ,6020-Dist Uncond," 1,103,186 "
 BUNDIBUGYO ,6020-Dist Uncond," 698,491 "
 BUSHENYI ,6020-Dist Uncond," 2,233,586 "
 BUSIA ,6020-Dist Uncond," 688,019 "
 GULU ,6020-Dist Uncond," 1,676,427 "
 HOIMA ,6020-Dist Uncond," 987,070 "
 IGANGA ,6020-Dist Uncond," 1,809,304 "
 JINJA ,6020-Dist Uncond," 1,340,677 "
 KABALE ,6020-Dist Uncond," 1,475,112 "
 KABAROLE ,6020-Dist Uncond," 1,270,035 "
 KABERAMAIDO ,6020-Dist Uncond," 582,235 "
 KALANGALA ,6020-Dist Uncond," 556,758 "
 KAMPALA ,6020-Dist Uncond," 2,416,118 "
 KAMULI ,6020-Dist Uncond," 1,782,626 "
 KAMWENGE ,6020-Dist Uncond," 866,629 "
 KANUNGU ,6020-Dist Uncond," 763,222 "
 KAPCHORWA ,6020-Dist Uncond," 746,352 "
 KASESE ,6020-Dist Uncond," 1,526,522 "
 KATAKWI ,6020-Dist Uncond," 801,030 "
 KAYUNGA ,6020-Dist Uncond," 994,578 "
 KIBALE ,6020-Dist Uncond," 1,012,359 "
 KIBOGA ,6020-Dist Uncond," 775,069 "
 KISORO ,6020-Dist Uncond," 769,492 "
 KITGUM ,6020-Dist Uncond," 1,095,675 "
 KOTIDO ,6020-Dist Uncond," 1,363,816 "
 KUMI ,6020-Dist Uncond," 1,042,052 "
 KYENJOJO ,6020-Dist Uncond," 1,217,759 "
 LIRA ,6020-Dist Uncond," 2,027,927 "
 LUWERO ,6020-Dist Uncond," 1,805,917 "
 MASAKA ,6020-Dist Uncond," 2,363,104 "
 MASINDI ,6020-Dist Uncond," 1,327,518 "
 MAYUGE ,6020-Dist Uncond," 1,018,439 "
 MBALE ,6020-Dist Uncond," 1,795,323 "
 MBARARA ,6020-Dist Uncond," 2,785,455 "
 MOROTO ,6020-Dist Uncond," 778,300 "
 MOYO ,6020-Dist Uncond," 581,088 "
 MPIGI ,6020-Dist Uncond," 1,422,323 "
 MUBENDE ,6020-Dist Uncond," 1,963,985 "
 MUKONO ,6020-Dist Uncond," 2,287,409 "
 NAKAPIRIPIRIT ,6020-Dist Uncond," 707,753 "
 NAKASONGOLA ,6020-Dist Uncond," 659,558 "
 NEBBI ,6020-Dist Uncond," 1,242,300 "
 NTUNGAMO ,6020-Dist Uncond," 1,162,714 "
 PADER ,6020-Dist Uncond," 989,847 "
 PALLISA ,6020-Dist Uncond," 1,390,071 "
 RAKAI ,6020-Dist Uncond," 1,781,502 "
 RUKUNGIRI ,6020-Dist Uncond," 960,466 "
 SEMBABULE ,6020-Dist Uncond," 674,936 "
 SIRONKO ,6020-Dist Uncond," 866,451 "
 SOROTI ,6020-Dist Uncond," 1,252,074 "
 TORORO ,6020-Dist Uncond," 1,749,171 "
 WAKISO ,6020-Dist Uncond," 2,000,924 "
 YUMBE ,6020-Dist Uncond," 571,934 "
ARUA M.C.,6020-Dist Uncond,
ENTEBBE M.C.,6020-Dist Uncond,
FORT PORTAL M.C.,6020-Dist Uncond,
GULU M.C.,6020-Dist Uncond,
JINJA M.C.,6020-Dist Uncond,
KABALE M.C.,6020-Dist Uncond,
LIRA M.C.,6020-Dist Uncond,
MASAKA M.C.,6020-Dist Uncond,
MBALE M.C.,6020-Dist Uncond,
MBARARA M.C.,6020-Dist Uncond,
MOROTO M.C.,6020-Dist Uncond,
SOROTI M.C.,6020-Dist Uncond,
TORORO M.C.,6020-Dist Uncond,
,,   
 ADJUMANI ,6021- UPE," 161,578 "
 APAC ,6021- UPE," 1,599,021 "
 ARUA ,6021- UPE," 1,781,939 "
 BUGIRI ,6021- UPE," 793,488 "
 BUNDIBUGYO ,6021- UPE," 382,430 "
 BUSHENYI ,6021- UPE," 1,460,731 "
 BUSIA ,6021- UPE," 461,479 "
 GULU ,6021- UPE," 726,877 "
 HOIMA ,6021- UPE," 513,746 "
 IGANGA ,6021- UPE," 1,522,619 "
 JINJA ,6021- UPE," 475,463 "
 KABALE ,6021- UPE," 832,748 "
 KABAROLE ,6021- UPE," 489,049 "
 KABERAMAIDO ,6021- UPE," 279,394 "
 KALANGALA ,6021- UPE," 35,914 "
 KAMPALA ,6021- UPE," 463,563 "
 KAMULI ,6021- UPE," 1,323,965 "
 KAMWENGE ,6021- UPE," 367,031 "
 KANUNGU ,6021- UPE," 324,322 "
 KAPCHORWA ,6021- UPE," 419,404 "
 KASESE ,6021- UPE," 990,601 "
 KATAKWI ,6021- UPE," 538,173 "
 KAYUNGA ,6021- UPE," 539,960 "
 KIBALE ,6021- UPE," 662,450 "
 KIBOGA ,6021- UPE," 379,211 "
 KISORO ,6021- UPE," 385,307 "
 KITGUM ,6021- UPE," 519,501 "
 KOTIDO ,6021- UPE," 349,606 "
 KUMI ,6021- UPE," 807,199 "
 KYENJOJO ,6021- UPE," 548,092 "
 LIRA ,6021- UPE," 1,260,146 "
 LUWERO ,6021- UPE," 796,790 "
 MASAKA ,6021- UPE," 878,965 "
 MASINDI ,6021- UPE," 641,109 "
 MAYUGE ,6021- UPE," 619,637 "
 MBALE ,6021- UPE," 1,398,006 "
 MBARARA ,6021- UPE," 1,712,536 "
 MOROTO ,6021- UPE," 100,758 "
 MOYO ,6021- UPE," 190,700 "
 MPIGI ,6021- UPE," 803,220 "
 MUBENDE ,6021- UPE," 1,074,865 "
 MUKONO ,6021- UPE," 930,045 "
 NAKAPIRIPIRIT ,6021- UPE," 110,452 "
 NAKASONGOLA ,6021- UPE," 204,061 "
 NEBBI ,6021- UPE," 768,437 "
 NTUNGAMO ,6021- UPE," 742,335 "
 PADER ,6021- UPE," 743,539 "
 PALLISA ,6021- UPE," 997,166 "
 RAKAI ,6021- UPE," 700,925 "
 RUKUNGIRI ,6021- UPE," 473,310 "
 SEMBABULE ,6021- UPE," 304,132 "
 SIRONKO ,6021- UPE," 656,577 "
 SOROTI ,6021- UPE," 607,571 "
 TORORO ,6021- UPE," 1,016,205 "
 WAKISO ,6021- UPE," 792,129 "
 YUMBE ,6021- UPE," 500,782 "
ARUA M.C.,6021- UPE," 80,119 "
ENTEBBE M.C.,6021- UPE," 58,954 "
FORT PORTAL M.C.,6021- UPE," 76,267 "
GULU M.C.,6021- UPE," 211,338 "
JINJA M.C.,6021- UPE," 120,490 "
KABALE M.C.,6021- UPE," 83,033 "
LIRA M.C.,6021- UPE," 92,039 "
MASAKA M.C.,6021- UPE," 42,710 "
MBALE M.C.,6021- UPE," 130,443 "
MBARARA M.C.,6021- UPE," 101,176 "
MOROTO M.C.,6021- UPE," 13,024 "
SOROTI M.C.,6021- UPE," 109,202 "
TORORO M.C.,6021- UPE," 62,332 "
,,
 ADJUMANI ,6022-Rural Feeder Rds," 276,582 "
 APAC ,6022-Rural Feeder Rds," 401,378 "
 ARUA ,6022-Rural Feeder Rds," 412,618 "
 BUGIRI ,6022-Rural Feeder Rds," 236,973 "
 BUNDIBUGYO ,6022-Rural Feeder Rds," 270,790 "
 BUSHENYI ,6022-Rural Feeder Rds," 546,096 "
 BUSIA ,6022-Rural Feeder Rds," 332,190 "
 GULU ,6022-Rural Feeder Rds," 161,200 "
 HOIMA ,6022-Rural Feeder Rds," 471,101 "
 IGANGA ,6022-Rural Feeder Rds," 273,468 "
 JINJA ,6022-Rural Feeder Rds," 181,906 "
 KABALE ,6022-Rural Feeder Rds," 308,546 "
 KABAROLE ,6022-Rural Feeder Rds," 120,802 "
 KABERAMAIDO ,6022-Rural Feeder Rds," 91,788 "
 KALANGALA ,6022-Rural Feeder Rds," 110,480 "
 KAMPALA ,6022-Rural Feeder Rds," 200,099 "
 KAMULI ,6022-Rural Feeder Rds," 368,644 "
 KAMWENGE ,6022-Rural Feeder Rds," 150,012 "
 KANUNGU ,6022-Rural Feeder Rds," 299,586 "
 KAPCHORWA ,6022-Rural Feeder Rds," 207,255 "
 KASESE ,6022-Rural Feeder Rds," 347,415 "
 KATAKWI ,6022-Rural Feeder Rds," 202,259 "
 KAYUNGA ,6022-Rural Feeder Rds," 251,542 "
 KIBALE ,6022-Rural Feeder Rds," 318,487 "
 KIBOGA ,6022-Rural Feeder Rds," 307,514 "
 KISORO ,6022-Rural Feeder Rds," 252,194 "
 KITGUM ,6022-Rural Feeder Rds," 69,706 "
 KOTIDO ,6022-Rural Feeder Rds," 143,790 "
 KUMI ,6022-Rural Feeder Rds," 183,150 "
 KYENJOJO ,6022-Rural Feeder Rds," 287,331 "
 LIRA ,6022-Rural Feeder Rds," 231,614 "
 LUWERO ,6022-Rural Feeder Rds," 442,706 "
 MASAKA ,6022-Rural Feeder Rds," 341,080 "
 MASINDI ,6022-Rural Feeder Rds," 516,975 "
 MAYUGE ,6022-Rural Feeder Rds," 190,916 "
 MBALE ,6022-Rural Feeder Rds," 130,144 "
 MBARARA ,6022-Rural Feeder Rds," 446,395 "
 MOROTO ,6022-Rural Feeder Rds," 144,293 "
 MOYO ,6022-Rural Feeder Rds," 98,328 "
 MPIGI ,6022-Rural Feeder Rds," 249,892 "
 MUBENDE ,6022-Rural Feeder Rds," 553,616 "
 MUKONO ,6022-Rural Feeder Rds," 468,733 "
 NAKAPIRIPIRIT ,6022-Rural Feeder Rds," 225,548 "
 NAKASONGOLA ,6022-Rural Feeder Rds," 276,372 "
 NEBBI ,6022-Rural Feeder Rds," 274,200 "
 NTUNGAMO ,6022-Rural Feeder Rds," 235,664 "
 PADER ,6022-Rural Feeder Rds," 168,163 "
 PALLISA ,6022-Rural Feeder Rds," 180,425 "
 RAKAI ,6022-Rural Feeder Rds," 297,767 "
 RUKUNGIRI ,6022-Rural Feeder Rds," 233,567 "
 SEMBABULE ,6022-Rural Feeder Rds," 155,391 "
 SIRONKO ,6022-Rural Feeder Rds," 100,065 "
 SOROTI ,6022-Rural Feeder Rds," 111,624 "
 TORORO ,6022-Rural Feeder Rds," 136,114 "
 WAKISO ,6022-Rural Feeder Rds," 160,345 "
 YUMBE ,6022-Rural Feeder Rds," 140,465 "
ARUA M.C.,6022-Rural Feeder Rds," 92,140 "
ENTEBBE M.C.,6022-Rural Feeder Rds," 92,140 "
FORT PORTAL M.C.,6022-Rural Feeder Rds," 92,140 "
GULU M.C.,6022-Rural Feeder Rds," 92,140 "
JINJA M.C.,6022-Rural Feeder Rds," 92,140 "
KABALE M.C.,6022-Rural Feeder Rds," 92,140 "
LIRA M.C.,6022-Rural Feeder Rds," 92,140 "
MASAKA M.C.,6022-Rural Feeder Rds," 92,140 "
MBALE M.C.,6022-Rural Feeder Rds," 92,140 "
MBARARA M.C.,6022-Rural Feeder Rds," 94,988 "
MOROTO M.C.,6022-Rural Feeder Rds," 92,140 "
SOROTI M.C.,6022-Rural Feeder Rds," 92,140 "
TORORO M.C.,6022-Rural Feeder Rds," 92,140 "
,,
 ADJUMANI ,6023-PHC Non-wage," 106,938 "
 APAC ,6023-PHC Non-wage," 463,652 "
 ARUA ,6023-PHC Non-wage," 604,228 "
 BUGIRI ,6023-PHC Non-wage," 279,534 "
 BUNDIBUGYO ,6023-PHC Non-wage," 246,912 "
 BUSHENYI ,6023-PHC Non-wage," 648,451 "
 BUSIA ,6023-PHC Non-wage," 201,823 "
 GULU ,6023-PHC Non-wage," 446,254 "
 HOIMA ,6023-PHC Non-wage," 214,537 "
 IGANGA ,6023-PHC Non-wage," 514,492 "
 JINJA ,6023-PHC Non-wage," 349,431 "
 KABALE ,6023-PHC Non-wage," 547,126 "
 KABAROLE ,6023-PHC Non-wage," 308,645 "
 KABERAMAIDO ,6023-PHC Non-wage," 137,648 "
 KALANGALA ,6023-PHC Non-wage," 106,636 "
 KAMPALA ,6023-PHC Non-wage," 547,900 "
 KAMULI ,6023-PHC Non-wage," 508,728 "
 KAMWENGE ,6023-PHC Non-wage," 237,304 "
 KANUNGU ,6023-PHC Non-wage," 192,825 "
 KAPCHORWA ,6023-PHC Non-wage," 187,036 "
 KASESE ,6023-PHC Non-wage," 319,395 "
 KATAKWI ,6023-PHC Non-wage," 264,374 "
 KAYUNGA ,6023-PHC Non-wage," 267,680 "
 KIBALE ,6023-PHC Non-wage," 246,518 "
 KIBOGA ,6023-PHC Non-wage," 207,122 "
 KISORO ,6023-PHC Non-wage," 224,940 "
 KITGUM ,6023-PHC Non-wage," 220,576 "
 KOTIDO ,6023-PHC Non-wage," 250,981 "
 KUMI ,6023-PHC Non-wage," 273,076 "
 KYENJOJO ,6023-PHC Non-wage," 307,993 "
 LIRA ,6023-PHC Non-wage," 596,604 "
 LUWERO ,6023-PHC Non-wage," 433,091 "
 MASAKA ,6023-PHC Non-wage," 729,632 "
 MASINDI ,6023-PHC Non-wage," 331,212 "
 MAYUGE ,6023-PHC Non-wage," 254,856 "
 MBALE ,6023-PHC Non-wage," 551,100 "
 MBARARA ,6023-PHC Non-wage," 857,597 "
 MOROTO ,6023-PHC Non-wage," 187,524 "
 MOYO ,6023-PHC Non-wage," 128,709 "
 MPIGI ,6023-PHC Non-wage," 335,326 "
 MUBENDE ,6023-PHC Non-wage," 519,317 "
 MUKONO ,6023-PHC Non-wage," 553,477 "
 NAKAPIRIPIRIT ,6023-PHC Non-wage," 187,004 "
 NAKASONGOLA ,6023-PHC Non-wage," 132,817 "
 NEBBI ,6023-PHC Non-wage," 328,407 "
 NTUNGAMO ,6023-PHC Non-wage," 358,156 "
 PADER ,6023-PHC Non-wage," 219,590 "
 PALLISA ,6023-PHC Non-wage," 390,640 "
 RAKAI ,6023-PHC Non-wage," 342,287 "
 RUKUNGIRI ,6023-PHC Non-wage," 223,392 "
 SEMBABULE ,6023-PHC Non-wage," 188,927 "
 SIRONKO ,6023-PHC Non-wage," 270,780 "
 SOROTI ,6023-PHC Non-wage," 327,472 "
 TORORO ,6023-PHC Non-wage," 456,467 "
 WAKISO ,6023-PHC Non-wage," 602,749 "
 YUMBE ,6023-PHC Non-wage," 113,280 "
ARUA M.C.,,
ENTEBBE M.C.,,
FORT PORTAL M.C.,,
GULU M.C.,,
JINJA M.C.,,
KABALE M.C.,,
LIRA M.C.,,
MASAKA M.C.,,
MBALE M.C.,,
MBARARA M.C.,,
MOROTO M.C.,,
SOROTI M.C.,,
TORORO M.C.,,
,,
 ADJUMANI ,6024-Urban Uncon," 33,274 "
 APAC ,6024-Urban Uncon," 48,772 "
 ARUA ,6024-Urban Uncon," 39,202 "
 BUGIRI ,6024-Urban Uncon," 98,288 "
 BUNDIBUGYO ,6024-Urban Uncon," 30,626 "
 BUSHENYI ,6024-Urban Uncon," 111,443 "
 BUSIA ,6024-Urban Uncon," 35,728 "
 HOIMA ,6024-Urban Uncon," 77,838 "
 IGANGA ,6024-Urban Uncon," 74,760 "
 JINJA ,6024-Urban Uncon," 44,198 "
 KABERAMAIDO ,6024-Urban Uncon," 26,061 "
 KALANGALA ,6024-Urban Uncon," 26,937 "
 KAMULI ,6024-Urban Uncon," 43,396 "
 KAMWENGE ,6024-Urban Uncon," 27,530 "
 KANUNGU ,6024-Urban Uncon," 26,276 "
 KAPCHORWA ,6024-Urban Uncon," 40,262 "
 KASESE ,6024-Urban Uncon," 118,951 "
 KATAKWI ,6024-Urban Uncon," 41,033 "
 KAYUNGA ,6024-Urban Uncon," 25,365 "
 KIBALE ,6024-Urban Uncon," 38,112 "
 KIBOGA ,6024-Urban Uncon," 56,083 "
 KISORO ,6024-Urban Uncon," 45,041 "
 KITGUM ,6024-Urban Uncon," 57,472 "
 KOTIDO ,6024-Urban Uncon," 51,511 "
 KUMI ,6024-Urban Uncon," 52,109 "
 KYENJOJO ,6024-Urban Uncon," 28,642 "
 LUWERO ,6024-Urban Uncon," 150,455 "
 MASAKA ,6024-Urban Uncon," 41,641 "
 MASINDI ,6024-Urban Uncon," 40,439 "
 MAYUGE ,6024-Urban Uncon," 35,577 "
 MBARARA ,6024-Urban Uncon," 31,602 "
 MOYO ,6024-Urban Uncon," 41,022 "
 MPIGI ,6024-Urban Uncon," 45,701 "
 MUBENDE ,6024-Urban Uncon," 137,351 "
 MUKONO ,6024-Urban Uncon," 334,636 "
 NAKAPIRIPIRIT ,6024-Urban Uncon," 47,818 "
 NAKASONGOLA ,6024-Urban Uncon," 38,276 "
 NEBBI ,6024-Urban Uncon," 138,632 "
 NTUNGAMO ,6024-Urban Uncon," 36,407 "
 PADER ,6024-Urban Uncon," 25,012 "
 PALLISA ,6024-Urban Uncon," 51,097 "
 RAKAI ,6024-Urban Uncon," 101,865 "
 RUKUNGIRI ,6024-Urban Uncon," 28,802 "
 SEMBABULE ,6024-Urban Uncon," 115,749 "
 SIRONKO ,6024-Urban Uncon," 31,541 "
 WAKISO ,6024-Urban Uncon," 58,172 "
 YUMBE ,6024-Urban Uncon," 27,642 "
ARUA M.C.,6024-Urban Uncon," 157,297 "
ENTEBBE M.C.,6024-Urban Uncon," 177,882 "
FORT PORTAL M.C.,6024-Urban Uncon," 117,169 "
GULU M.C.,6024-Urban Uncon," 139,625 "
JINJA M.C.,6024-Urban Uncon," 218,614 "
