"item","value. ARUA ","value. GULU ","value. JINJA ","value. KABALE ","value. KABAROLE ","value. LIRA ","value. MASAKA ","value. MBALE ","value. SOROTI ","value. ADJUMANI ","value. BUGIRI ","value. BUNDIBUGYO ","value. BUSHENYI ","value. BUSIA ","value. HOIMA ","value. IGANGA ","value. KABERAMAIDO ","value. KALANGALA ","value. KAMULI ","value. KAPCHORWA ","value. KASESE ","value. KIBOGA ","value. KISORO ","value. KITGUM ","value. KOTIDO ","value. KUMI ","value. LUWERO ","value. MASINDI ","value. MBARARA ","value. MOROTO ","value. MOYO ","value. MUBENDE ","value. MUKONO ","value. PALLISA ","value. RAKAI ","value. TORORO ","value.ARUA M.C.","value.MOROTO M.C.","value.SOROTI M.C.","value. APAC ","value. KAMPALA ","value. KAMWENGE ","value. KANUNGU ","value. KATAKWI ","value. KAYUNGA ","value. KIBALE ","value. KYENJOJO ","value. MAYUGE ","value. MPIGI ","value. NAKAPIRIPIRIT ","value. NAKASONGOLA ","value. NEBBI ","value. NTUNGAMO ","value. PADER ","value. RUKUNGIRI ","value. SEMBABULE ","value. SIRONKO ","value. WAKISO ","value. YUMBE ","value.ENTEBBE M.C.","value.FORT PORTAL M.C.","value.GULU M.C.","value.JINJA M.C.","value.KABALE M.C.","value.LIRA M.C.","value.MASAKA M.C.","value.MBALE M.C.","value.MBARARA M.C.","value.TORORO M.C."
"1112-Health training"," 190,593 "," 186,481 "," 231,841 "," 399,359 "," 299,539 "," 102,181 "," 154,975 "," 221,393 "," 102,181 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6019-Urban Water",,,,,," 9,325 ",,," 27,974 "," 46,624 "," 18,650 "," 37,299 "," 60,690 "," 18,650 "," 56,814 "," 46,624 "," 56,814 "," 9,469 "," 46,624 "," 37,974 "," 37,299 "," 18,650 "," 37,299 "," 37,299 "," 37,299 "," 47,806 "," 37,299 "," 74,598 "," 37,299 "," 18,650 "," 46,624 "," 48,817 "," 26,578 "," 37,299 "," 55,949 "," 18,650 "," 49,596 "," 46,624 "," 69,682 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6020-Dist Uncond"," 2,107,455 "," 1,676,427 "," 1,340,677 "," 1,475,112 "," 1,270,035 "," 2,027,927 "," 2,363,104 "," 1,795,323 "," 1,252,074 "," 674,034 "," 1,103,186 "," 698,491 "," 2,233,586 "," 688,019 "," 987,070 "," 1,809,304 "," 582,235 "," 556,758 "," 1,782,626 "," 746,352 "," 1,526,522 "," 775,069 "," 769,492 "," 1,095,675 "," 1,363,816 "," 1,042,052 "," 1,805,917 "," 1,327,518 "," 2,785,455 "," 778,300 "," 581,088 "," 1,963,985 "," 2,287,409 "," 1,390,071 "," 1,781,502 "," 1,749,171 ",,,," 1,831,476 "," 2,416,118 "," 866,629 "," 763,222 "," 801,030 "," 994,578 "," 1,012,359 "," 1,217,759 "," 1,018,439 "," 1,422,323 "," 707,753 "," 659,558 "," 1,242,300 "," 1,162,714 "," 989,847 "," 960,466 "," 674,936 "," 866,451 "," 2,000,924 "," 571,934 ",,,,,,,,,,
"6021- UPE"," 1,781,939 "," 726,877 "," 475,463 "," 832,748 "," 489,049 "," 1,260,146 "," 878,965 "," 1,398,006 "," 607,571 "," 161,578 "," 793,488 "," 382,430 "," 1,460,731 "," 461,479 "," 513,746 "," 1,522,619 "," 279,394 "," 35,914 "," 1,323,965 "," 419,404 "," 990,601 "," 379,211 "," 385,307 "," 519,501 "," 349,606 "," 807,199 "," 796,790 "," 641,109 "," 1,712,536 "," 100,758 "," 190,700 "," 1,074,865 "," 930,045 "," 997,166 "," 700,925 "," 1,016,205 "," 80,119 "," 13,024 "," 109,202 "," 1,599,021 "," 463,563 "," 367,031 "," 324,322 "," 538,173 "," 539,960 "," 662,450 "," 548,092 "," 619,637 "," 803,220 "," 110,452 "," 204,061 "," 768,437 "," 742,335 "," 743,539 "," 473,310 "," 304,132 "," 656,577 "," 792,129 "," 500,782 "," 58,954 "," 76,267 "," 211,338 "," 120,490 "," 83,033 "," 92,039 "," 42,710 "," 130,443 "," 101,176 "," 62,332 "
"6022-Rural Feeder Rds"," 412,618 "," 161,200 "," 181,906 "," 308,546 "," 120,802 "," 231,614 "," 341,080 "," 130,144 "," 111,624 "," 276,582 "," 236,973 "," 270,790 "," 546,096 "," 332,190 "," 471,101 "," 273,468 "," 91,788 "," 110,480 "," 368,644 "," 207,255 "," 347,415 "," 307,514 "," 252,194 "," 69,706 "," 143,790 "," 183,150 "," 442,706 "," 516,975 "," 446,395 "," 144,293 "," 98,328 "," 553,616 "," 468,733 "," 180,425 "," 297,767 "," 136,114 "," 92,140 "," 92,140 "," 92,140 "," 401,378 "," 200,099 "," 150,012 "," 299,586 "," 202,259 "," 251,542 "," 318,487 "," 287,331 "," 190,916 "," 249,892 "," 225,548 "," 276,372 "," 274,200 "," 235,664 "," 168,163 "," 233,567 "," 155,391 "," 100,065 "," 160,345 "," 140,465 "," 92,140 "," 92,140 "," 92,140 "," 92,140 "," 92,140 "," 92,140 "," 92,140 "," 92,140 "," 94,988 "," 92,140 "
"6023-PHC Non-wage"," 604,228 "," 446,254 "," 349,431 "," 547,126 "," 308,645 "," 596,604 "," 729,632 "," 551,100 "," 327,472 "," 106,938 "," 279,534 "," 246,912 "," 648,451 "," 201,823 "," 214,537 "," 514,492 "," 137,648 "," 106,636 "," 508,728 "," 187,036 "," 319,395 "," 207,122 "," 224,940 "," 220,576 "," 250,981 "," 273,076 "," 433,091 "," 331,212 "," 857,597 "," 187,524 "," 128,709 "," 519,317 "," 553,477 "," 390,640 "," 342,287 "," 456,467 ",,,," 463,652 "," 547,900 "," 237,304 "," 192,825 "," 264,374 "," 267,680 "," 246,518 "," 307,993 "," 254,856 "," 335,326 "," 187,004 "," 132,817 "," 328,407 "," 358,156 "," 219,590 "," 223,392 "," 188,927 "," 270,780 "," 602,749 "," 113,280 ",,,,,,,,,,
"6024-Urban Uncon"," 39,202 ",," 44,198 ",,,," 41,641 ",,," 33,274 "," 98,288 "," 30,626 "," 111,443 "," 35,728 "," 77,838 "," 74,760 "," 26,061 "," 26,937 "," 43,396 "," 40,262 "," 118,951 "," 56,083 "," 45,041 "," 57,472 "," 51,511 "," 52,109 "," 150,455 "," 40,439 "," 31,602 ",," 41,022 "," 137,351 "," 334,636 "," 51,097 "," 101,865 ",," 157,297 "," 28,335 "," 56,119 "," 48,772 ",," 27,530 "," 26,276 "," 41,033 "," 25,365 "," 38,112 "," 28,642 "," 35,577 "," 45,701 "," 47,818 "," 38,276 "," 138,632 "," 36,407 "," 25,012 "," 28,802 "," 115,749 "," 31,541 "," 58,172 "," 27,642 "," 177,882 "," 117,169 "," 139,625 "," 218,614 "," 181,184 "," 177,854 "," 194,050 "," 170,935 "," 129,201 "," 217,806 "
"6026-Referral Hospt","0","0","0","0","0",,"0","0","0",,,,,,"0",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6027-Sec capitation"," 276,829 "," 145,371 "," 234,211 "," 237,948 "," 157,551 "," 238,398 "," 220,860 "," 358,172 "," 120,629 "," 38,386 "," 76,457 "," 72,517 "," 250,443 "," 92,351 "," 112,704 "," 243,081 "," 26,904 "," 2,657 "," 188,553 "," 113,559 "," 125,447 "," 39,894 "," 50,521 "," 87,646 "," 30,776 "," 66,821 "," 119,436 "," 132,066 "," 317,579 "," 24,067 "," 7,542 "," 161,262 "," 316,189 "," 169,529 "," 119,931 "," 269,760 ",,,," 161,897 "," 636,735 "," 39,061 "," 35,459 "," 30,776 "," 66,686 "," 98,655 "," 49,058 "," 18,867 "," 533,689 "," 6,642 "," 38,769 "," 56,555 "," 122,835 "," 37,238 "," 160,388 "," 21,005 "," 68,464 "," 133,462 "," 21,501 ",,,,,,,,,,
"6028-Dist Hospitals","0"," 207,947 ",,,," 505,817 ",," 199,254 ",," 207,947 "," 230,073 "," 215,164 "," 257,135 ",,," 207,947 ",,,," 207,947 "," 215,492 "," 230,073 "," 361,303 "," 199,254 "," 189,904 "," 465,410 "," 207,947 "," 415,893 "," 303,033 "," 241,773 "," 421,800 "," 207,947 "," 210,900 "," 199,254 "," 199,254 "," 620,983 ",,,," 199,254 ",,,,,," 199,254 ",,," 199,254 ",,,,,," 199,254 ",,,,,,,,,,,,,,
