id,year,budget-type,l1,l2,l3,l4,value
SN,2013,budget,education,,,,990940056.6936
SN,2014,budget,education,,,,1047707520.8876
SN,2015,budget,education,,,,1072734548.6128
SN,2013,budget,education,ministere-de-leducation-nationale,,,724224511.3728
SN,2013,budget,education,ministere-de-leducation-nationale,recurrent,,640329721.446
SN,2013,budget,education,ministere-de-leducation-nationale,recurrent,wage,388678220.1648
SN,2013,budget,education,ministere-de-leducation-nationale,recurrent,non-wage,251649447
SN,2013,budget,education,ministere-de-leducation-nationale,capital,,83894789.9268
SN,2013,budget,education,ministere-de-leducation-nationale,capital,external-funded-grants,27254148.6804
SN,2013,budget,education,ministere-de-leducation-nationale,capital,external-funded-loans,8069216.5536
SN,2013,budget,education,ministere-de-leducation-nationale,capital,government-funded,48571424.6928
SN,2013,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,,,58551426.5166354
SN,2013,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,,35629226.504498
SN,2013,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,wage,17782570.2454064
SN,2013,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,non-wage,17846656.2590916
SN,2013,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,,22922200.0121373
SN,2013,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,external-funded-grants,3523092.258
SN,2013,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,external-funded-loans,0
SN,2013,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,government-funded,19399107.7541373
SN,2013,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,,,208164422.5584
SN,2013,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,,173438172.118297
SN,2013,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,wage,1033148.30428378
SN,2013,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,non-wage,172405023.814013
SN,2013,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,,34725569.4048
SN,2013,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,external-funded-grants,0
SN,2013,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,external-funded-loans,14379968.4
SN,2013,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,government-funded,20345601.0048
SN,2014,budget,education,ministere-de-leducation-nationale,,,763395826.7605
SN,2014,budget,education,ministere-de-leducation-nationale,recurrent,,677271732.8744
SN,2014,budget,education,ministere-de-leducation-nationale,recurrent,wage,419209542.0744
SN,2014,budget,education,ministere-de-leducation-nationale,recurrent,non-wage,258062190.8
SN,2014,budget,education,ministere-de-leducation-nationale,capital,,86123914.9074838
SN,2014,budget,education,ministere-de-leducation-nationale,capital,external-funded-grants,29465182.9883116
SN,2014,budget,education,ministere-de-leducation-nationale,capital,external-funded-loans,5878752.4391722
SN,2014,budget,education,ministere-de-leducation-nationale,capital,government-funded,50779979.48
SN,2014,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,,,63569708.2726528
SN,2014,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,,32639674.8000523
SN,2014,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,wage,14355670.9778942
SN,2014,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,non-wage,18284003.8221581
SN,2014,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,,30930033.4726005
SN,2014,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,external-funded-grants,6996846.4226005
SN,2014,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,external-funded-loans,1040573.35
SN,2014,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,government-funded,22892613.7
SN,2014,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,,,220743068.1756
SN,2014,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,,176580471.315803
SN,2014,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,wage,1140337.2793579
SN,2014,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,non-wage,175440134.036445
SN,2014,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,,44161932.974
SN,2014,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,external-funded-grants,0
SN,2014,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,external-funded-loans,6243440.1
SN,2014,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,government-funded,37918492.874
SN,2015,budget,education,ministere-de-leducation-nationale,,,748539608.0208
SN,2015,budget,education,ministere-de-leducation-nationale,recurrent,,672672702.0752
SN,2015,budget,education,ministere-de-leducation-nationale,recurrent,wage,428582602.1632
SN,2015,budget,education,ministere-de-leducation-nationale,recurrent,non-wage,244090099.912
SN,2015,budget,education,ministere-de-leducation-nationale,capital,,75866905.9456
SN,2015,budget,education,ministere-de-leducation-nationale,capital,external-funded-grants,25459912.816
SN,2015,budget,education,ministere-de-leducation-nationale,capital,external-funded-loans,10095128
SN,2015,budget,education,ministere-de-leducation-nationale,capital,government-funded,40311865.1296
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,,,61323923.9889137
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,,32898062.5665137
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,wage,14230454.7227537
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,recurrent,non-wage,18667607.84376
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,,28425861.4224
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,external-funded-grants,7066589.6
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,external-funded-loans,2019025.6
SN,2015,budget,education,ministere-de-la-formation-professionnelle-de-lapprentissage-et-de-lartisanat,capital,government-funded,19340246.2224
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,,,262871076.0432
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,,194523995.49071
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,wage,989428.421702464
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,recurrent,non-wage,193534567.069008
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,,68348054.6112
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,external-funded-grants,0
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,external-funded-loans,26816698.0192
SN,2015,budget,education,ministere-de-lenseignement-superieur-et-de-la-recherche,capital,government-funded,41531356.592
SN,2013,budget,health,,,,254098150.1904
SN,2014,budget,health,,,,264503339.8365
SN,2015,budget,health,,,,271694217.9152
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,,,254098150.1904
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,,150332654.633788
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,wage,72697403.3230722
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,non-wage,77635251.310716
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,,103765851.9744
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-grants,30241073.5452
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-loans,10766487.7692
SN,2013,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,government-funded,62758290.66
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,,,264503339.8365
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,,156004433.536765
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,wage,74670275.6781845
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,non-wage,81334157.8585805
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,,108499873.533475
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-grants,25907485.5972753
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-loans,13914546.8362
SN,2014,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,government-funded,68677841.1
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,,,271694217.9152
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,,156722224.457816
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,wage,72652336.5054611
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,recurrent,non-wage,84069887.9523552
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,,114971393.7664
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-grants,48537375.424
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,external-funded-loans,10355582.3024
SN,2015,budget,health,ministere-de-la-sante-et-de-laction-sociale,capital,government-funded,56078436.04
SN,2013,budget,water-and-sanitation,,,,114774853.884275
SN,2014,budget,water-and-sanitation,,,,73660675.7431601
SN,2015,budget,water-and-sanitation,,,,101228434.268845
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,114774853.884275
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,2603807.66601485
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,1579892.28749885
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,1023915.378516
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,112171046.21826
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,23066599.16826
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,37747417.05
SN,2013,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,51357030
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,73660675.7431601
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,2937525.28933405
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,1586590.53196305
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,1350934.757371
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,70723150.453826
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,19620593.235326
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,12212168.8356
SN,2014,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,38890388.3829
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,,,101228434.268845
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,,3683250.45604528
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,wage,1779707.06328848
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,recurrent,non-wage,1903543.3927568
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,,97545183.8128
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-grants,5451369.12
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,external-funded-loans,36342460.8
SN,2015,budget,water-and-sanitation,ministere-de-lhydraulique-et-de-lassainissement,capital,government-funded,55751353.8928
SN,2013,budget,agriculture,,,,349221641.1564
SN,2014,budget,agriculture,,,,335129134.2477
SN,2015,budget,agriculture,,,,393530298.7216
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,,,272356601.496
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,,19551311.1245388
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,wage,3736578.54252074
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,non-wage,15814732.5820181
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,,252806007.3156
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-grants,63165038.3376
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,external-funded-loans,49980661.596
SN,2013,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,capital,government-funded,139660307.382
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,,,27466211.3480491
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,,5347765.66764914
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,wage,3736578.54252074
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,recurrent,non-wage,1611187.1251284
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,,22118445.6804
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-grants,1887884.4228
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,external-funded-loans,8213016.2376
SN,2013,budget,agriculture,ministere-de-lelevage-et-des-productions-animales,capital,government-funded,12017545.02
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,,,49398556.9418043
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,,4212587.66660434
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,wage,2755903.03052794
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,recurrent,non-wage,1456684.6360764
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,,45185969.2752
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-grants,2978.70774
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,external-funded-loans,29828.163024
SN,2013,budget,agriculture,ministere-de-la-peche-et-des-affaires-maritimes,capital,government-funded,45153162.404436
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,,,279997477.018
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,,20726265.1454625
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,wage,4130002.61916334
SN,2014,budget,agriculture,ministere-de-lagriculture-et-de-lequipement-rural,recurrent,non-wage,16596262.5262992
