country,depth
Albania,0.06
Belarus,0
Bosnia and Herzegovina,0.01
Croatia,0
Cyprus,-1
Macedonia,0.03
Gibraltar,-1
Kosovo,-1
Malta,-1
Moldova,0.03
Montenegro,0.08
Serbia,0
Slovenia,0
Turkey,0
Ukraine,0
"Europe, regional",-1
Algeria,0.24
Egypt,0.37
Libya,-1
Morocco,0.4
Tunisia,0.19
"North of Sahara, regional",-1
Angola,16.24
Benin,18.82
Botswana,2.93
Burkina Faso,12.86
Burundi,34.7
Cape Verde,2.64
Cameroon,6.18
CAR,26.86
Chad,14.18
Comoros,22.12
Congo,11.47
Cote d'Ivoire,13.79
DRC,47.6
Djibouti,2.54
Equatorial Guinea,-1
Eritrea,-1
Ethiopia,10.39
Gabon,1.09
Gambia,11.89
Ghana,5.59
Guinea,13.07
Guinea-Bissau,16.44
Kenya,14.16
Lesotho,22.22
Liberia,29.4
Madagascar,48.93
Malawi,33.74
Mali,16.57
Mauritania,6.84
Mauritius,0.16
Mayotte,-1
Mozambique,22.85
Namibia,5.08
Niger,10.42
Nigeria,26.15
Rwanda,26.53
"Saint Helena, Ascension and Tristan da Cunha",-1
Sao Tome and Principe,13.33
Senegal,11.08
Seychelles,0.06
Sierra Leone,19.24
Somalia,-1
South Africa,1.19
South Sudan,-1
Sudan,4.59
Swaziland,15.53
Tanzania,12.98
Togo,22.52
Uganda,11.65
Zambia,40.64
Zimbabwe,-1
"South of Sahara, regional",-1
"Africa, regional",-1
Anguilla,-1
Antigua and Barbuda,-1
Aruba,-1
Bahamas,-1
Barbados,-1
Belize,5.08
Bermuda,-1
Virgin Islands (UK),-1
Cayman Islands,-1
Costa Rica,0.56
Cuba,-1
Dominica,-1
Dominican Republic,0.63
El Salvador,0.59
Grenada,-1
Guatemala,4.78
Haiti,25.21
Honduras,7.21
Jamaica,0
Mexico,0.26
Montserrat,-1
Netherlands Antilles,-1
Nicaragua,2.18
Panama,1.14
Saint Kitts and Nevis,-1
Saint Lucia,3.68
Saint Vincent and the Grenadines,-1
Trinidad and Tobago,0.33
Turks and Caicos Islands,-1
"West Indies, regional",-1
"North & Central America, regional",-1
Argentina,0.78
Bolivia ,3.12
Brazil,2.51
Chile,0.38
Colombia,2.02
Ecuador,1.95
Falkland Islands ,-1
Guyana,1.43
Paraguay,1.7
Peru,0.77
Suriname,3.61
Uruguay,0.08
Venezuela,3.44
"South America, regional",-1
"America, regional",-1
Brunei,-1
Cambodia,1.43
China,1.32
Taiwan,-1
North Korea,-1
Hong Kong,-1
Indonesia,2.68
South Korea,-1
Lao,7.93
Macau,-1
Malaysia,0
Mongolia,-1
Philippines,3.86
Singapore,-1
Thailand,0.03
Timor-Leste,7.55
Viet Nam,0.85
"Far East Asia, regional",-1
Afghanistan,-1
Armenia,0.4
Azerbaijan,0.11
Bangladesh,9.72
Bhutan,0.45
Georgia,5.61
India,5.13
Kazakhstan,0.01
Kyrgyzstan,1.18
Maldives,0
Myanmar,-1
Nepal,5.58
Pakistan,1.94
Sri Lanka,0.45
Tajikistan,1.06
Turkmenistan,0.99
Uzbekistan,-1
"Central Asia, regional",-1
"South Asia, regional",-1
"South & Central Asia, regional",-1
Bahrain,-1
Iran,0.21
Iraq,0.61
Israel,-1
Jordan,0.02
Kuwait,-1
Lebanon,-1
Oman,-1
Qatar,-1
Saudi Arabia,-1
Syria,0.05
UAE,-1
West Bank and Gaza,-1
Yemen,0.91
"Middle East, regional",-1
"Asia, regional",-1
Cook Islands,-1
Fiji,0.62
French Polynesia,-1
Kiribati,-1
Marshall Islands,-1
Micronesia,8.73
Nauru,-1
New Caledonia,-1
Niue,-1
Northern Mariana Islands,-1
Palau,-1
Papua New Guinea,1.08
Samoa,-1
Solomon Islands,-1
Tokelau,-1
Tonga,-1
Tuvalu,-1
Vanuatu,-1
Wallis and Futuna,-1
"Oceania, regional",-1
