country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0,0,95186895.26,117292001.7,334923804.9,453168969.6,373423706.3,271585152,117245140.8,96809635.39,230551217.9,83031499.98,93800000,77296513.07
Antigua and Barbuda,87891787.36,143018570.2,100707055.2,229049247.8,117408954.6,282750778.8,425556729.3,378383471.6,173639702.7,91191058.75,105978910.1,70475708.65,133805401.1,143799955.2
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,270019318.8,373429638,233313121.9,251140777,402948155.6,291719393,344419922.9,622915482.4,815435112.2,922584588,1042526257,829442232.7,855440505,1185206275
Armenia,221580822.3,146838802.9,238152020.2,255093841,444874962.9,437969205.2,607820330.1,686161214.4,818809846.4,763428587.8,507465566.5,472186635.3,488776717.4,378393279.7
Angola,3772229591,9713292066,6803780959,12020525155,3895609969,-2732158220,-64466052.62,-1294121152,1987915677,2981774802,-4130367703,-3185583314,-6897954559,-4185092240
Argentina,13150392287,2763725149,6746141754,4315256703,9857896945,11501419815,11196547961,11620443173,14942801521,6604035468,16918427797,14403671580,12116000000,9059004208
Azerbaijan,437142986.6,749403355.7,4564442332,10189600700,10187092750,3987308041,-1174329072,-7585249600,17791566.38,684038566.5,714827191,1519841846,2004600000,2512061982
Bosnia and Herzegovina,311717684.4,249322654.1,503593498.7,595004385.2,707861140.8,469160076.1,687363129.6,1942769291,924928271.2,243346583.9,408524168.1,460884280.5,366309510.5,309265919.1
Barbados,67204828.48,103840343.2,95951387.59,195568855.8,141139179.5,249517044.8,339298487.3,458959542.5,445727799.7,225037594.6,273841968.8,701224515.7,515616000,376166455.5
Bangladesh,868909393.4,556291034.2,514410590.2,528101206.9,678724061.3,1281123587,1199497663,945144471.4,1429780250,868888261.1,1077160292,1328507118,1292560000,1488641805
Burkina Faso,47538315.8,12761239.42,28138430.86,44919977.17,20109925.69,46017491.55,45236642.56,414474092.9,108788687,107155048.1,36523586.86,138799026.5,329300898.9,373907143
Bahrain,691634900,154455533.8,413145277.3,905719897.2,1366570560,1456139991,3718637128,2066076209,1894981475,312263134.9,176125720.4,797642985.2,891223404.3,955661599.7
Burundi,21590364.75,17058.46479,0,10085.90205,86885.20688,971873.1575,48573.84709,746860.2963,5050315.536,432728.8719,889679.179,3414500.925,604917.8169,6519938.391
Benin,119258004.1,87929942.06,25121961.88,68332741.84,88365196.36,70157944.03,67687405.46,290167855.8,167745784.2,137458811.3,186504034.6,157934916.4,281564834,306343501.8
Bolivia ,1485151104,1488149544,1506005412,441555016.4,183428790.5,-592000774.8,503066955.9,597992111.4,699085869.9,573381398.5,800936892.8,923117347.7,1059965391,1627702600
Brazil,77197459531,62339348702,51773449557,29332182881,46164948649,29753847356,31290564348,48611176073,55057707037,32211563041,49020196056,59929821603,65271851650,64755485276
Bhutan,0,0,4170815.214,5744145.261,13996351.06,9100194.918,97399294.41,4021423.116,23149376.54,83298085.35,37794449.9,27905948.73,21834932.07,22676107.58
Botswana,88891025.24,50325798.13,709580176.5,556757075.4,449633688.3,299575383.4,556987488.5,571836273.1,611523287.6,153680346.9,130127632.2,994725692.2,147058345,192921911.1
Belarus,331063472.7,235727817.4,540664647.1,329254093.6,269453531.2,422701157.1,442563822.3,1987400142,1977597741,2096986794,1495010379,4189843870,1463600000,2014946386
Belize,28085029.5,73740574.78,30159040.54,-13333170.03,133245244.6,148319601.4,121893158.9,152963206.7,177432701.1,116801631.7,103010832,96843085.56,194201500,90451631.1
DRC,57380873.03,146256569.1,247926632.7,707013367.5,683124395.1,408901501.5,345839412.4,2263204696,1972914543,821705819.9,3441039591,1812493500,3312142743,2066962981
CAR,1754718.274,10134277.6,10305613.33,16676464.79,20196354.63,13013962.3,42831599.47,63103543.29,113681309.4,41806740.64,62558657.04,35064412.73,71176400,1176246.741
Congo,407422221.5,214544922.5,379870987.8,812745634.3,1009737268,2388740876,2610208713,2795002165,2311018498,2267764777,2341772780,2789721317,2757934448,2147416305
Cote d'Ivoire,528625444.5,608111862.5,427232458.2,273702322.1,422392670.7,448648837.7,435642861.7,519383722.4,468552984.5,429388370,387302989.8,312883521.4,322091874.5,354344764.9
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,9985161452,9754848055,6153426592,9959928114,13624529568,11451090398,10085479529,16056365608,19708239841,16920913152,17284101136,23606919107,28541722262,20539198336
Cameroon,299878843.2,139145526.8,1051904970,488499209.7,112036324.2,308252906.6,71322769.33,206608479.5,20359628.95,785951644.4,580493554.8,647618940.2,525760000,541453691.4
China,89371038220,1.00812E+11,1.12747E+11,1.11491E+11,1.1815E+11,1.34421E+11,1.26541E+11,1.28828E+11,1.41598E+11,1.22849E+11,1.37897E+11,1.31919E+11,1.2108E+11,1.18144E+11
Colombia,5452140751,5881621987,5073499648,4400491838,6567207481,18674184685,11661196682,13284706721,13694372046,9783999205,7832943682,14164854547,15528957750,17052999375
Costa Rica,691082817.7,765176045.5,1098234569,979974624.5,1328709473,1421312368,2338016627,2787321548,2768709482,1803131809,1667467015,2277547438,2332284000,2549592550
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,72492986.3,21477209.15,62310279.48,44395752.74,82383930.84,98071150.5,150940076.7,196183476.3,244621683.1,167080677.8,158469851,142389318.7,57324195.08,17868183.08
Djibouti,5022214.435,5086471.428,5142584.551,20870654.51,54807421.83,30580098.17,144054732.9,247634262.8,264633061.6,113455265.2,29346216.73,81302396.93,110000000,279031259.1
