country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brazil,91392195628,94344499145,61518431024,70594352062,61771754037,47568971535,80432973280,81312617075,79676195116,63097401111,77623024000,97282743202,74624810000,1.01985E+11
Mexico,40259359025,54050486611,26727736547,30829762488,43972255126,30469026793,31693152976,40856881291,30745581058,32767389608,50896270735,53765931683,95309248000,82383139994
Turkey,38096044230,25274610175,46126328427,58753105868,45068612163,50542311046,67738984271,72916020567,57264745082,36941980614,41734811282,50126986645,61438126000,74057789996
India,12327002570,5463925494,8680255545,23862475946,18168322302,20816224510,36908928817,64702355427,37303334090,22855864367,33945471187,34122109699,44895030000,63640382003
China,29067431171,20695302661,33118748313,46541657150,39055972995,47469157654,39165081583,50709439547,43993216265,25806485723,44902814866,44999290008,34591692000,54085104001
Indonesia,7376126991,6482384595,5257323589,12004544447,17425607790,23205408657,24933180807,22108194172,25061689713,34468413291,32532934068,38243917390,49764307000,46683372999
Kazakhstan,12886113552,19185602584,19492068738,28093694215,44164802135,39702936015,68717772576,68205912733,50590864930,43359470810,53016972129,32798124927,31913602000,44954006002
Ukraine,4919695389,5666010092,8496001204,12037298173,16226159167,13494041466,27772068436,35632234746,31935107818,27963692953,40171546968,29984086135,19133939000,32645752003
Colombia,7022894193,10962665903,5761077524,9923872974,7836471993,9884382234,12295688419,10581683977,6427120624,14689223980,12410721784,15845066606,13495260000,19616582000
Thailand,4419995551,13996957742,16451646225,13302948734,15708600581,27212261576,21422153445,23651024726,16093721575,15596677289,17958033137,16860148449,28774949000,18294110998
Malaysia,10226797579,11566568896,12598319743,8510784100,11626643276,8535076816,10277713713,7214153184,5703898565,10469554111,16296975714,12819412678,14811964000,17369915000
South Africa,6734809048,7933465586,8866240432,4892507846,4234646256,6941181002,5994226219,10449797220,2422454477,5269623419,4719526296,6963956785,7897245000,8907438999
Serbia,632996586.2,420050187.2,534476682.6,956789576,2123068429,3567739674,5940174648,6139251988,5497036401,3517569827,3601686371,4544185152,5417175000,7973311001
Argentina,16576599438,226661048,1845767963,2165953151,6262899215,6367445160,11268318744,10315447572,6042566096,5479306082,5171518253,8947645725,5693942000,7200369000
Viet Nam,222022805.2,390964165.5,113207921,46867620.09,323041254,1397322795,128105009,656227540.8,753536048.2,805989321.1,3950718744,3257738787,4272871000,6099121000
