country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,234,716.5,"2,008.40","2,145.30","2,763.20","3,259.10","3,288.80","4,153.30","4,897.60","6,417.20","6,729.20","6,641.00","6,467.80","5,238.50",0
"Africa, regional","1,055.40",662,777.4,747.2,783.8,"1,094.80","1,012.10","1,515.20","1,338.70","2,556.80","1,707.90","1,944.70","1,950.00","1,888.00",0
Albania,519.8,449.9,475.4,486.1,384.3,397.7,389.4,347,381.5,384.9,411.6,412.4,373.3,285.6,0
Algeria,320.3,405.3,398.2,384.4,459.1,474.6,488.2,472.6,389,371,283.3,280.1,246.1,252.2,0
"America, regional",584.6,667.2,512.3,509.1,556.3,707,615.1,598.9,"1,145.00",917.7,"1,405.50","1,331.70","1,132.10","1,682.20",0
Angola,502.2,482.5,637.8,661.1,"1,364.60",503,461.8,402.1,400.3,311.9,306.7,246.3,292.2,337.8,0
Anguilla,5.6,5.9,2.9,5.6,3.5,5.1,5.3,6.3,3.5,2.1,8.6,0.8,5.4,7.6,0
Antigua and Barbuda,7.7,12.3,21.8,8.8,4.2,10.4,5,8.9,9,7.1,20.2,16.2,3.2,2.6,0
Argentina,194.9,355.4,135.6,176.4,141.8,131.1,160.1,172.3,163.8,161.6,157,115.9,194.4,82.4,0
Armenia,307.3,318.3,445.1,353,337.8,241.6,289.8,431,359.4,595.8,400,430.3,316.1,317.6,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia, regional",385.5,502.4,456.5,343.2,352.6,"1,151.60",976.7,902.3,924.7,934.4,887.7,932.2,874.5,"1,071.60",0
Azerbaijan,188.6,316.2,486.6,402.1,214.1,258.3,230.1,239.4,233,246.8,196.3,314.4,333.3,291,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,2.1,2.5,6,1.8,2,0,0,0,0,0,0,0,0,0,0
Bangladesh,"2,386.30","2,291.10","2,028.50","2,345.60","2,505.40","2,113.40","2,271.80","2,289.80","3,611.00","1,985.80","2,185.70","2,221.20","2,977.70","3,499.20",0
Barbados,9.7,6.2,18.6,34.5,41.4,9.2,7.7,20.1,9.5,13.7,17.7,0,0,0,0
Belarus,0,0,0,0,0,66,88.5,89,106.3,100.9,141.9,122,104.7,99.9,0
Belize,37.1,50.8,52.1,22.9,16.7,21.2,16.9,30.5,26.1,31.2,29.8,27.9,31,53.1,0
Benin,459.4,523.8,409.4,460.1,579.8,484.7,"1,783.50",516.4,647.5,701.6,725.4,701.6,537.8,674.3,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,89.9,104.9,119.6,108.1,100.4,113.4,128.2,107.3,96.5,139.5,145.1,145.6,170,144.8,0
Bolivia ,888,"1,350.50","1,602.70","1,433.90","1,646.10",897.3,"2,902.60","1,901.20",648.9,757.6,893.4,718.1,688.7,720.6,0
Bosnia and Herzegovina,"1,198.40","1,016.70",859.7,725,795.1,606.7,545.6,469.2,456.3,415,529.3,621,613.7,589.7,0
Botswana,67,67.8,74.5,55.3,81.2,81.2,100.3,130.3,740.7,305.1,172.8,127.8,89.5,126.1,0
Brazil,569,673.5,612.8,591.6,488.9,553.7,465.9,519.2,648.9,602.1,628.2,956.1,"1,655.40","1,371.60",0
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,616.6,752.2,779.3,784.1,854.9,894.3,"2,626.30","1,017.40","1,021.90","1,142.60","1,124.40","1,007.70","1,217.00","1,078.10",0
Burundi,190,273.5,301.5,331.5,514,470.7,541,539.8,573.6,"1,655.40",663.6,566.5,538.9,562.3,0
Cambodia,625.5,690.4,767.2,719.9,624,671.9,731.6,748,803.8,799.4,803.9,847.6,858.5,893,0
Cameroon,846,977.1,"1,237.80","1,388.30","1,172.90",764,"3,939.20","2,146.20","1,112.40",801.8,678.5,666.7,691,773.4,0
Cape Verde,164.8,136.8,155.4,204.3,185.2,205,170.8,184.9,228.9,214.4,348.8,264.5,266.4,259.3,0
CAR,138.9,146.6,103.7,76.9,140.6,116,220.8,242.5,291,829.4,280.7,266.6,236.1,193.5,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central Asia, regional",0,0,0,0,0,8.8,173.7,265.5,291.4,364.2,205.2,157.7,181.4,209.4,0
Chad,233.1,332.7,404.8,389.8,445.6,503,382.4,424.8,506.5,624.9,555,506.7,532.6,453.6,0
Chile,123.3,184.8,132.4,132.3,133.5,215.8,136.7,135.6,131.7,107.4,223.8,173.8,142.1,92.4,0
China,"3,272.50","3,335.80","3,506.00","3,235.30","3,550.60","3,746.80","3,218.10","3,461.30","3,292.10","3,069.20","2,708.40","2,554.60","2,392.10","1,780.40",0
Colombia,413.8,673.8,737.3,"1,089.00",740.9,844.4,"1,190.60",828.7,"1,048.30","1,150.20",997.8,"1,040.20",808.4,874.5,0
Comoros,36.7,49.7,49.3,37.7,36.5,32.3,39,51.6,42.1,58.7,57.9,58.2,104.4,172.9,0
Congo,85.2,146.5,139.3,117.4,195.9,"1,794.70",481.5,158.6,497.4,321.3,"1,626.30",332.7,189.3,174.8,0
Cook Islands,9.5,11.7,8.8,10.6,13.7,11.8,39.6,12.6,7.6,10.7,16.3,28.6,22.1,16.8,0
