country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,43972691.31,56765438.86,37802018.71,40916948.99,37684779.04,27449419.3,25178477.81,21358833.13,18938946.72,20750803.27,19363699,18597694.44,20556413.65,21608197.42
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,235197545.2,275194546,352455359.3,368611242.1,812000498.6,840883911.4,1082153604,1205433763,1442915269,1102853515,1154757431,1987364520,2122901855,2331420294
Angola,0,0,0,0,0,0,0,0,88634229.39,174926.2726,18794477.93,211296.289,45000.00179,46779.3341
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,97438141.95,179600520.1,293471131,228133023.9,271652884.6,729123447.3,898507760.2,1296266047,1446994964,1222757664,1421092844,1781390912,1990179932,1646953070
Bosnia and Herzegovina,2860442492,2736614577,2550786386,2391601262,2522690099,2422413614,2471589162,2767276566,2601301848,2083898709,1839681273,1845700354,1838499023,1804351991
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,6619652439,6962862272,9368762657,9900088033,10266493770,10240517570,10914132015,10481799476,11289388210,15204850884,13776246010,12522950330,14084934570,13225670145
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,66007.85153,104852.9645,15482.71854,252641.9508,4240295.047,32818777.6,42320227.52,48945524.09,46433647.16,49480001.04
Benin,130739898.3,131202735.5,119441851.2,83467659.05,92894618.8,222620959.3,295908737.9,341083262.3,272482661.6,156302453.4,164445946.4,163006945.3,139433075,160079241.1
Bolivia ,353552380.3,332873268.7,247029699.1,303125372.8,346372263.5,464668060.6,747282287.2,1160535431,1025648683,1182235596,1030233934,1091843231,1110532104,1084173732
Brazil,3292770319,3558175925,4554502344,4309852396,4948155800,3710471476,4182283062,3757997449,3597774356,2957420931,2905209208,2743623931,2582640381,2428518433
Bhutan,0,0,0,0,0,0,2219427.58,2833547.4,3414244.666,4428344.419,7816171.547,10097801.05,10442902.57,11796969.55
Botswana,31579934.54,31249398.77,32160809.42,47441254.01,109374345.3,137781739,116202097.6,98527421.48,48965884.91,16321576.9,23784481.79,20757801.17,16360530.85,36253475.24
Belarus,164959653.5,176190900.5,159377572.1,249768440.2,284890366.2,209793906.3,278139537.8,289931063.4,579352429.9,505529929.2,534123113.5,920233754.1,1053099976,1133847558
Belize,50269848.63,58736151.85,54122834.66,59330105.86,55219057.62,62059298.65,81407255.37,86025001.34,80799715.91,95408104.12,88299088.95,76943360.96,75945648.19,71906063.59
DRC,0,0,0,0,0,0,0,0,0,0,0,0,0,11929750.56
CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,19550302.58,23010991.14,2056608.941,17996372.79,19453744.55,14399729.82,15933139.79,16166180.52,0,0,0,0,0,0
Cote d'Ivoire,235489754.6,226783949.8,219270590,208977506.2,212928719,210251311.5,206018649.2,205370121,193092499.4,311551371.9,379783081.7,354802808,373477569.6,549127212.1
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,34514886.98,30005490.65,28328432.38,22013283.93,18893903.23,19679262.23,3512667.804,2947306.066,2531585.618,4513618.534,4608747.332,0,0,291984.9682
Cameroon,64356261.39,42600587.57,67222753.11,117911088.7,143167552.9,102854538.3,161023641.9,178701108.8,149605396.7,179500237.5,115564656,107302611.2,114858955.4,196178860.5
China,9919808634,13313954703,19274290700,22431015862,27440304847,31635100342,36897325696,46071568014,48847064188,43982167736,55145067437,59290007413,57798943374,59425784530
Colombia,2975481234,3832553286,5028997098,6717532072,6201257813,5560985123,6038774061,6752841128,6434886677,5191210273,4625148362,4279472978,4122703613,3949829549
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,135135753,132772934.6,149649916.4,144572525.4,130333317.5,146941381.3,156441071.3,160565215.1,182090700.6,163112822.8,125240623.9,160905203.3,166725357.1,180260417.3
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,33504546.47,39819568.73,42005917.52,40946601.09,43558599.59,35130468.64,29979672.93,28714703.84,28811843.26,29067279.7,25158396.2,23029154.66,23190322.88,23877853.12
Dominican Republic,4036257693,4261941325,4690694232,4845587375,4874118103,5048176387,5314332413,5239738720,4713539905,4415704010,4122237219,3883894777,3602503620,4276742251
Algeria,3391825615,3033280191,4353938032,6002202477,6612250328,4316603720,2751974811,3071093015,2607186363,2783547712,2616582406,2046146421,1942212000,1953451982
Ecuador,2958953315,3286929448,3419325554,4177802809,4002738452,4480944420,5139986116,4905506699,3991643817,3759328843,3017707986,2832443181,2453915772,2479393214
Egypt,6529487277,6323861525,5713803930,4646398953,4682391942,6857534111,7082644876,8863933857,8886446768,7384712461,12957522788,13565669337,19236398438,16637360765
Eritrea,5556124.366,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,119731276.1,40841988.47,66295250.34,76902809.46,199632535.4,249580646.9,235201424.8,435486144.6,406116272.5,297852618.9,394398076.2,532480634.5,524198009.9,596344947.1
Fiji,92273551.03,168938774.2,183658454.1,187516025.9,227014657,254960809.3,241338030.6,190699829.1,132999669.3,161550384.5,169425801.7,161848679.3,173767211.9,245134720.3
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,85550399.51,86500288.72,81571916.67,68353730.99,90402055.3,32711435.96,33648451.39,30321224.84,27837252.41,27423811.01,28475993.34,27405404.77,29354095.46,28295828.13
Georgia,400864254.6,422314481,411359478.4,341126746.3,384456040.3,543529869.2,731218318,915342249.4,986283661.9,1086379540,1191333432,1443741539,1764313110,1972934220
Ghana,77220587.07,102906905.7,81816142.4,104237639.7,115806777.7,130456419.3,129831460.9,125872003.9,113462914.1,110212689.6,133548165.9,139352648.6,151601272.6,135977902.7
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,1402175.239,10317374.09,17832289.44,134941646.6,48482456.81,48921720.84,33834380.42,16938382.12,68102820.89,53412384.74,48773451.73,65909509.41,64500000,65410977.03
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,911198769.9,950076343.1,2397521245,3150080704,3736201363,4223550130,4922229257,5369961957,5154796171,4577131314,4633780436,4715471876,5034519043,5239782158
Guinea-Bissau,0,13785903.29,24123981.93,39480006.41,46363871.19,23504808.73,31501215.6,50100089.65,54639919.23,54639017.7,50069725.04,48576737.47,45891487.12,46450637.79
Guyana,75925381.09,48616755.7,99752082.14,175619410.4,259544977,316936105.3,317931570.7,386438134.3,328868264.2,312613165.8,408273179.1,429997180.7,469258392.3,322062655.9
Honduras,699168188.8,870098180.2,1128996785,1186286520,1530752444,2250630388,2790079308,2989486698,3065954814,2704967905,2795061170,2839176892,2909370605,3136382448
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,904183998.1,1034344285,1310322194,1720176537,2113991167,2058030421,1975827315,2004095184,1931490999,1748573366,1698366070,1689604690,1612329956,1758934982
Indonesia,4105590135,3684032247,4711266262,4544307773,4534099898,13640854060,12932337120,13003937602,12329555496,9515930957,8685007874,7670473487,7212196289,7316965172
India,47693378748,61804710082,65813999739,72777661648,50520965617,41728164865,46304239274,54533263898,54378328291,80908958142,70270787897,64087423147,67258435416,76394565898
Iraq,0,0,0,0,0,1215747296,602190095.6,4162899.652,77713304.94,151604041.4,211375516.6,278171224.3,271000000,273359992.4
Iran,1317946619,1625603634,1837284714,2041601293,1557587786,1466454116,1336397710,1185642403,1048444989,1061551869,1224134905,1276832086,1329781000,1267972585
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,3415674483,3851982136,3816744750,3152252433,2988329587,3044726977,3465554408,3729270992,3905035764,4480058266,4268285900,3580485089,3573661865,3540145652
Kenya,0,88692965.01,92540610.53,87206530.72,445210233.5,493861288.3,642634842.6,649657271.5,621891331.6,605167805.9,684353107.5,876743832.7,1227418010,1276185743
Kyrgyzstan,22124735.15,27627507.79,90904434.98,182878679.2,363842842.4,529336986.3,723812513.8,921241638.9,1302162261,1195271024,1515057470,1766622084,2031374268,2376827882
Cambodia,243073991.7,279390465.2,310854946.9,309278186.4,380766170.8,336693682.2,329033316.7,303327007.4,256296788.2,192758798.1,190025531.9,172431781,255612045.3,163690104.9
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,56590379.31
Saint Kitts and Nevis,48804407.46,50284986.24,48529170.71,42857911.23,40408830.58,38254933.78,39815482.99,38904107.48,39314583.4,39117805.84,47503133.32,42165019.29,45130950.93,48032575.63
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,204577702.2,287362460.3,322617964.6,195029681.8,198448017.8,73854235.58,97740333.71,148855291.1,120526568.4,194151767.6,231496682.6,170939642.9,171297958.4,197311062.6
Lao,1047309.127,1121526.918,1103237.259,955821.3718,902982.7067,925949.118,4666298.209,6164030.447,16632422.58,35996995.1,41641524.7,103459920.7,110297813.4,55472193.75
Lebanon,0,0,5543711319,9207398776,8784163066,6858365143,6558332508,6383160482,7476097491,9049297822,7654235995,7249260169,7321666504,7168466405
Saint Lucia,32959351.07,34072884.87,32055415.44,32331931.9,32783770.12,30168515.94,30303990.74,31024770.2,30113003.1,28818753.02,29468492.64,28697165.69,29827211.38,30579477.34
Sri Lanka,1451573068,1594026761,1730690202,1891170063,2076430352,2556306601,2552633149,2759460967,2943213722,3084407727,3795481379,5189320594,6000592588,6078163596
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,879479724.7,746040055.2,664142914.7,763745285.2,759812827.6,712323742,705326452,650733530.5,532177078,512687626.4,593488669.3,595434939.8,601871110,538174225.4
Libya,11761470.29,12803797.92,8927345.669,10204503.78,12503844.03,18310627.49,18644145.31,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0
