country.id,flow,value
AF,depth,-1
AG,depth,-1
AL,depth,0.06
AM,depth,0.4
AO,depth,16.24
AR,depth,0.78
AZ,depth,0.11
BA,depth,0.01
BD,depth,9.72
BF,depth,12.86
BI,depth,34.7
BJ,depth,18.82
BO,depth,3.12
BR,depth,2.51
BT,depth,0.45
BW,depth,2.93
BY,depth,0
BZ,depth,5.08
CD,depth,47.6
CF,depth,26.86
CG,depth,11.47
CI,depth,13.79
CK,depth,-1
CL,depth,0.38
CM,depth,6.18
CN,depth,1.32
CO,depth,2.02
CR,depth,0.56
CU,depth,-1
CV,depth,2.64
DJ,depth,2.54
DM,depth,-1
DO,depth,0.63
DZ,depth,0.24
EC,depth,1.95
EG,depth,0.37
ER,depth,-1
ET,depth,10.39
FJ,depth,0.62
FM,depth,8.73
GA,depth,1.09
GD,depth,-1
GE,depth,5.61
GH,depth,5.59
GM,depth,11.89
GN,depth,13.07
GQ,depth,-1
GT,depth,4.78
GW,depth,16.44
GY,depth,1.43
HN,depth,7.21
HT,depth,25.21
ID,depth,2.68
IN,depth,5.13
IQ,depth,0.61
IR,depth,0.21
JM,depth,0
JO,depth,0.02
KE,depth,14.16
KG,depth,1.18
KH,depth,1.43
KI,depth,-1
KM,depth,22.12
KP,depth,-1
KZ,depth,0.01
LA,depth,7.93
LB,depth,-1
LC,depth,3.68
LK,depth,0.45
LR,depth,29.4
LS,depth,22.22
LY,depth,-1
MA,depth,0.4
MD,depth,0.03
ME,depth,0.08
MG,depth,48.93
MH,depth,-1
MK,depth,0.03
ML,depth,16.57
MM,depth,-1
MN,depth,-1
MR,depth,6.84
MS,depth,-1
MU,depth,0.16
MV,depth,0
MW,depth,33.74
MX,depth,0.26
MY,depth,0
MZ,depth,22.85
NA,depth,5.08
NE,depth,10.42
NG,depth,26.15
NI,depth,2.18
NP,depth,5.58
NR,depth,-1
NU,depth,-1
PA,depth,1.14
PE,depth,0.77
PG,depth,1.08
PH,depth,3.86
PK,depth,1.94
PS,depth,0
PW,depth,-1
PY,depth,1.7
RS,depth,0
RW,depth,26.53
SB,depth,-1
SC,depth,0.06
SD,depth,4.59
SH,depth,-1
SL,depth,19.24
SN,depth,11.08
SO,depth,0.19
SR,depth,3.61
SS,depth,-1
ST,depth,13.33
SV,depth,0.59
SY,depth,0.05
SZ,depth,15.53
TD,depth,14.18
TG,depth,22.52
TH,depth,0.03
TJ,depth,1.06
TK,depth,-1
TL,depth,7.55
TM,depth,0.99
TN,depth,0.19
TO,depth,-1
TR,depth,0
TV,depth,-1
TZ,depth,12.98
UA,depth,0
UG,depth,11.65
UY,depth,0.08
UZ,depth,-1
VC,depth,-1
VE,depth,3.44
VN,depth,0.85
VU,depth,-1
WF,depth,-1
WS,depth,-1
XK,depth,-1
YE,depth,0.91
ZA,depth,1.19
