"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Angola"
"5","Anguilla"
"6","Antigua and Barbuda"
"7","Argentina"
"8","Armenia"
"9","Azerbaijan"
"10","Bangladesh"
"11","Barbados"
"12","Belarus"
"13","Belize"
"14","Benin"
"15","Bhutan"
"16","Bolivia"
"17","Bosnia and Herzegovina"
"18","Botswana"
"19","Brazil"
"20","Burkina Faso"
"21","Burundi"
"22","Côte d'Ivoire"
"23","Cabo Verde"
"24","Cambodia"
"25","Cameroon"
"26","Central African Republic"
"27","Chad"
"28","Chile"
"29","China (People's Republic of)"
"30","Colombia"
"31","Comoros"
"32","Congo"
"33","Cook Islands"
"34","Costa Rica"
"35","Croatia"
"36","Cuba"
"37","Democratic People's Republic of Korea"
"38","Democratic Republic of the Congo"
"39","Djibouti"
"40","Dominica"
"41","Dominican Republic"
"42","Ecuador"
"43","Egypt"
"44","El Salvador"
"45","Equatorial Guinea"
"46","Eritrea"
"47","Ethiopia"
"48","Fiji"
"49","Former Yugoslav Republic of Macedonia"
"50","Gabon"
"51","Gambia"
"52","Georgia"
"53","Ghana"
"54","Grenada"
"55","Guatemala"
"56","Guinea"
"57","Guinea-Bissau"
"58","Guyana"
"59","Haiti"
"60","Honduras"
"61","India"
"62","Indonesia"
"63","Iran"
"64","Iraq"
"65","Jamaica"
"66","Jordan"
"67","Kazakhstan"
"68","Kenya"
"69","Kiribati"
"70","Kosovo"
"71","Kyrgyzstan"
"72","Lao People's Democratic Republic"
"73","Lebanon"
"74","Lesotho"
"75","Liberia"
"76","Libya"
"77","Madagascar"
"78","Malawi"
"79","Malaysia"
"80","Maldives"
"81","Mali"
"82","Marshall Islands"
"83","Mauritania"
"84","Mauritius"
"85","Mayotte"
"86","Mexico"
"87","Micronesia"
"88","Moldova"
"89","Mongolia"
"90","Montenegro"
"91","Montserrat"
"92","Morocco"
"93","Mozambique"
"94","Myanmar"
"95","Namibia"
"96","Nauru"
"97","Nepal"
"98","Nicaragua"
"99","Niger"
"100","Nigeria"
"101","Niue"
"102","Oman"
"103","Pakistan"
"104","Palau"
"105","Panama"
"106","Papua New Guinea"
"107","Paraguay"
"108","Peru"
"109","Philippines"
"110","Rwanda"
"111","Saint Helena"
"112","Saint Kitts and Nevis"
"113","Saint Lucia"
"114","Saint Vincent and the Grenadines"
"115","Samoa"
"116","Sao Tome and Principe"
"117","Senegal"
"118","Serbia"
"119","Seychelles"
"120","Sierra Leone"
"121","Solomon Islands"
"122","Somalia"
"123","South Africa"
"124","South Sudan"
"125","Sri Lanka"
"126","States Ex-Yugoslavia"
"127","Sudan"
"128","Suriname"
"129","Swaziland"
"130","Syrian Arab Republic"
"131","Tajikistan"
"132","Tanzania"
"133","Thailand"
"134","Timor-Leste"
"135","Togo"
"136","Tokelau"
"137","Tonga"
"138","Trinidad and Tobago"
"139","Tunisia"
"140","Turkey"
"141","Turkmenistan"
"142","Tuvalu"
"143","Uganda"
"144","Ukraine"
"145","Uruguay"
"146","Uzbekistan"
"147","Vanuatu"
"148","Venezuela"
"149","Viet Nam"
"150","Wallis and Futuna"
"151","West Bank and Gaza Strip"
"152","Yemen"
"153","Zambia"
"154","Zimbabwe"
