Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"33,459",2014/15 Approved Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"14,000",2014/15 Approved Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"31,200",2014/15 Approved Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"230,514",2014/15 Approved Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Abim District,District Government,"76,000",2014/15 Approved Budget,Vote: 573,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Monitoring and Supervision of Primary & secondary Education
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Abim District,District Government,"259,145",2014/15 Approved Budget,Vote: 573,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Abim District,District Government,0,2014/15 Approved Budget,Vote: 573,Output: Teacher house construction and rehabilitation
