Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Bukwo District,District Government,"131,860",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"277,182",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"6,295",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukwo District,District Government,"6,295",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukwo District,District Government,"71,291",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"54,763",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"15,472",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"15,472",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"554,633",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"665,071",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bukwo District,District Government,"92,909",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Donor Funding
Revenue,Development Revenues,Bukwo District,District Government,,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Donor Funding
Revenue,Development Revenues,Bukwo District,District Government,"211,258",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,LGMSD (Former LGDP)
Revenue,Development Revenues,Bukwo District,District Government,"209,827",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,LGMSD (Former LGDP)
Revenue,Development Revenues,Bukwo District,District Government,"13,000",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bukwo District,District Government,"8,252",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bukwo District,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Other Transfers from Central Government
Revenue,Development Revenues,Bukwo District,District Government,,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Other Transfers from Central Government
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"550,616",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"804,128",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"228,934",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Non Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"214,655",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Non Wage
Expenditure,Development Expenditure,Bukwo District,District Government,"224,258",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,"218,079",Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,"92,909",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 567,Donor Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 1a: Administration,2014/15 Proposed Budget,Vote: 567,Donor Development
Revenue,Recurrent Revenues,Bukwo District,District Government,"73,876",Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"93,876",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukwo District,District Government,,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukwo District,District Government,"24,970",Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"24,970",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"20,000",Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"20,000",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukwo District,District Government,"117,417",Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukwo District,District Government,"125,118",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bukwo District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Bukwo District,District Government,591,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"145,816",Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"182,052",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"90,448",Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Non Wage
Expenditure,Recurrent Expenditure,Bukwo District,District Government,"81,912",Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Non Wage
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,591,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Domestic Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 567,Donor Development
Expenditure,Development Expenditure,Bukwo District,District Government,0,Workplan 2: Finance,2014/15 Proposed Budget,Vote: 567,Donor Development
Revenue,Recurrent Revenues,Bukwo District,District Government,"95,640",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Bukwo District,District Government,"89,308",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Bukwo District,District Government,"18,821",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Bukwo District,District Government,"18,821",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional transfers to DSC Operational Costs
Revenue,Recurrent Revenues,Bukwo District,District Government,"135,720",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Bukwo District,District Government,"146,016",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Bukwo District,District Government,"49,298",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"41,000",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukwo District,District Government,"4,525",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 567,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukwo District,District Government,"4,525",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 567,Conditional Grant to PAF monitoring
