Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"6,275",Workplan 1a: Administration,2014/15 Approved Budget,Vote: 600,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"6,275",Workplan 1a: Administration,2015/16 Proposed Budget,Vote: 600,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"38,068",Workplan 1a: Administration,2014/15 Approved Budget,Vote: 600,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"38,068",Workplan 1a: Administration,2015/16 Proposed Budget,Vote: 600,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"10,320",Workplan 1a: Administration,2014/15 Approved Budget,Vote: 600,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"22,320",Workplan 1a: Administration,2015/16 Proposed Budget,Vote: 600,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"409,043",Workplan 1a: Administration,2014/15 Approved Budget,Vote: 600,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"409,043",Workplan 1a: Administration,2015/16 Proposed Budget,Vote: 600,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"118,715",Workplan 1a: Administration,2014/15 Approved Budget,Vote: 600,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"118,715",Workplan 1a: Administration,2015/16 Proposed Budget,Vote: 600,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,119,Workplan 1a: Administration,2014/15 Approved Budget,Vote: 600,Unspent balances - UnConditional Grants
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,,Workplan 1a: Administration,2015/16 Proposed Budget,Vote: 600,Unspent balances - UnConditional Grants
Revenue,Development Revenues,Bukomansimbi District,District Government,"20,193",Workplan 1a: Administration,2014/15 Approved Budget,Vote: 600,LGMSD (Former LGDP)
Revenue,Development Revenues,Bukomansimbi District,District Government,"20,193",Workplan 1a: Administration,2015/16 Proposed Budget,Vote: 600,LGMSD (Former LGDP)
Revenue,Development Revenues,Bukomansimbi District,District Government,81,Workplan 1a: Administration,2014/15 Approved Budget,Vote: 600,Unspent balances - Other Government Transfers
Revenue,Development Revenues,Bukomansimbi District,District Government,,Workplan 1a: Administration,2015/16 Proposed Budget,Vote: 600,Unspent balances - Other Government Transfers
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"14,164",Workplan 2: Finance,2014/15 Approved Budget,Vote: 600,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"14,164",Workplan 2: Finance,2015/16 Proposed Budget,Vote: 600,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"1,979",Workplan 2: Finance,2014/15 Approved Budget,Vote: 600,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"1,979",Workplan 2: Finance,2015/16 Proposed Budget,Vote: 600,Locally Raised Revenues
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"75,322",Workplan 2: Finance,2014/15 Approved Budget,Vote: 600,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"75,322",Workplan 2: Finance,2015/16 Proposed Budget,Vote: 600,Transfer of District Unconditional Grant - Wage
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,502,Workplan 2: Finance,2014/15 Approved Budget,Vote: 600,Unspent balances - UnConditional Grants
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,502,Workplan 2: Finance,2015/16 Proposed Budget,Vote: 600,Unspent balances - UnConditional Grants
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"24,523",Workplan 3: Statutory Bodies,2014/15 Approved Budget,Vote: 600,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"24,523",Workplan 3: Statutory Bodies,2015/16 Proposed Budget,Vote: 600,Conditional Grant to DSC Chairs’ Salaries
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"28,121",Workplan 3: Statutory Bodies,2014/15 Approved Budget,Vote: 600,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"28,121",Workplan 3: Statutory Bodies,2015/16 Proposed Budget,Vote: 600,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"53,040",Workplan 3: Statutory Bodies,2014/15 Approved Budget,Vote: 600,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Bukomansimbi District,District Government,"53,040",Workplan 3: Statutory Bodies,2015/16 Proposed Budget,Vote: 600,Conditional transfers to Councillors allowances and Ex
