Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Nakasongola District,District Government,"30,000",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Conditional Grant to IFMS Running Costs
Revenue,Recurrent Revenues,Nakasongola District,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Nakasongola District,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Unspent balances - Locally Raised Revenues
Revenue,Recurrent Revenues,Nakasongola District,District Government,"58,250",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Locally Raised Revenues
Revenue,Recurrent Revenues,Nakasongola District,District Government,"39,907",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Other Transfers from Central Government
Revenue,Recurrent Revenues,Nakasongola District,District Government,"164,182",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Nakasongola District,District Government,"122,542",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,District Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Nakasongola District,District Government,"459,432",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Transfer of District Unconditional Grant - Wage
Revenue,Development Revenues,Nakasongola District,District Government,"76,523",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Donor Funding
Revenue,Development Revenues,Nakasongola District,District Government,"29,857",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,LGMSD (Former LGDP)
Revenue,Development Revenues,Nakasongola District,District Government,"18,359",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Expenditure,Nakasongola District,District Government,"459,432",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Wage
Revenue,Recurrent Expenditure,Nakasongola District,District Government,"414,881",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Non Wage
Revenue,Development Expenditure,Nakasongola District,District Government,"48,215",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Domestic Development
Revenue,Development Expenditure,Nakasongola District,District Government,"76,523",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Donor Development
Revenue,Development Expenditure,Nakasongola District,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Domestic Development
Revenue,Development Expenditure,Nakasongola District,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 544,Donor Development
Revenue,Recurrent Revenues,Nakasongola District,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 544,Unspent balances - Locally Raised Revenues
Revenue,Recurrent Revenues,Nakasongola District,District Government,"42,256",Workplan 2: Finance,2013/14 Approved Budget,Vote: 544,Locally Raised Revenues
Revenue,Recurrent Revenues,Nakasongola District,District Government,"510,670",Workplan 2: Finance,2013/14 Approved Budget,Vote: 544,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Nakasongola District,District Government,"130,478",Workplan 2: Finance,2013/14 Approved Budget,Vote: 544,District Unconditional Grant - Non Wage
