District,Government,Value,Revenue Type,year,Vote,Revenue Source
Abim District,District Government,"87,052",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Local Service Tax
Abim District,District Government,"87,052",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Local Service Tax
Abim District,District Government,"1,210",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,"Registration (e.g. Births, Deaths, Marriages, etc.) Fees"
Abim District,District Government,"1,210",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,"Registration (e.g. Births, Deaths, Marriages, etc.) Fees"
Abim District,District Government,250,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Public Health Licences
Abim District,District Government,250,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Public Health Licences
Abim District,District Government,"16,040",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Property related Duties/Fees
Abim District,District Government,"16,040",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Property related Duties/Fees
Abim District,District Government,"5,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Park Fees
Abim District,District Government,"5,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Park Fees
Abim District,District Government,"78,392",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Other licences
Abim District,District Government,"78,392",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Other licences
Abim District,District Government,"49,726",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Other Fees and Charges
Abim District,District Government,"49,726",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Other Fees and Charges
Abim District,District Government,"68,620",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Sale of (Produced) Government Properties/assets
Abim District,District Government,"68,620",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Sale of (Produced) Government Properties/assets
Abim District,District Government,"36,339",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Market/Gate Charges
Abim District,District Government,"36,339",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Market/Gate Charges
Abim District,District Government,576,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Land Fees
Abim District,District Government,576,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Land Fees
Abim District,District Government,"3,200",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Local Government Hotel Tax
Abim District,District Government,"3,200",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Local Government Hotel Tax
Abim District,District Government,"2,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Inspection Fees
Abim District,District Government,"2,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Inspection Fees
Abim District,District Government,"19,099",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Agency Fees
Abim District,District Government,"19,099",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Agency Fees
Abim District,District Government,611,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Group registration
Abim District,District Government,611,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Group registration
Abim District,District Government,"8,194",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Business licences
Abim District,District Government,"8,194",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Business licences
Abim District,District Government,100,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Application Fees
Abim District,District Government,100,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Application Fees
Abim District,District Government,150,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Animal & Crop Husbandry related levies
Abim District,District Government,150,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Animal & Crop Husbandry related levies
Abim District,District Government,"18,105",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Miscellaneous
Abim District,District Government,"18,105",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Miscellaneous
Abim District,District Government,0,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 573,Unspent balances - Locally Raised Revenues
Abim District,District Government,,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 573,Unspent balances - Locally Raised Revenues
Abim District,District Government,"25,827",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 573,District Equalisation Grant
Abim District,District Government,"25,827",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 573,District Equalisation Grant
Abim District,District Government,"1,368,760",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 573,Hard to reach allowances
Abim District,District Government,"1,368,760",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 573,Hard to reach allowances
Abim District,District Government,"237,114",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 573,District Unconditional Grant - Non Wage
