Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"194,043",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Locally Raised Revenues
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"41,696",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"79,397",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"154,736",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Transfer of Urban Unconditional Grant - Wage
Revenue,Development Revenues,Tororo Municipal Council,District Government,"90,207",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,LGMSD (Former LGDP)
Revenue,Development Revenues,Tororo Municipal Council,District Government,"27,594",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Locally Raised Revenues
Revenue,Development Revenues,Tororo Municipal Council,District Government,0,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Other Transfers from Central Government
Revenue,Development Revenues,Tororo Municipal Council,District Government,"82,418",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Expenditure,Tororo Municipal Council,District Government,"154,736",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Wage
Revenue,Recurrent Expenditure,Tororo Municipal Council,District Government,"315,136",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Non Wage
Revenue,Development Expenditure,Tororo Municipal Council,District Government,"200,219",Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Domestic Development
Revenue,Development Expenditure,Tororo Municipal Council,District Government,0,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Donor Development
Revenue,Development Expenditure,Tororo Municipal Council,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Domestic Development
Revenue,Development Expenditure,Tororo Municipal Council,District Government,,Workplan 1a: Administration,2013/14 Approved Budget,Vote: 764,Donor Development
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"10,848",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Conditional Grant to PAF monitoring
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"50,000",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Locally Raised Revenues
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"15,966",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"37,010",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"90,576",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Transfer of Urban Unconditional Grant - Wage
Revenue,Development Revenues,Tororo Municipal Council,District Government,"20,000",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Locally Raised Revenues
Revenue,Recurrent Expenditure,Tororo Municipal Council,District Government,"90,576",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Wage
Revenue,Recurrent Expenditure,Tororo Municipal Council,District Government,"113,824",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Non Wage
Revenue,Development Expenditure,Tororo Municipal Council,District Government,"20,000",Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Domestic Development
Revenue,Development Expenditure,Tororo Municipal Council,District Government,0,Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Donor Development
Revenue,Development Expenditure,Tororo Municipal Council,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Domestic Development
Revenue,Development Expenditure,Tororo Municipal Council,District Government,,Workplan 2: Finance,2013/14 Approved Budget,Vote: 764,Donor Development
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"13,082",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 764,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"32,760",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 764,Conditional transfers to Salary and Gratuity for LG ele
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"4,800",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 764,Conditional transfers to Councillors allowances and Ex
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"171,604",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 764,Locally Raised Revenues
Revenue,Recurrent Revenues,Tororo Municipal Council,District Government,"62,000",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 764,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Expenditure,Tororo Municipal Council,District Government,"38,196",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 764,Wage
Revenue,Recurrent Expenditure,Tororo Municipal Council,District Government,"246,050",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 764,Non Wage
