0,1,2,3,4,5,6,7,8,9,10,11
Billion Uganda Shillings,,,Recurrent,,,,Development,,Total ,Excl ,AIAGrand Excl. 
,Wage,Non-,Arrears,Total,GoU ,Donor ,GoU,GoUTotal,Budget,"Taxes, ","Total Taxes, "
,,Wage,,Rec't,Dev't,Dev't,Arrears,TaxesDev't,,Arrears,inc. NTRArrears
Agriculture,61.97,59.86,0.00,121.83,193.17,67.66,0.00,16.80277.64,399.47,382.67,21.99421.45404.65
"Vote:010 Ministry of Agriculture, Animal & Fisheries",5.89,23.85,0.00,29.74,32.35,21.47,0.00,8.2062.02,91.76,83.56,N/A91.7683.56
VF:0101Crops,1.57,4.49,0.00,6.07,14.74,13.39,0.00,5.2033.34,39.40,34.20,N/A39.4034.20
VF:0102Animal Resources,1.46,12.15,0.00,13.62,9.06,7.51,0.00,1.0017.57,31.19,30.19,N/A31.1930.19
"VF:0149Policy, Planning and Support Services",2.85,7.20,0.00,10.05,8.55,0.57,0.00,2.0011.12,21.17,19.17,N/A21.1719.17
Vote:121 Dairy Development Authority,1.57,2.47,0.00,4.04,1.00,0.00,0.00,0.001.00,5.04,5.04,N/A5.045.04
VF:0155Dairy Development,1.57,2.47,0.00,4.04,1.00,0.00,0.00,0.001.00,5.04,5.04,N/A5.045.04
Vote:122 Kampala Capital City Authority,0.04,0.08,0.00,0.13,1.22,0.00,0.00,0.001.22,1.35,1.35,0.001.351.35
VF:0105Urban Commercial and Production Services,0.04,0.08,0.00,0.13,1.22,0.00,0.00,0.001.22,1.35,1.35,0.001.351.35
Vote:125 National Animal Genetic Res. Centre and Data Bank,1.40,2.05,0.00,3.45,0.00,0.00,0.00,0.000.00,3.45,3.45,N/A3.453.45
VF:0156Breeding and Genetic Development,1.40,2.05,0.00,3.45,0.00,0.00,0.00,0.000.00,3.45,3.45,N/A3.453.45
Vote:142 National Agricultural Research Organisation,18.97,8.77,0.00,27.74,6.13,46.19,0.00,8.0060.32,88.06,80.06,5.8293.8785.87
VF:0151Agricultural Research,18.97,8.77,0.00,27.74,6.13,46.19,0.00,8.0060.32,88.06,80.06,5.8293.8785.87
Vote:152 NAADS Secretariat,2.10,4.09,0.00,6.19,45.93,0.00,0.00,0.5046.43,52.62,52.12,N/A52.6252.12
VF:0154Agriculture Advisory Services,2.10,4.09,0.00,6.19,45.93,0.00,0.00,0.5046.43,52.62,52.12,N/A52.6252.12
Vote:155 Uganda Cotton Development Organisation,0.00,1.39,0.00,1.39,2.20,0.00,0.00,0.102.30,3.69,3.59,2.956.636.53
VF:0152Cotton Development,0.00,1.39,0.00,1.39,2.20,0.00,0.00,0.102.30,3.69,3.59,2.956.636.53
Vote:160 Uganda Coffee Development Authority,0.00,2.91,0.00,2.91,0.00,0.00,0.00,0.000.00,2.91,2.91,13.2216.1416.14
VF:0153Coffee Development,0.00,2.91,0.00,2.91,0.00,0.00,0.00,0.000.00,2.91,2.91,13.2216.1416.14
Vote:501-850 Local Governments,31.99,14.25,0.00,46.24,104.34,0.00,0.00,0.00104.34,150.59,150.59,N/A150.59150.59
VF:0181Agriculture Advisory Services,26.90,0.00,0.00,26.90,104.34,0.00,0.00,0.00104.34,131.25,131.25,N/A131.25131.25
VF:0182District Production Services,5.09,14.25,0.00,19.34,0.00,0.00,0.00,0.000.00,19.34,19.34,N/A19.3419.34
