0,1,2,3,4,5,6,7,8,9,10,11,12,13
Billion Uganda Shillings,,,Recurrent,,,,Development,,,Total ,Excl ,AIAGrand ,Excl. 
,Wage,Non-,Arrears,Total,GoU ,Donor ,GoU,GoU,Total,Budget,"Taxes, ",Total ,"Taxes, "
,,Wage,,Rec't,Dev't,Dev't,Arrears,Taxes,Dev't,,Arrears,inc. NTR,Arrears
Vote:016 Ministry of Works and Transport,7.73,23.04,0.00,30.77,67.49,26.91,0.00,19.07,113.47,144.24,125.17,144.24N/A,125.17
VF:0401Transport Regulation,0.69,1.57,0.00,2.26,4.35,0.00,0.00,0.00,4.35,6.61,6.61,6.61N/A,6.61
VF:0402Transport Services and Infrastructure,0.35,3.27,0.00,3.62,21.18,24.85,0.00,9.50,55.53,59.15,49.65,59.15N/A,49.65
VF:0403Construction Standards and Quality Assurance,3.11,6.34,0.00,9.45,10.17,0.00,0.00,9.51,19.68,29.13,19.62,29.13N/A,19.62
"VF:0404District, Urban and Community Access Roads",0.00,0.00,0.00,0.00,18.65,2.06,0.00,0.06,20.77,20.77,20.71,20.77N/A,20.71
VF:0405Mechanical Engineering Services,2.42,7.25,0.00,9.67,7.31,0.00,0.00,0.00,7.31,16.98,16.98,16.98N/A,16.98
"VF:0449Policy,Planning and Support Services",1.16,4.62,0.00,5.77,5.83,0.00,0.00,0.00,5.83,11.60,11.60,11.60N/A,11.60
Vote:113 Uganda National Roads Authority,18.30,18.23,0.00,36.53,"1,243.20",653.94,0.00,,"10.001,907.14","1,943.67","1,933.67","N/A1,943.671,933.67",
VF:0451National Roads Maintenance & Construction,18.30,18.23,0.00,36.53,"1,243.20",653.94,0.00,,"10.001,907.14","1,943.67","1,933.67","N/A1,943.671,933.67",
Vote:118 Road Fund,1.99,350.86,0.00,352.85,0.00,0.00,0.00,0.00,0.00,352.85,352.85,N/A352.85,352.85
VF:0452National and District Road Maintenance,1.99,350.86,0.00,352.85,0.00,0.00,0.00,0.00,0.00,352.85,352.85,N/A352.85,352.85
Vote:122 Kampala Capital City Authority,0.00,0.00,0.00,0.00,72.90,0.00,0.00,0.00,72.90,72.90,72.90,2.6075.50,75.50
VF:0406Urban Road Network Development,0.00,0.00,0.00,0.00,72.90,0.00,0.00,0.00,72.90,72.90,72.90,2.6075.50,75.50
Vote:501-850 Local Governments,0.00,0.00,0.00,0.00,26.07,0.00,0.00,0.00,26.07,26.07,26.07,N/A26.07,26.07
"VF:0481District, Urban and Community Access Roads",0.00,0.00,0.00,0.00,26.07,0.00,0.00,0.00,26.07,26.07,26.07,N/A26.07,26.07
VF:0482District Engineering Services,,,,,,,0.00,0.00,,,,N/A,
Information and Communications Technology,5.94,5.04,0.00,10.98,4.32,0.00,0.00,0.00,4.32,15.30,15.30,12.1727.47,27.47
Vote:020 Ministry of Information & Communications Tech.,0.81,1.53,0.00,2.34,2.49,0.00,0.00,0.00,2.49,4.83,4.83,N/A4.83,4.83
VF:0501IT and Information Management Services,0.25,0.23,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.48,0.48,N/A0.48,0.48
VF:0502Communications and Broadcasting Infrastructure,0.26,0.20,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.46,0.46,N/A0.46,0.46
VF:0503Information Technology Governance Services(NITA-U),,,,,,,0.00,0.00,,,,N/A,
