,Budget Type,Department,Economic Function,Ministry,Non-wage,Non-wage Est,Output,Programme,Sector,Total,Total Est,Vote,Wage,Wage Est
0,,,,,,,,,,,,Vote:001,,
1,,,,Office of the President,,,,,,,,,,
2,,Vote Function 1111 Internal security,,,,,,,,,,,,
3,Recurrent Budget Estimates,,,,,,,,,,,,,
4,,,,,,,,Programme  08 Internal Security Organisation,,,,,,
5,,,,,,,Output:111101 Collection of Internal intelligence,,,,,,,
6,,,211101  General Staff Salaries,,0,0,,,,"19,665,000","20,626,211",,"19,665,000","20,626,211"
7,,,224003  Classified Expenditure,,"6,569,633","6,569,633",,,,"6,569,633","6,569,633",,0,0
8,,,,,,,Output:111102 Administration,,,,,,,
9,,,211101  General Staff Salaries,,0,0,,,,"2,186,023","2,185,202",,"2,186,023","2,185,202"
10,,,211103  Allowances,,"131,189","131,189",,,,"131,189","131,189",,0,0
11,,,212101  Social Security Contributions (NSSF),,"370,000",0,,,,"370,000",0,,0,0
12,,,221001  Advertising and Public Relations,,802,802,,,,802,802,,0,0
13,,,221003  Staff Training,,"30,294","30,294",,,,"30,294","30,294",,0,0
14,,,"221007  Books, Periodicals and Newspapers",,"6,111","6,111",,,,"6,111","6,111",,0,0
15,,,221009  Welfare and Entertainment,,"139,276","139,276",,,,"139,276","139,276",,0,0
16,,,"221011  Printing, Stationery, Photocopying and ",,"11,149","11,149",,,,"11,149","11,149",,0,0
17,,,221012  Small Office Equipment,,"10,516","10,516",,,,"10,516","10,516",,0,0
18,,,222001  Telecommunications,,"320,141","320,141",,,,"320,141","320,141",,0,0
19,,,223001  Property Expenses,,"6,759","6,759",,,,"6,759","6,759",,0,0
20,,,223003  Rent - Produced Assets to private entiti,,"151,005","151,005",,,,"151,005","151,005",,0,0
21,,,223005  Electricity,,"271,019","271,019",,,,"271,019","271,019",,0,0
22,,,223006  Water,,"48,000","48,000",,,,"48,000","48,000",,0,0
23,,,227001  Travel Inland,,"24,039","24,039",,,,"24,039","24,039",,0,0
24,,,227002  Travel Abroad,,"18,000","18,000",,,,"18,000","18,000",,0,0
25,,,"227004  Fuel, Lubricants and Oils",,"60,000","60,000",,,,"60,000","60,000",,0,0
26,,,228002  Maintenance - Vehicles,,"220,265","220,265",,,,"220,265","220,265",,0,0
27,,,,,,,Output:111199 Arrears,,,,,,,
28,,,321608  Pension Arrears,,"7,525,806",0,,,,"7,525,806",0,,0,0
29,Development Budget Estimates,,,,,,,,,,,,,
30,,,,,,,,Project  0982 Strengthening of Internal Security,,,,,,
31,,,,,,,Output:111102 Administration,,,,,,,
32,,,224002  General Supply of Goods and Services,,0,0,,,,"30,000","30,000",,"30,000","30,000"
33,,,,,,,Output:111171 Acquisition of Land by Government,,,,,,,
34,,,312206  Gross Tax,,0,0,,,,"200,000",0,,"200,000",0
35,,,,,,,Output:111175 Purchase of Motor Vehicles and Other Transport Equipment,,,,,,,
36,,,231004  Transport Equipment,,0,0,,,,"483,031","483,031",,"483,031","483,031"
37,,,,,,,Output:111177 Purchase of Specialised Machinery & Equipment,,,,,,,
38,,,231005  Machinery and Equipment,,0,0,,,,"139,000","139,000",,"139,000","139,000"
39,,,,,,,,,Security Sector ,,,,,
40,,,,,,,,,,,,Vote:001,,
41,,,,Office of the President,,,,,,,,,,
42,,Vote Function 1111 Internal security,,,,,,,,,,,,
43,,,,,,,,Project  0982 Strengthening of Internal Security,,,,,,
44,,,,,,,,,,,Total,,,
45,,,,,,,,,,"38,617,056",,,,
46,,,,,,,,,,"30,891,250",,,,
47,,,,,,,,,,"38,617,056",,,,
48,,,,,,,,,,"30,891,250",,,,
49,,,,,,,,,Security Sector ,,,,,
50,,,,,,,,,,,,Vote:001,,
51,,,,Office of the President,,,,,,,,,,
52,,"Vote Function 1601 Economic Policy Monitoring,Evaluation & Inspection",,,,,,,,,,,,
53,Recurrent Budget Estimates,,,,,,,,,,,,,
54,,,,,,,,Programme  03 Monitoring & Evaluation,,,,,,
55,,,,,,,"Output:160101 Monitoring the performance of government policies, programmes and projects",,,,,,,
56,,,211101  General Staff Salaries,,0,0,,,,"41,199","41,199",,"41,199","41,199"
57,,,211103  Allowances,,"45,600","45,600",,,,"45,600","45,600",,0,0
58,,,213001  Medical Expenses(To Employees),,"3,320","3,320",,,,"3,320","3,320",,0,0
59,,,"221007  Books, Periodicals and Newspapers",,"7,294","5,669",,,,"7,294","5,669",,0,0
60,,,221008  Computer Supplies and IT Services,,"24,000","24,000",,,,"24,000","24,000",,0,0
61,,,"221011  Printing, Stationery, Photocopying and ",,"52,100","22,489",,,,"52,100","22,489",,0,0
62,,,222001  Telecommunications,,"4,800","4,800",,,,"4,800","4,800",,0,0
63,,,222002  Postage and Courier,,"4,000","4,000",,,,"4,000","4,000",,0,0
64,,,227001  Travel Inland,,"203,000","283,909",,,,"203,000","283,909",,0,0
65,,,227002  Travel Abroad,,"18,204","18,705",,,,"18,204","18,705",,0,0
66,,,"227004  Fuel, Lubricants and Oils",,"120,400","7,800",,,,"120,400","7,800",,0,0
67,,,228002  Maintenance - Vehicles,,"98,000","120,000",,,,"98,000","120,000",,0,0
68,,,"228003  Maintenance Machinery, Equipment an",,"6,000","6,000",,,,"6,000","6,000",,0,0
69,,,,,,,,Programme  04 Monitoring & Inspection,,,,,,
70,,,,,,,Output:160102 Economic policy implementation,,,,,,,
71,,,211101  General Staff Salaries,,0,0,,,,"43,751","43,751",,"43,751","43,751"
72,,,221002  Workshops and Seminars,,"10,000",0,,,,"10,000",0,,0,0
73,,,221003  Staff Training,,"2,400","2,400",,,,"2,400","2,400",,0,0
74,,,221009  Welfare and Entertainment,,"35,388","35,285",,,,"35,388","35,285",,0,0
75,,,222001  Telecommunications,,"30,400","30,400",,,,"30,400","30,400",,0,0
76,,,227001  Travel Inland,,"3,000",0,,,,"3,000",0,,0,0
77,,,227002  Travel Abroad,,"21,615","21,615",,,,"21,615","21,615",,0,0
78,,,,,,,,Programme  05 Economic Affairs and Policy Development,,,,,,
79,,,,,,,Output:160104 Economic Research and Information,,,,,,,
80,,,211101  General Staff Salaries,,0,0,,,,"30,657","30,657",,"30,657","30,657"
81,,,221002  Workshops and Seminars,,"150,000","80,433",,,,"150,000","80,433",,0,0
82,,,"221007  Books, Periodicals and Newspapers",,"2,845","6,217",,,,"2,845","6,217",,0,0
83,,,221009  Welfare and Entertainment,,"6,470","10,000",,,,"6,470","10,000",,0,0
84,,,,,,,,,Public Administration Sector ,,,,,
85,,,,,,,,,,,,Vote:001,,
86,,,,Office of the President,,,,,,,,,,
87,,"Vote Function 1601 Economic Policy Monitoring,Evaluation & Inspection",,,,,,,,,,,,
88,,,,,,,,Programme  05 Economic Affairs and Policy Development,,,,,,
89,,,,,,,Output:160105 Economic policy development strengthened,,,,,,,
90,,,211101  General Staff Salaries,,0,0,,,,"12,125","12,125",,"12,125","12,125"
91,,,211103  Allowances,,"6,240","8,000",,,,"6,240","8,000",,0,0
92,,,221002  Workshops and Seminars,,"10,000","7,877",,,,"10,000","7,877",,0,0
93,,,"221005  Hire of Venue (chairs, projector etc)",,"1,300",0,,,,"1,300",0,,0,0
94,,,221009  Welfare and Entertainment,,"4,552",0,,,,"4,552",0,,0,0
95,,,"221011  Printing, Stationery, Photocopying and ",,700,"8,960",,,,700,"8,960",,0,0
