Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Budget Function,Programme
Recurrent Budget Estimates,ADJUMANI District,Central Government,"35,176",321463  Urban Equalisation Grant,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"35,176",o/w Adjumani T.C,2015/16 Draft Estimates,Vote:501,321463  Urban Equalisation Grant,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"1,429,454",321453  Hard to reach allowances,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"1,434,855",321451  Transfer of District Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:501,,Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"124,641",321450  Transfer of Urban Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:501,,Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"123,484",321403  District Equalisation Grant,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"130,786",321402  Urban Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"130,786",o/w Adjumani T.C,2015/16 Draft Estimates,Vote:501,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"448,367",321401  District Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"30,000",221016  IFMS Recurrent Costs,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"76,276",321427  Conditional Grant to PAF monitoring,2015/16 Draft Estimates,Vote:501,,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,ADJUMANI District,Central Government,"30,225",o/w Normal PAF Monitoring & Accountability,2015/16 Draft Estimates,Vote:501,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,ADJUMANI District,Central Government,"37,821",o/w PRDP allocation,2015/16 Draft Estimates,Vote:501,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,ADJUMANI District,Central Government,"8,230",o/w Printing of Payslips,2015/16 Draft Estimates,Vote:501,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,ADJUMANI District,Central Government,"84,835",321445  Conditional transfers to Councillors allowances and Ex- Gratia for LLGs,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"131,414",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:501,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"26,275",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"95,980","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:501,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:501,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:501,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"67,859",o/w PRDP Component,2015/16 Draft Estimates,Vote:501,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:501,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ADJUMANI District,Central Government,"158,482",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,ADJUMANI District,Central Government,"136,163",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:501,,Wage,Programme  04 Production
Recurrent Budget Estimates,ADJUMANI District,Central Government,"148,283",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"131,634",321417  Conditional Grant to District Hospitals,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"185,424",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"3,290,862",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:501,,Wage,Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"134,200",321461  Conditional Transfers for Non Wage Technical Institutes,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"24,030",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"11,433",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:501,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"345,420",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"354,956",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"831,089",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:501,,Wage,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"4,538,540",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:501,,Wage,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,ADJUMANI District,Central Government,"47,093",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,ADJUMANI District,Central Government,"27,353",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ADJUMANI District,Central Government,"13,102",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ADJUMANI District,Central Government,"2,620",o/w Disability,2015/16 Draft Estimates,Vote:501,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ADJUMANI District,Central Government,"5,241",o/w Women,2015/16 Draft Estimates,Vote:501,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ADJUMANI District,Central Government,"5,241",o/w Youth,2015/16 Draft Estimates,Vote:501,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ADJUMANI District,Central Government,"3,639",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ADJUMANI District,Central Government,"14,363",321420  Conditional Grant to Functional Adult Lit,2015/16 Draft Estimates,Vote:501,,Non Wage,Programme  09 Community Based Services
Development Budget Estimates,ADJUMANI District,Central Government,"776,887",321426  LGMSD (Former LGDP),2015/16 Draft Estimates,Vote:501,,Dev't,Project  0115 LGDP FUND
Development Budget Estimates,ADJUMANI District,Central Government,"86,044",o/w Adjumani T.C.,2015/16 Draft Estimates,Vote:501,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,ADJUMANI District,Central Government,"535,701",321428  Conditional transfer for Rural Water,2015/16 Draft Estimates,Vote:501,,Dev't,Project  0156 RURAL WATER AND SANITATION
Development Budget Estimates,ADJUMANI District,Central Government,"335,940",321431  Conditional Grant to PHC - development,2015/16 Draft Estimates,Vote:501,,Dev't,Project  0422 PRIMARY HEALTH CARE
Development Budget Estimates,ADJUMANI District,Central Government,"425,441",321433  Conditional Grant to SFG,2015/16 Draft Estimates,Vote:501,,Dev't,Project  0423 SCHOOL CONSTRUCTION PROGRAMME
Development Budget Estimates,ADJUMANI District,Central Government,"715,130",321412  Roads Rehabilitation Grant,2015/16 Draft Estimates,Vote:501,,Dev't,Project  1168 ROAD REHABILITATION GRANT
Development Budget Estimates,ADJUMANI District,Central Government,"196,605",321452  Construction of Secondary Schools,2015/16 Draft Estimates,Vote:501,,Dev't,Project  1214 SECONDARY SCHOOL CONSTRUCTION
Development Budget Estimates,ADJUMANI District,Central Government,"400,000",321417  General Hospitals Rehabilitation,2015/16 Draft Estimates,Vote:501,,Dev't,Project  1243 GENERAL HOSPITALS REHABILITATION
Recurrent Budget Estimates,APAC District,Central Government,"1,902,956",321451  Transfer of District Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:502,,Wage,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"18,042",321450  Transfer of Urban Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:502,,Wage,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"132,534",321402  Urban Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"59,336",o/w Aduku T.C,2015/16 Draft Estimates,Vote:502,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"73,198",o/w Apac T.C,2015/16 Draft Estimates,Vote:502,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"657,841",321401  District Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"30,000",221016  IFMS Recurrent Costs,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"94,189",321427  Conditional Grant to PAF monitoring,2015/16 Draft Estimates,Vote:502,,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,APAC District,Central Government,"52,130",o/w Normal PAF Monitoring & Accountability,2015/16 Draft Estimates,Vote:502,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,APAC District,Central Government,"25,252",o/w PRDP allocation,2015/16 Draft Estimates,Vote:502,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,APAC District,Central Government,"16,807",o/w Printing of Payslips,2015/16 Draft Estimates,Vote:502,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,APAC District,Central Government,"151,854",321445  Conditional transfers to Councillors allowances and Ex- Gratia for LLGs,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"159,682",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:502,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"47,033",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"51,729","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:502,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:502,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:502,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"23,608",o/w PRDP Component,2015/16 Draft Estimates,Vote:502,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:502,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,APAC District,Central Government,"207,053",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,APAC District,Central Government,"120,355",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:502,,Wage,Programme  04 Production
Recurrent Budget Estimates,APAC District,Central Government,"30,370",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"131,634",321417  Conditional Grant to District Hospitals,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"217,081",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"3,065,343",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:502,,Wage,Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"98,000",321457  Conditional Transfers for Non Wage Technical & Farm Schools,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"34,664",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"16,181",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:502,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"605,022",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"969,535",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"1,516,281",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:502,,Wage,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"9,213,757",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:502,,Wage,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"266,931",321404  Conditional Grant to Tertiary Salaries,2015/16 Draft Estimates,Vote:502,,Wage,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"31,206",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,APAC District,Central Government,"27,412",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  09 Community Based Services
