Mission,Established,Troops,Military Observers,Police,International Civilians,Local Civilians,UN Volunteers,Total Personnel,Fatalities,Budget (USD$)
UNTSO,May 1948,0,149,0,88,137,0,374,50,"74,291,900  (2014-15) *"
UNMOGIP,January 1949,0,45,0,22,47,0,114,11,"19,647,100  (2014-15) *"
UNFICYP,March 1964,859,0,67,38,111,0,1075,182,59072800
UNDOF,June 1974,788,0,0,51,107,0,946,46,64110900
MINURSO,April 1991,27,187,6,81,163,12,476,15,55990080
UNMIK,June 1999,0,8,7,112,215,26,368,55,42971600
UNOCI,April 2004,6056,180,1366,333,695,154,8784,130,493570300
MINUSTAH,June 2004,4618,0,2189,333,1142,126,8408,176,500080500
UNAMID,July 2007,12588,195,3080,970,2869,292,19994,215,1153611300
MONUSCO,July 2010,19453,507,1107,895,2784,429,25175,86,1398475300
UNISFA,June 2011,3948,117,24,128,65,22,4304,17,318925200
UNMISS,July 2011,10483,178,1008,819,1375,409,14272,35,1097315100
MINUSMA,March 2013,8831,0,1052,522,505,119,11029,46,830701700
MINUSCA,April 2014,7973,116,1196,234,123,18,9660,2,628724400
,Total:,90336,1804,12528,5289,11803,1800,123560,1564,About $8.47 billion**
