id,year,currency,type,l1,l2,l3,l4,l5,l6,value
UG,2000,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,1.575E+12
UG,2001,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,1.914E+12
UG,2002,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,1.969E+12
UG,2003,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,2.264E+12
UG,2004,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,2.9183E+12
UG,2005,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,3.146E+12
UG,2006,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,3.241E+12
UG,2007,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,3.624E+12
UG,2008,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,3.8E+12
UG,2009,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,4.546E+12
UG,2010,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,5.136E+12
UG,2011,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,7.221E+12
UG,2012,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,7.771E+12
UG,2013,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,8.245E+12
UG,2014,Ugandan Shillings,budget,total-revenue-and-grants,,,,,,9.6799E+12
UG,2014,Ugandan Shillings,actual,total-revenue-and-grants,,,,,,8.874E+12
UG,2015,Ugandan Shillings,proj,total-revenue-and-grants,,,,,,1.0999E+13
UG,2016,Ugandan Shillings,proj,total-revenue-and-grants,,,,,,1.1872E+13
UG,2017,Ugandan Shillings,proj,total-revenue-and-grants,,,,,,1.351E+13
UG,2018,Ugandan Shillings,proj,total-revenue-and-grants,,,,,,1.5537E+13
UG,2019,Ugandan Shillings,proj,total-revenue-and-grants,,,,,,1.7726E+13
UG,2000,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,1.059E+12
UG,2001,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,1.128E+12
UG,2002,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,1.254E+12
UG,2003,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,1.434E+12
UG,2004,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,1.6692E+12
UG,2005,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,1.948E+12
UG,2006,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,2.267E+12
UG,2007,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,2.667E+12
UG,2008,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,3.145E+12
UG,2009,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,3.758E+12
UG,2010,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,4.273E+12
UG,2011,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,6.33E+12
UG,2012,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,6.634E+12
UG,2013,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,7.309E+12
UG,2014,Ugandan Shillings,budget,total-revenue-and-grants,revenue,,,,,8.7702E+12
UG,2014,Ugandan Shillings,actual,total-revenue-and-grants,revenue,,,,,8.165E+12
UG,2015,Ugandan Shillings,proj,total-revenue-and-grants,revenue,,,,,9.777E+12
UG,2016,Ugandan Shillings,proj,total-revenue-and-grants,revenue,,,,,1.1048E+13
UG,2017,Ugandan Shillings,proj,total-revenue-and-grants,revenue,,,,,1.2691E+13
UG,2018,Ugandan Shillings,proj,total-revenue-and-grants,revenue,,,,,1.4656E+13
UG,2019,Ugandan Shillings,proj,total-revenue-and-grants,revenue,,,,,1.6988E+13
UG,2000,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,9.28E+11
UG,2001,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,1.029E+12
UG,2002,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,1.156E+12
UG,2003,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,1.338E+12
UG,2004,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,1.5505E+12
UG,2005,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,1.828E+12
UG,2006,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,2.142E+12
UG,2007,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,2.524E+12
UG,2008,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,3.024E+12
UG,2009,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,3.56E+12
UG,2010,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,4.067E+12
UG,2011,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,4.958E+12
UG,2012,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,5.983E+12
UG,2013,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,7.005E+12
UG,2014,Ugandan Shillings,budget,total-revenue-and-grants,revenue,tax-revenue,,,,8.5881E+12
UG,2014,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,,,,7.831E+12
UG,2015,Ugandan Shillings,proj,total-revenue-and-grants,revenue,tax-revenue,,,,9.372E+12
UG,2016,Ugandan Shillings,proj,total-revenue-and-grants,revenue,tax-revenue,,,,1.0544E+13
UG,2017,Ugandan Shillings,proj,total-revenue-and-grants,revenue,tax-revenue,,,,1.2111E+13
UG,2018,Ugandan Shillings,proj,total-revenue-and-grants,revenue,tax-revenue,,,,1.3963E+13
UG,2019,Ugandan Shillings,proj,total-revenue-and-grants,revenue,tax-revenue,,,,1.6159E+13
UG,2000,Ugandan Shillings,actual,total-revenue-and-grants,revenue,tax-revenue,international-trade-taxes,,,1.05E+11
