currency,month,value
Euro(1),11/2007,1.4683636363636365
Japanese Yen,11/2007,111.21000000000001
U.K. Pound Sterling(1),11/2007,2.0708636363636366
U.S. Dollar,11/2007,1
Algerian Dinar,11/2007,NaN
Australian Dollar(1),11/2007,0.8986636363636363
Bahrain Dinar,11/2007,0.3760000000000001
Botswana Pula(1),11/2007,0.16859
Brazilian Real,11/2007,1.7700941176470588
Brunei Dollar,11/2007,1.447511111111111
Canadian Dollar,11/2007,0.9686799999999998
Chilean Peso,11/2007,507.1139999999999
Chinese Yuan,11/2007,7.4233136363636385
Colombian Peso,11/2007,1.95
Czech Koruna,11/2007,18.242449999999998
Danish Krone,11/2007,5.076963636363636
Hungarian Forint,11/2007,173.14400000000003
Icelandic Krona,11/2007,60.784090909090885
Indian Rupee,11/2007,39.44
Indonesian Rupiah,11/2007,9
Iranian Rial,11/2007,9
Israeli New Sheqel,11/2007,3.913363636363637
Kazakhstani Tenge,11/2007,120.71900000000001
Korean Won,11/2007,916.9772727272727
Kuwaiti Dinar,11/2007,0.27557045454545454
Libyan Dinar(2),11/2007,1.9323669999999995
Malaysian Ringgit,11/2007,3.3575000000000004
Mauritian Rupee,11/2007,29.972279999999994
Mexican Peso,11/2007,10.886734999999998
Nepalese Rupee,11/2007,63.49238095238096
New Zealand Dollar(1),11/2007,0.7622047619047618
Norwegian Krone,11/2007,5.415422727272726
Rial Omani,11/2007,0.3845
Pakistani Rupee,11/2007,60.97937272727274
Nuevo Sol,11/2007,NaN
Philippine Peso,11/2007,NaN
Polish Zloty,11/2007,2.488500000000001
Qatar Riyal,11/2007,3.64
Russian Ruble,11/2007,24.452938095238096
Saudi Arabian Riyal,11/2007,3.75
Singapore Dollar,11/2007,1.4470999999999998
South African Rand,11/2007,6.6947222222222225
Sri Lanka Rupee,11/2007,110.50757142857148
Swedish Krona,11/2007,6.3237499999999995
Swiss Franc,11/2007,1.123827272727273
Thai Baht,11/2007,33.889599999999994
Trinidad And Tobago Dollar,11/2007,6.305299999999999
Tunisian Dinar,11/2007,NaN
U.A.E. Dirham,11/2007,3.6725
Peso Uruguayo,11/2007,NaN
Bolivar Fuerte,11/2007,NaN
Euro(1),11/2007,1.4683636363636365
Euro(1),02/2008,1.4748380952380953
Japanese Yen,11/2007,111.21000000000001
Japanese Yen,02/2008,107.16399999999999
U.K. Pound Sterling(1),11/2007,2.0708636363636366
U.K. Pound Sterling(1),02/2008,1.9637523809523811
U.S. Dollar,11/2007,1
