"","x"
"1","International Committee of the Red Cross"
"2","DAC - Danish Afghan Committee"
"3","21 Century Unification Service Organization"
"4","Danish De-mining Group"
"5","ACBAR - Agency Coordinating Body for Afghan Relief"
"6","World Food Programme"
"7","United Nations Children's Fund"
"8","Office for the Coordination of Humanitarian Affairs"
"9","Afghanistan"
"10","ACT Alliance / Norwegian Church Aid"
"11","Médecins du Monde"
"12","Action Contre la Faim"
"13","CARE Canada"
"14","Mercy Corps "
"15","United Nations Human Settlements Programme (UN-HABITAT)"
"16","United Nations Development Programme"
"17","Other income"
"18","Shelter Now International "
"19","Action by Churches Together (ACT)"
"20",NA
"21","OXFAM GB"
"22","Swedish Committee for Afghanistan"
"23","Assistência Médica Internacional (AMI)"
"24","Community Aid Abroad"
"25","DACAAR"
"26","Solidarites-France"
"27","Netherlands Red Cross"
"28","Deutsche Welthungerhilfe e.V. (German Agro Action)"
"29","German Red Cross"
"30","Food & Agriculture Organization of the United Nations"
"31","AASAA"
"32","MADERA"
"33","United Nations High Commissioner for Refugees"
"34","CARE-UK"
"35","Trauma Care Foundation"
"36","Office of the High Commissioner for Human Rights"
"37","International Federation of Red Cross and Red Crescent Societies"
"38","Norwegian People's Aid"
"39","Norwegian Refugee Council"
"40","ICDP - International Child Development Programme"
"41","ONUA - HRD"
"42","YME Foundation"
"43","World Health Organization"
"44","United Nations Population Fund"
"45","Johanniter Unfallhilfe e.V."
"46","ORA e. V. Deutsher Hilfsfonds"
"47","Various Recipients (details not yet provided)"
"48","ACT Alliance / Finn Church Aid"
"49","Deutsche Gesellschaft für Internationale Zusammenarbeit"
"50","Alternative"
"51","World Vision International"
"52","Friedensdorf International"
"53","Save the Children "
"54","Danish Refugee Council"
"55","United Nations Angola Verification Mission"
"56","ACT Alliance / DanChurchAid"
"57","GOAL"
"58","Handicap International"
"59","ACF - Spain"
"60","Development Workshop"
"61","Médecins sans Frontières - Belgium"
"62","Praktisk Solidarites"
"63","British Red Cross"
"64","Concern Worldwide"
"65","UN Agencies and NGOs (details not yet provided)"
"66","Mission East"
"67","Turkish Red Crescent Society"
"68","Humedica"
"69","Médecins sans Frontières"
"70","Bangladesh"
"71","Adventist Development and Relief Agency "
"72","CARE International"
"73","Belize Red Cross Society"
"74","Pan-American Health Organization (World Health Organization)"
"75","American Red Cross"
"76","Botswana"
"77","CARITAS / Catholic Relief Services"
"78","Catholic Relief Services"
"79","International Rescue Committee"
"80","TEARFUND"
"81","Catholic Organisation for Relief and Development Aid"
"82","IUED"
"83","Terre des Hommes International"
"84","African Revival Ministries"
"85","International Alert"
"86","SODI - Solidaritätsdienst-International "
"87","Cambodia"
"88","World Vision  Netherlands"
"89","U.N. Mission in the Central African Republic and Chad (MINURCAT)"
"90","Chilean Red Cross"
"91","Red Cross Society of China"
"92","ACT Alliance / Amity Foundation"
"93","Salvation Army"
"94","Heart-to-Heart"
"95","Médecins sans Frontières - Netherlands"
"96","Malteser International"
"97","Jemael-international"
"98","HEKS - Hilfswerk der Evangelischen Kirchen Schweiz"
"99","Association Rég. d'Appro. en Médicaments Essentiels"
"100","Christian Relief Network"
"101","Pentecostal Foreign Mission"
