ISO3,Country,ReleaseDate,HA.NAT.EQ.MMI8-ABS,HDI-Missing-Est,VU.VGR.UP.REF-TOT,CC.INF,CC.INS,HA.NAT.TC.SS3-REL,VU.VGR.UP.IDP-TOT,HA.HUM,EX_TS_REL,EX_FL_REL,VU.SEV.AD.FTS-POP,HA.NAT.DR-ABS,VU.SEV.AD.ODA-POP,HA,VU,HA.NAT.DR-REL,HA.HUM.CON.NP,HA.NAT.TC.CS-REL,CC,HA.NAT.TC.SS1-REL,INFORM,VU.SEV.AD.ODA-TOT,VU.VGR.OG.FS.FA.DFPVI,VU.VGR.OG.FS.FA.DFPLI,HA.NAT.EQ.MMI6-ABS,EX_TC_SS1_REL,HA.NAT.TC.CS-ABS,EX_EQ_MMI8_REL,HA.HUM.CON.VC,VU.VGR.OG.U5.CM,EX_TC_SS3_REL,VU.VGR.UP.POC-POP,VU.VGR.OG.FS.FU,HA.NAT.DR.FREQ,VU.VGR.OG.FS.FA,VU.VGR.OG.HE.TBC,VU.VGR.OG.FS.FAV,HA.NAT.EQ.MMI8-REL,EX_CS_REL,HA.NAT.TC.SS-ABS,HDI-Full,HA.NAT.TC.SS3-ABS,VU.VGR.OG.NATDIS-POP,VU.VGR.UP.POC-TOT,HA.NAT.EQ.MMI6-REL,HDI-Missing-Temp,AFF_DR_REL,VU.VGR.OG.HE.MAL,HA.NAT.TC.SS-REL,HA.NAT.TC.SS1-ABS,EX_EQ_MMI6_REL,HA.NAT.DR.ASI_temp,HA.HUM.CON.SN,VU.SEV.AD.AID-POP,VU.VGR.OG.U5.UW,HA.NAT.DR.AFF,VU.VGR.OG.HE.HIV,HA.HUM.CON.HVC,ODA-2,TB,SE.ADT.LITR.ZS,ODA-1,VU.VGR.UP.POC-REL,VC.PROB,HA.NAT.TS-REL,VU.VGR.UP.POC-ABS,PHIS,VU.VGR.OG.NATDIS-REL,SH.H2O.SAFE.ZS,POP,SN.ITK.DEFC.ZS,TRPS,VU.SEV.AD.FTS-TOT,MPI,VU.SEV.PD.HDI,REF,HDI-Est,SH.STA.ACSN,EX_EQ_MMI6,RET_REF,HA.NAT.DR.AFF-FREQ,VU.SEV.AD.AID-REL,IS.ROD.DNST.K2,MALARIA,HA.NAT.EQ-REL,HVC.PROB,VU.VGR.OG.FS,HA.NAT.TC-REL,IT.CEL.SETS.P2,IT.NET.USER.P2,HA.NAT.TC-ABS,MEAS,CON_HIIK_SN,HA.NAT.FL-REL,EX_TS,IDP_A,GDPppPPP,HIV,IDP_C,CC.INF.COM.NETUS,CC.INF.COM.CEL,CC.INF.AHC.MEAS,VU.SEV.PD.MPI,CC.INF.AHC.HEALTH-EXP,HEALTH_EXP,HFA,CC.INS.GOV.CPI,HDI,CC.INF.PHY.STA,CC.INF.COM.ELACCS,CM,AFF_DR,AFF_DR.FREQ,ASI,FTS-1,HA.NAT.FL-ABS,CC.INS.GOV.GE,VU.SEV.INQ.GII,CON_HIIK_NP,HA.NAT.TS-ABS,EG.ELC.ACCS.ZS,CC.INF.AHC.PHYS,VU.SEV.INQ.GINI,CPI,DT.ODA.ODAT.GN.ZS,CUW,CC.INF.PHY.ROD,EX_TC_SS1,FS.DFPVI,VU.VGR.OG.U5,VU.VGR.OG.HE,CC.INF.PHY.H2O,GovernmentEffectiveness,HA.NAT.DR.ASI,HA.NAT.EQ-ABS,EX_FL,VU.SEV.AD.ODA-GNI,CC.INF.COM.LITR,GINI,EX_CS,EX_EQ_MMI8,HA.NAT.FL,HA.NAT.EQ,HA.NAT.TS,VU.SEV.PD,VU.SEV.AD,FS.ADSA,EX_TC_SS3,HA.NAT.TC,FTS-2,GII,VU.VGR.OG,HA.NAT.DR,VU.VGR.UP,FS.DFPLI,FTS-3,VU.VGR.OG.NATDIS-CUR,VU.VGR.OG.NATDIS-1,CC.INF.PHY,HA.HUM.CON.GCRI,VU.VGR.OG.NATDIS-2,CC.INS.GOV,CC.INF.COM,VU.VGR.OG.NATDIS-TOT,HA.HUM.CON,VU.SEV.INQ,CC.INS.DRR,CC.INF.AHC,VU.VGR,VU.SEV,HA.NAT
ALB,Albania,12/31/2014 12:00:00 AM,0,,93,3.68,6.28,0,0,0.14,0,0.1,0.19,10,229.25,1.99,1.7,10,0,0,5.12,0,2.59,690.37,1.04,5,6.99,0,0,0,0.4,1.15,0,0,0,1.45,4.21,0.4,3.87,0,0,0,0.72,0,1.91,93,10,0,4.62,0,0,0,0.21,4.44,0,229.44,1.4,10,0.18,0,348.75,22,96.84,341.62,0,0.04,0,0,11.1,1.91,95.7,3011405,4.9,93,562067,0,3.6,,0.68,91.2,6246.82,0,5.72,4.59,63,0,7.6,0,2.69,0,108.45,54.66,0,99,0,1.4,0,0,8178.79,0.09,0,4.53,4.7,0,0.08,8.33,541.38,,6.9,0.72,0.98,,14.9,139130.43,0.04,0.13,0,6.18,5.67,3.27,0,0,,7.22,2.38,31,2.79,6.3,5.84,0,10.4,1.27,0.19,0.86,-0.33,4.44,4.34,2957,1.86,0.68,34.5,0,0,4.19,6.23,0,2.01,3.22,121,0,0,0,0.25,1.56,5.08,0,1.75,562067,,,2.56,0.2,230,6.28,3.3,57500,0,2.82,,5.19,0.81,2.51,3.53
ATG,Antigua and Barbuda,12/31/2014 12:00:00 AM,4.12,,0,1.6,4.73,10,0,0.01,0.39,0,6.99,0,190.23,3.39,1.68,0,0,10,3.32,10,2.66,17.15,,,3.09,8.56,4.61,0.19,0.03,0.72,3.36,0,3,0,,0.09,5.47,10,0.16,7.22,0.77,8.27,0,0,9.56,0,0,0,10,5.77,0.19,2.22,0,197.21,,0,1.4,0,14.8,4.8,98.95,2.35,0,0,7.81,0,,0,97.9,90156,14,0,630014,,2.71,,0.78,91.4,172.36,0,0,3.94,,0,9.8,0,4.23,10,198.62,83.79,6.08,98,0,0,352,0,18022.28,0.7,0,1.62,0.07,0.26,,6.68,1029.4,2.83,,0.77,0.96,,9.3,0,0,0.07,0,0,4.04,,0,3.87,,,,,0.21,,,7713,,0.72,0.5,0.42,0.48,0,3.62,0,0.14,0.23,,142,172.36,0,7.98,6.22,2.71,2.04,109,3026,8.75,630014,,1.53,0,0,,0,,,0.69,0.01,0,4.04,0.64,0,0,,5.42,3.47,0.79,2.49,5.74
DZA,Algeria,12/31/2014 12:00:00 AM,0,,91330,4.91,4.92,0,0,8,0,0.06,1.84,0,8.95,6.16,3.3,0,8,0,4.92,0.02,4.64,341.06,,,9.16,0.01,0,0,7.89,1.94,0,0.24,0,1.45,,2.76,1.2,0,0,2.89,0.72,0,0,91331,6.06,0,0,0,0.01,5.03,0.12,4.44,0,10.8,0.82,0,,7.42,196.56,152,72.65,144.5,3.96,0.75,0,6.54,12.1,0,83.9,38087812,4.9,91330,70248921,,3.59,,0.68,95.2,46155.16,1,0.72,0.22,4.77,0,3.62,0.29,0.6,0,103.31,15.23,1.55,95,2,0.87,0,0,7763.35,,0,8.48,4.96,1.03,,8.68,439.02,3.58,6.4,0.72,0.53,0.07,25.2,0,0.04,0.13,23368224,8.41,6.2,5.67,4,0,99.3,6.98,,36,0.07,3.7,9.75,3257,,1.38,1.38,3.22,-0.6,4.44,6.46,23081,0.05,5.19,,0,0,5.85,5.21,0,3.59,0.13,141,0,0.81,22264975,0.43,0.86,2.58,5.25,,24615722,,,4.5,7.66,0.1,6.3,4.67,25.25,8,5.67,3.54,5.56,3.36,3.25,3.23
AUS,Australia,12/31/2014 12:00:00 AM,0,,8368,2.32,2.1,0.59,0,0.12,0.04,0.02,0,10,0,2.56,1.12,4.61,0,0.18,2.21,0.21,1.85,,,1,7.95,0.1,4.33,0,0.33,0.31,0.01,0.04,0,5.8,1,0.16,2.4,0,0,6.88,0.93,7.03,0.04,8368,3.45,0,1.38,,0.4,6.71,0.07,4.44,0,0,,8.42,,0,,8.8,,,2.51,0.03,0.78,3.08,38.5,0.04,100,22015576,4.9,8368,0,,0.27,,0.9,100,15176.02,0,7.11,0,10.66,,1.88,0,1.13,0.18,106.19,82.35,5.75,94,0,0.3,8548,0,43660.62,,0,1.77,4.81,1.28,,0,4068.2,4.05,1.9,0.93,0,,4,304347.83,0.17,0.13,0,6.66,1.75,1.54,0,7.33,,0.38,,81,0,,9.35,22750,,0.31,0.16,0,1.62,4.44,5.19,4620,0,,,121,0,4.18,3.72,4.86,0.27,0,132,1289,3.46,0,0.12,0.42,5.78,2.79,1.15,0,0.17,7.5,3.12,0.17,16,1.83,3.29,7918,0,1.54,2.38,0.55,1.68,0.52,4.45
BGD,Bangladesh,12/31/2014 12:00:00 AM,10,,231125,6.5,5.09,10,280000,6.1,0.87,11.64,0.48,0,22.3,8,4.67,0,0,10,5.84,5.48,6.02,3649.84,1.53,3.67,10,2.74,10,0.01,8.83,3.16,0.49,0.31,3.9,1.45,3.24,7.89,5.6,1.21,0.06,10,0.56,10,1.29,511125,7.92,0,0,0.25,8.61,10,0.16,5.56,0,22.78,9.18,0,0.2,8.59,1497.75,434,57.74,2152.09,4.22,0.84,10,9.03,3.6,1.29,84.8,163654860,16.7,231125,79017048,0.24,6.03,,0.51,57,259286.32,0,0.72,0.46,14.77,3,5.49,0.5,4.25,10,63.76,6.3,10,96,3,10,1419790,0,2166.33,0.1,280000,9.37,6.99,0.77,3.94,9.94,67.76,3.72,7.3,0.56,4.78,5.35,41.1,0,0.04,0.17,21032718,10,6.64,7.05,3,10,46.5,9.1,1.78,27,1.69,41.3,9.08,4485210,15.3,6.17,2.78,3.04,-0.82,5.56,10,19042200,1.13,7.33,32.1,102630,19882,10,8.61,10,5.08,0.79,108,793767,10,26219681,0.53,3.85,3.14,6.63,1.55,31764649,5.01,1394.07,5.63,8.71,5658.15,6.97,7.26,2116586,0,4.41,3.21,6.6,5.41,3.84,9.17
CMR,Cameroon,12/31/2014 12:00:00 AM,0,,146528,7.24,7.11,0,0,1.73,0,0.19,4.73,7.27,58.75,2.18,5.12,0.13,0,0,7.18,0,4.31,1207.25,,,3.41,0,0,0,2.48,7.27,0,0.71,1.83,4.35,,5.8,4.4,0,0,0,0.5,0,0.06,146528,0.06,0,0.04,8.58,0,0,0,1.11,0,63.48,3.69,4.62,9,2.48,611.01,319,70.68,596.24,5.18,0.24,0,7.22,0.8,0.06,74.1,20549221,10.5,146528,97177721,0.26,6.86,,0.53,45.2,230.42,0,4.48,1.27,6,103,0.03,0.03,3.12,0,64.04,5.7,0,82,1,2.64,0,0,2434.55,4.5,0,9.43,6.97,4.36,4.34,9.76,120.17,,7.5,0.5,6.09,5.13,94.5,8126.09,0.13,0.03,38559409,8.95,6.73,8.29,0,0,48.7,9.8,3.48,25,2.29,16.6,9.66,0,,5.48,7.79,5.18,-0.86,1.11,1.86,38046,1.53,5.5,38.9,0,0,6.83,0.98,0,5.74,1.4,117,0,0,28033602,0.62,4.74,2.8,6.2,,30584710,,,6.98,2.48,51.98,7.11,6.76,12995,0,5.88,,7.97,5.52,4.69,2.61
BLZ,Belize,12/31/2014 12:00:00 AM,0,,21,5.6,5.37,10,0,0.01,0,0.4,0,0,160.1,2.66,2.05,0,0,10,5.49,4.05,3.11,53.52,,,4.18,2.03,8.13,0,0.03,1.28,0.26,0.01,0.5,0,,0.93,3.73,0,0.32,6.09,0.73,6.49,0,21,7.01,0,0,0.01,8.31,5.66,0.14,0,0,160.1,1.09,0,2.8,0,28.34,51,,25.18,1.61,0,0,0,8.3,0,99.3,334297,6.5,21,0,0.03,3.36,,0.69,90.5,468.78,0,0,3.2,13,0.1,4.36,0,2.12,10,50.62,25,7.24,96,0,5.67,0,0,8491.72,1.4,0,7.5,7.66,0.77,0.51,8.62,458.04,,,0.73,1.06,,16.7,0,0,0,0,5.31,5.37,5.79,0,0,,7.92,,,1.66,4.9,9.19,6775,,1.19,1.25,0.14,-0.19,0,2.33,1326,1.1,,,1075,0,5.49,3.41,0,2.05,2.15,122,885,9.04,0,0.43,1.17,0,0.81,,0,,,3.46,0.02,0,5.37,7.58,0,0,5.79,,5.77,0.99,3.01,4.67
AGO,Angola,12/31/2014 12:00:00 AM,0,,21104,7.07,6.43,0,0,4.92,0,0.01,1.79,10,23.82,3.53,4.69,3.02,0,0,6.76,0,4.82,442.29,1.37,10,0,0,0,0,8.23,10,0,0.12,4.33,7.25,8.27,8.62,4.67,0,0,0,0.53,0,2.47,22770,0,0,0.9,8.08,0,0,0,1.11,0,25.61,3.47,8.11,4.6,5.32,199.94,474,70.36,242.35,3.35,0.78,0,4.52,1.7,2.47,54.3,18565269,18,21104,33196300,,6.52,,0.65,60.1,0,1666,7.68,0.51,4,97,0,0.11,5.76,0,48.61,16.94,0,97,1,0.19,0,0,6478.4,2.3,0,8.31,7.76,0.51,,9.45,212.1,2.9,7.7,0.53,4.43,5.98,167.4,167995.65,0.22,0.03,3092247,5.99,7.51,,3,0,40.2,9.57,4.42,23,0.24,15.6,9.8,0,13.7,6.73,7.1,9.14,-1.26,1.11,0,2492,0.16,5.55,42.7,0,0,3.63,0,0,6.52,0.33,115,0,0,22420667,,5.77,4.4,3.94,2.69,7683386,,1,7.79,7.02,1833.9,7.61,6.9,458975,0,4.42,5.25,6.51,4.92,4.45,1.83
AUT,Austria,12/31/2014 12:00:00 AM,0,,31483,1.44,2.48,0,0,0.03,0,0.21,0,0,0,1.37,1.85,0,0,0,1.98,0,1.71,,0.62,1.4,7.35,0,0,0,0.1,0.3,0,0.38,0,0,1.24,0.2,0,0,0,0,0.88,0,0,31483,5.28,0,0,,0,0,0.11,1.11,0,0,,0,,0,,11,,,4.44,0.01,0,4.99,48.6,0,100,8219743,4.9,31483,0,,1.06,,0.9,100,8685.98,0,0,0,131.4,,3.06,0,0.41,0,161.21,81,0,76,0,3.03,0,0,43321.51,,0,1.9,1.99,5.9,,0,5065.06,,3.1,0.88,0,,3.9,0,0,0.03,0,8.1,1.87,1.36,0,0,,0,1.05,69,0,,1.25,0,6.2,0.3,0.2,0,1.57,1.11,4.64,17438,0,,29.2,0,0,6.18,3.9,0,1.06,0,150,0,0,0,0.1,0.23,0.56,4.72,1.21,0,,0.2,0.42,0.05,0,2.48,1.94,100,0,1.2,,1.97,2.77,0.83,2.54
AFG,Afghanistan,12/31/2014 12:00:00 AM,10,,16825,8.46,7.89,0,667200,10,0,0.25,44.65,10,431.91,8.7,6.85,3.03,10,0,8.19,0,7.88,13435.9,,,9.38,0,0,0.05,10,7.48,0,2.33,6.57,5.8,,6.51,6.53,4.5,0,0,0.47,0,0.46,723691,9.08,0,0.91,0.01,0,0,0.18,6.67,0,476.56,7.31,8.12,0.2,9.71,6710.87,358,,6725.03,6.93,0.96,0,9.53,1.9,0.46,64.2,31108077,24.7,16825,1388851151,0.29,7.42,,0.42,29,56472,39666,6.96,9.53,6,0.1,7.44,0.83,6.55,0,53.9,5.45,0,68,2,3.59,0,631286,1040.68,0.1,667200,9.45,7.49,7.95,4.89,10,47.34,2.1,9.2,0.47,7.89,7,97.3,283043.48,0.17,0.2,382778721,9.73,7.86,9.4,5,0,30,9.52,0.7,8,32.63,32.9,9.66,0,,7.4,2.24,7.16,-1.43,6.67,9.72,78264,10,,27.8,0,14008.76,7.89,8.86,0,6.32,9.77,101,0,0,492096148,0.71,4.79,6.81,8.23,,513976282,120,20.25,8.24,9.86,51.5,8.53,7.98,143001.25,10,5.05,7.25,9.16,6.84,6.86,5.9
