Region,District,Sector/MDA/MMDA,Central GOG and CF: Comp of Emp,Central GOG and CF: Goods/Service,Central GOG and CF: Assets (Capital),Central GOG and CF: Total,IGF: Comp of Emp,IGF: Goods/Service,IGF: Assets (Capital),IGF: Total,Funds/Others: Comp of Emp,Funds/Others: Goods/Service,Funds/Others: Assets (Capital),Funds/Others: Total,Donor: Comp of Emp,Donor: Goods/Service,Donor: Assets (Capital),Donor: Total,Grand Total Less NREG / Statutory
Ashanti Region,Adansi-North,Multi Sectoral,"1,176,752","1,502,493","1,524,233","4,203,479","20,234","504,040","72,500","596,773",0,0,0,0,0,"963,036","468,439","1,431,475","6,231,727"
Ashanti Region,Adansi-North,Adansi North District - Fomena,"1,176,752","1,502,493","1,524,233","4,203,479","20,234","504,040","72,500","596,773",0,0,0,0,0,"963,036","468,439","1,431,475","6,231,727"
Ashanti Region,Adansi-North,Central Administration,"347,932","953,707","754,898","2,056,537","20,234","471,136","47,500","538,869",0,0,0,0,0,"208,610","205,963","414,573","3,009,979"
Ashanti Region,Adansi-North,Administration (Assembly Office),"347,932","953,707","754,898","2,056,537","20,234","471,136","47,500","538,869",0,0,0,0,0,"208,610","205,963","414,573","3,009,979"
Ashanti Region,Adansi-North,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,"Education, Youth and Sports",0,"102,757","497,425","600,181",0,0,"20,000","20,000",0,0,0,0,0,"702,390","52,291","754,681","1,374,862"
Ashanti Region,Adansi-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Education,0,"72,757","497,425","570,181",0,0,"20,000","20,000",0,0,0,0,0,"702,390","52,291","754,681","1,344,862"
Ashanti Region,Adansi-North,Sports,0,"30,000",0,"30,000",0,0,0,0,0,0,0,0,0,0,0,0,"30,000"
Ashanti Region,Adansi-North,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Health,"99,240","317,189","30,000","446,429",0,"25,000",0,"25,000",0,0,0,0,0,0,"169,160","169,160","640,590"
Ashanti Region,Adansi-North,Office of District Medical Officer of Health,0,"15,189",0,"15,189",0,"5,000",0,"5,000",0,0,0,0,0,0,"169,160","169,160","189,350"
Ashanti Region,Adansi-North,Environmental Health Unit,"99,240","302,000","30,000","431,240",0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,"451,240"
Ashanti Region,Adansi-North,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Agriculture,"447,856","64,323",0,"512,178",0,"2,000",0,"2,000",0,0,0,0,0,0,0,0,"514,178"
Ashanti Region,Adansi-North,,"447,856","64,323",0,"512,178",0,"2,000",0,"2,000",0,0,0,0,0,0,0,0,"514,178"
Ashanti Region,Adansi-North,Physical Planning,0,0,"15,500","15,500",0,"2,904","5,000","7,904",0,0,0,0,0,0,0,0,"23,404"
Ashanti Region,Adansi-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Town and Country Planning,0,0,"15,500","15,500",0,"2,904","5,000","7,904",0,0,0,0,0,0,0,0,"23,404"
Ashanti Region,Adansi-North,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Social Welfare & Community Development,"208,740","9,203",0,"217,942",0,"3,000",0,"3,000",0,0,0,0,0,0,0,0,"220,942"
Ashanti Region,Adansi-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Social Welfare,"33,326","6,439",0,"39,765",0,"3,000",0,"3,000",0,0,0,0,0,0,0,0,"42,765"
Ashanti Region,Adansi-North,Community Development,"175,414","2,764",0,"178,178",0,0,0,0,0,0,0,0,0,0,0,0,"178,178"
Ashanti Region,Adansi-North,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Works,"72,985","10,316","226,410","309,711",0,0,0,0,0,0,0,0,0,"52,036","41,025","93,060","402,771"
Ashanti Region,Adansi-North,Office of Departmental Head,"72,985",0,0,"72,985",0,0,0,0,0,0,0,0,0,0,0,0,"72,985"
Ashanti Region,Adansi-North,Public Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Water,0,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,"52,036","41,025","93,060","98,060"
Ashanti Region,Adansi-North,Feeder Roads,0,"5,316","226,410","231,726",0,0,0,0,0,0,0,0,0,0,0,0,"231,726"
Ashanti Region,Adansi-North,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,"Trade, Industry and Tourism",0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Ashanti Region,Adansi-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,Tourism,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Ashanti Region,Adansi-North,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
