Region,District,Sector/MDA/MMDA,Central GOG and CF: Comp of Emp,Central GOG and CF: Goods/Service,Central GOG and CF: Assets (Capital),Central GOG and CF: Total,IGF: Comp of Emp,IGF: Goods/Service,IGF: Assets (Capital),IGF: Total,Funds/Others: Comp of Emp,Funds/Others: Goods/Service,Funds/Others: Assets (Capital),Funds/Others: Total,Donor: Comp of Emp,Donor: Goods/Service,Donor: Assets (Capital),Donor: Total,Grand Total Less NREG / Statutory
Ashanti Region,Adansi_North,Multi Sectoral,"989,448","1,009,655","1,360,383","3,359,486","15,817","468,430","105,500","589,747",0,0,0,0,0,"1,410,755","440,185","1,850,940","5,800,173"
Ashanti Region,Adansi_North,Adansi North District - Fomena,"989,448","1,009,655","1,360,383","3,359,486","15,817","468,430","105,500","589,747",0,0,0,0,0,"1,410,755","440,185","1,850,940","5,800,173"
Ashanti Region,Adansi_North,Central Administration,"320,779","780,249","724,315","1,825,343","15,817","443,430","55,500","514,747",0,0,0,0,0,"42,720","130,000","172,720","2,512,809"
Ashanti Region,Adansi_North,Administration (Assembly Office),"320,779","780,249","724,315","1,825,343","15,817","443,430","55,500","514,747",0,0,0,0,0,"42,720","130,000","172,720","2,512,809"
Ashanti Region,Adansi_North,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,"Education, Youth and Sports",0,"42,346","497,496","539,843",0,0,"50,000","50,000",0,0,0,0,0,"702,390","90,000","792,390","1,382,233"
Ashanti Region,Adansi_North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Education,0,"36,346","497,496","533,843",0,0,"50,000","50,000",0,0,0,0,0,"702,390","90,000","792,390","1,376,233"
Ashanti Region,Adansi_North,Sports,0,"6,000",0,"6,000",0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
Ashanti Region,Adansi_North,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Health,"91,468","74,500","17,000","182,968",0,"25,000",0,"25,000",0,0,0,0,0,"212,000","179,160","391,160","599,129"
Ashanti Region,Adansi_North,Office of District Medical Officer of Health,0,"14,500",0,"14,500",0,0,0,0,0,0,0,0,0,0,"109,160","109,160","123,660"
Ashanti Region,Adansi_North,Environmental Health Unit,"91,468","60,000","17,000","168,468",0,"25,000",0,"25,000",0,0,0,0,0,"212,000","70,000","282,000","475,468"
Ashanti Region,Adansi_North,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Agriculture,"385,193","54,304",0,"439,497",0,0,0,0,0,0,0,0,0,"407,241",0,"407,241","846,737"
Ashanti Region,Adansi_North,,"385,193","54,304",0,"439,497",0,0,0,0,0,0,0,0,0,"407,241",0,"407,241","846,737"
