id,year,value
AW,2000,16.39999962
AD,2000,
AF,2000,
AO,2000,
AL,2000,6.599999905
AE,2000,33.40000153
AR,2000,22.70000076
AM,2000,
AS,2000,41.70000076
AG,2000,
AU,2000,21.70000076
AT,2000,30.29999924
AZ,2000,10.89999962
BI,2000,
BE,2000,25.79999924
BJ,2000,
BF,2000,
BD,2000,10.30000019
BG,2000,32.70000076
BH,2000,
BS,2000,
BA,2000,
BY,2000,
BZ,2000,
BM,2000,14.80000019
BO,2000,19.5
BR,2000,
BB,2000,20.39999962
BN,2000,
BT,2000,
BW,2000,20.89999962
CF,2000,
CA,2000,22.5
CH,2000,25.70000076
CL,2000,23.39999962
CN,2000,22.5
CI,2000,
CM,2000,
CG,2000,
CO,2000,25.5
KM,2000,
CV,2000,
CR,2000,22.29999924
CU,2000,19.10000038
CW,2000,
KY,2000,
CY,2000,23.79999924
CZ,2000,39.5
DE,2000,33.5
DJ,2000,
DM,2000,
DK,2000,25.20000076
DO,2000,24.29999924
DZ,2000,
EC,2000,19.89999962
EG,2000,21.29999924
ER,2000,
ES,2000,30.79999924
EE,2000,33.29999924
ET,2000,
FI,2000,27.20000076
FJ,2000,
FR,2000,26.29999924
FO,2000,
FM,2000,
GA,2000,
GB,2000,25.10000038
GE,2000,9.800000191
GH,2000,
GN,2000,
GM,2000,
GW,2000,
GQ,2000,
GR,2000,22.60000038
GD,2000,
GL,2000,
GT,2000,22.5
GU,2000,11.69999981
GY,2000,
HK,2000,20.29999924
HN,2000,
HR,2000,28.79999924
HT,2000,
HU,2000,33.70000076
ID,2000,17.39999962
IN,2000,16
IE,2000,27.70000076
IR,2000,
IQ,2000,
IS,2000,23
IL,2000,23.70000076
IT,2000,31.79999924
JM,2000,16.89999962
JO,2000,21.79999924
JP,2000,31.20000076
KZ,2000,
KE,2000,
KG,2000,10.5
KH,2000,8.399999619
KI,2000,7.400000095
KN,2000,
KR,2000,28.10000038
XK,2000,
KW,2000,
LA,2000,
LB,2000,
LR,2000,
LY,2000,
LC,2000,20.29999924
LI,2000,
LK,2000,
LS,2000,
LT,2000,26.79999924
LU,2000,20.70000076
LV,2000,26.29999924
MO,2000,28.20000076
MF,2000,
MA,2000,31.89999962
MC,2000,
MD,2000,13.89999962
MG,2000,
MV,2000,19
MX,2000,26.79999924
MH,2000,
MK,2000,
ML,2000,
MT,2000,32.29999924
MM,2000,
ME,2000,
MN,2000,14.10000038
MP,2000,47.20000076
