file-name,row-index,row-values
gdp-usd-2005.csv,0,"AW, 2000, 2171771586"
gdp-usd-2005.csv,1,"AD, 2000, 1782514579"
gdp-usd-2005.csv,3,"AO, 2000, 17245698514"
gdp-usd-2005.csv,4,"AL, 2000, 6442279085"
gdp-usd-2005.csv,7,"AM, 2000, 2754946339"
gdp-usd-2005.csv,12,"AZ, 2000, 7035249733"
gdp-usd-2005.csv,13,"BI, 2000, 1003173008"
gdp-usd-2005.csv,15,"BJ, 2000, 3564714018"
gdp-usd-2005.csv,16,"BF, 2000, 3982851579"
gdp-usd-2005.csv,17,"BD, 2000, 46268661601"
gdp-usd-2005.csv,18,"BG, 2000, 22712754600"
gdp-usd-2005.csv,19,"BH, 2000, 12417139192"
gdp-usd-2005.csv,20,"BS, 2000, 7099130519"
gdp-usd-2005.csv,21,"BA, 2000, 8560717579"
gdp-usd-2005.csv,22,"BY, 2000, 21041101430"
gdp-usd-2005.csv,24,"BM, 2000, 4283518863"
gdp-usd-2005.csv,25,"BO, 2000, 8201398323"
gdp-usd-2005.csv,27,"BB, 2000, 3687558812"
gdp-usd-2005.csv,28,"BN, 2000, 8602106665"
gdp-usd-2005.csv,30,"BW, 2000, 8312647242"
gdp-usd-2005.csv,31,"CF, 2000, 1232871264"
gdp-usd-2005.csv,36,"CI, 2000, 17085587280"
gdp-usd-2005.csv,37,"CM, 2000, 13827130250"
gdp-usd-2005.csv,38,"CG, 2000, 4988137317"
gdp-usd-2005.csv,42,"CR, 2000, 16340941962"
gdp-usd-2005.csv,43,"CU, 2000, 33377657730"
gdp-usd-2005.csv,46,"CY, 2000, 14498299779"
gdp-usd-2005.csv,52,"DO, 2000, 28565149660"
gdp-usd-2005.csv,53,"DZ, 2000, 78895342484"
gdp-usd-2005.csv,54,"EC, 2000, 32753307083"
gdp-usd-2005.csv,55,"EG, 2000, 75403544184"
gdp-usd-2005.csv,58,"EE, 2000, 9921578744"
gdp-usd-2005.csv,59,"ET, 2000, 9078129786"
gdp-usd-2005.csv,61,"FJ, 2000, 2667071319"
gdp-usd-2005.csv,65,"GA, 2000, 7951573993"
gdp-usd-2005.csv,67,"GE, 2000, 4501184537"
gdp-usd-2005.csv,68,"GH, 2000, 8393646451"
gdp-usd-2005.csv,69,"GN, 2000, 2524527100"
gdp-usd-2005.csv,72,"GQ, 2000, 2293189319"
gdp-usd-2005.csv,75,"GL, 2000, 1627666678"
gdp-usd-2005.csv,76,"GT, 2000, 23441934442"
gdp-usd-2005.csv,80,"HN, 2000, 7704758600"
gdp-usd-2005.csv,81,"HR, 2000, 36454652841"
gdp-usd-2005.csv,82,"HT, 2000, 4269984676"
gdp-usd-2005.csv,83,"HU, 2000, 91042897048"
gdp-usd-2005.csv,88,"IQ, 2000, 48712653630"
gdp-usd-2005.csv,89,"IS, 2000, 13676932441"
gdp-usd-2005.csv,93,"JO, 2000, 9241357060"
gdp-usd-2005.csv,95,"KZ, 2000, 34880328744"
gdp-usd-2005.csv,96,"KE, 2000, 15672664145"
gdp-usd-2005.csv,97,"KG, 2000, 2042842031"
gdp-usd-2005.csv,98,"KH, 2000, 4026612205"
gdp-usd-2005.csv,102,"XK, 2000, 2574593022"
gdp-usd-2005.csv,103,"KW, 2000, 54444297998"
gdp-usd-2005.csv,104,"LA, 2000, 2021232686"
gdp-usd-2005.csv,105,"LB, 2000, 17383441662"
gdp-usd-2005.csv,107,"LY, 2000, 35929150681"
gdp-usd-2005.csv,109,"LI, 2000, 3514285118"
gdp-usd-2005.csv,110,"LK, 2000, 20090396639"
gdp-usd-2005.csv,111,"LS, 2000, 1187300143"
gdp-usd-2005.csv,112,"LT, 2000, 17924960438"
gdp-usd-2005.csv,113,"LU, 2000, 31791026215"
gdp-usd-2005.csv,114,"LV, 2000, 10822812606"
gdp-usd-2005.csv,115,"MO, 2000, 6785840351"
gdp-usd-2005.csv,117,"MA, 2000, 46686017639"
gdp-usd-2005.csv,118,"MC, 2000, 3927950920"
gdp-usd-2005.csv,119,"MD, 2000, 2122817827"
gdp-usd-2005.csv,120,"MG, 2000, 4503070950"
gdp-usd-2005.csv,124,"MK, 2000, 5537765608"
gdp-usd-2005.csv,125,"ML, 2000, 3901566287"
gdp-usd-2005.csv,126,"MT, 2000, 5721155308"
gdp-usd-2005.csv,128,"ME, 2000, 1965064919"
gdp-usd-2005.csv,129,"MN, 2000, 1843267456"
gdp-usd-2005.csv,131,"MZ, 2000, 4310941606"
gdp-usd-2005.csv,132,"MR, 2000, 1525081452"
gdp-usd-2005.csv,133,"MU, 2000, 5406113153"
gdp-usd-2005.csv,134,"MW, 2000, 2505954305"
gdp-usd-2005.csv,136,"NA, 2000, 5707828950"
gdp-usd-2005.csv,138,"NE, 2000, 2802302048"
gdp-usd-2005.csv,139,"NG, 2000, 67850915773"
gdp-usd-2005.csv,140,"NI, 2000, 5413262686"
gdp-usd-2005.csv,143,"NP, 2000, 6881622155"
gdp-usd-2005.csv,144,"NZ, 2000, 93980935909"
gdp-usd-2005.csv,145,"OM, 2000, 29768732628"
gdp-usd-2005.csv,146,"PK, 2000, 85822303910"
gdp-usd-2005.csv,147,"PA, 2000, 12523684362"
gdp-usd-2005.csv,148,"PE, 2000, 60800068649"
gdp-usd-2005.csv,149,"PH, 2000, 82353669774"
gdp-usd-2005.csv,151,"PG, 2000, 4521187133"
gdp-usd-2005.csv,153,"PR, 2000, 72478965487"
gdp-usd-2005.csv,156,"PY, 2000, 7946284059"
gdp-usd-2005.csv,158,"QA, 2000, 30084361823"
gdp-usd-2005.csv,159,"RO, 2000, 74659324662"
gdp-usd-2005.csv,161,"RW, 2000, 1804157124"
gdp-usd-2005.csv,163,"SD, 2000, 19452853110"
gdp-usd-2005.csv,164,"SN, 2000, 6933511418"
gdp-usd-2005.csv,167,"SL, 2000, 1143174686"
gdp-usd-2005.csv,168,"SV, 2000, 15219053495"
gdp-usd-2005.csv,169,"SM, 2000, 1168012513"
gdp-usd-2005.csv,171,"RS, 2000, 19424713892"
gdp-usd-2005.csv,174,"SR, 2000, 1357974202"
gdp-usd-2005.csv,175,"SK, 2000, 49013895535"
gdp-usd-2005.csv,176,"SI, 2000, 30461692313"
gdp-usd-2005.csv,178,"SZ, 2000, 2328209675"
gdp-usd-2005.csv,181,"SY, 2000, 22681144450"
gdp-usd-2005.csv,183,"TD, 2000, 3050372770"
gdp-usd-2005.csv,184,"TG, 2000, 2001173658"
gdp-usd-2005.csv,186,"TJ, 2000, 1449651439"
gdp-usd-2005.csv,187,"TM, 2000, 6320368378"
gdp-usd-2005.csv,190,"TT, 2000, 10957013663"
gdp-usd-2005.csv,191,"TN, 2000, 26358982267"
gdp-usd-2005.csv,194,"TZ, 2000, 10060678389"
