district_teach_salary,school_teach_salary,district_pt_tch_absent_10_days,school_pt_tch_absent_10_days,district_pt_tch_2ndyear,school_pt_tch_2ndyear,district_pt_tch_1styear,school_pt_tch_1styear,district_pt_tch_state_license,school_pt_tch_state_license,district_tch_FTE,school_tch_FTE,district_counsel_FTE,school_counsel_FTE,district_ratio,school_ratio,non_personnel_expenditures,non_personnel_expenditures_perpupil,instructional_staff_salaries,instructional_staff_salaries_perpupil,SCH_NAME,School_ID,SCHID,Survey_Year_Key,SurveyYear,LEA_ID,LEA_NAME,LEAID,SCH_ADDRESS,SCH_CITY,SCH_STATE,SCH_ZIP,Male_Enrollment,Female_Enrollment,Total_Enrollment,M_Percent,F_Percent,AME_Percent,ASI_Percent,HIS_Percent,BLA_Percent,WHI_Percent,HI_PAC_Percent,MORE_Percent,DIS_Percent,LEP_Percent,LEPEnrolled_Percent,_504_Percent,FocusOnDisabilities,STUDENTS_TO_TEACHERS,OffersDicipline,OffersMagnetProgram,IsCharterSchool,IsAlternativeSchool,OffersAP,TeacherCount,OffersAbilityGrouping,OffersPreK,OffersKindergarten,OffersGTE,OffersSingleSex,OffersAthletics,Title1_Status,TOT_LEA_SCHOOLS,SP_ED_EVAL,GradesOffered,LEA_TOT_Enrollment_Schools,MEMBERSHIP_LEA,KinderLen,PrekinderLen,PreKinderAge,non_IDEA_504,FRPL,JuvenileJustice,RACE_5_7,Long_NCES_ID,Combokey,Incomplete,Am Ind/AK Nat Enrollment,Am Ind/AK Nat In-School Susp,Am Ind/AK Nat Out-School Susp,Am Ind/AK Nat Expulsions,Asian Enrollment,Asian In-School Susp,Asian Out-School Susp,Asian Expulsions,Black Enrollment,Black In-School Susp,Black Out-School Susp,Black Expulsions,Hispanic Enrollment,Hispanic In-School Susp,Hispanic Out-School Susp,Hispanic Expulsions,Nat HI/Pac Isl Enrollment,Nat HI/Pac Isl In-School Susp,Nat HI/Pac Isl Out-School Susp,Nat HI/Pac Isl Expulsions,Two or More Enrollment,Two or More In-School Susp,Two or More Out-School Susp,Two or More Expulsions,White Enrollment,White In-School Susp,White Out-School Susp,White Expulsions,Total Enrollment,Total In-School Susp,Total Out-School Susp,Total Expulsions,Referrals to Law Enforcement,Students with School Related Arrests,Expulsions Under Zero-tolerance
42729,38194,33,55,0.93,1.39,8.15,12.48,96.51,94.45,429.6,72.1,9,4,17,17,327650,273,3041760,2533,BASSETT HIGH,211091,00837,6,2011,26571,HENRY CO PBLC SCHS,5101920,HWY 57A STATE RD 9201,BASSETT,VA,24055,48.38,51.62,1203,48.38,51.62,0.3,0.8,7.6,16,71.7,0,3.6,12.9,3.1,3.1,0.8,0,15.38,0,0,0,0,1,72.1,0,0,0,1,false,true,false,15,0,"9,10,11,12",7476,7460,Full Day,Full Day,4,0,56.95,false,7,510192000837,,,4,4,2,0,10,0,0,0,193,5,36,2,91,2,16,0,0,0,0,0,43,2,9,0,862,25,107,2,1203,38,170,4,46,32,0
42729,45955,33,22,0.93,0,8.15,21.74,96.51,100,429.6,23,9,0,17,17,109309,282,776218,2006,CAMPBELL COURT ELEMENTARY,211092,00838,6,2011,26571,HENRY CO PBLC SCHS,5101920,220 CAMPBELL CT,BASSETT,VA,24055,56.67,43.33,390,56.67,43.33,0.5,0,17.2,17.2,58.7,0,6.4,15.1,10.3,11.4,0.5,0,13.82,0,0,0,0,0,23,0,1,1,1,false,false,true,15,0,"Preschool,K,1,2,3,4,5",7476,7460,Full Day,Full Day,4,0,80.88,false,7,510192000838,,,2,0,0,0,0,0,0,0,67,0,2,0,67,0,6,0,0,0,0,0,25,0,0,0,229,0,7,0,390,0,15,0,2,0,0
42729,44230,33,10,0.93,0,8.15,4.76,96.51,100,429.6,21,9,0,17,17,89540,271,866939,2627,COLLINSVILLE PRIMARY,211093,00839,6,2011,26571,HENRY CO PBLC SCHS,5101920,15 PRIMARY SCHOOL RD,COLLINSVILLE,VA,24078,51.2,48.8,334,51.2,48.8,0.6,1.2,21,19.2,53.3,0,4.8,9.6,13.8,14.8,0.0,0,15.00,0,0,0,0,0,21,0,1,1,0,false,false,true,15,0,"Preschool,K,1,2",7476,7460,Full Day,Full Day,4,0,67.27,false,7,510192000839,,,2,0,0,0,4,0,0,0,64,0,2,0,70,0,0,0,0,0,0,0,16,0,0,0,178,0,2,0,334,0,4,0,0,0,0
42729,48828,33,43,0.93,2.38,8.15,9.52,96.51,95.24,429.6,42,9,0,17,17,207216,273,1981479,2611,LAUREL PARK MIDDLE,211094,00840,6,2011,26571,HENRY CO PBLC SCHS,5101920,280 LAUREL PARK AVENUE,MARTINSVILLE,VA,24112,52.17,47.83,759,52.17,47.83,0.5,0.9,8.8,29,55.9,0,4.9,10.5,2.9,3,0.5,0,16.87,0,0,0,0,0,42,0,0,0,1,false,false,false,15,0,"6,7,8",7476,7460,Full Day,Full Day,4,0,63.11,false,7,510192000840,,,4,0,2,0,7,0,0,0,220,0,52,2,67,0,9,0,0,0,0,0,37,0,13,0,424,2,63,0,759,2,139,2,6,17,0
42729,49167,33,52,0.93,0,8.15,8.33,96.51,97.92,429.6,48,9,0,17,20,243442,270,2227919,2467,FIELDALE-COLLINSVILLE MIDDLE,211096,00847,6,2011,26571,HENRY CO PBLC SCHS,5101920,645 MILES ROAD,COLLINSVILLE,VA,24078,51.28,48.72,899,51.28,48.72,0.8,0.4,10.8,17.1,67.5,0.2,3.1,12.6,3.5,3.6,1.1,0,17.71,0,0,0,0,0,48,0,0,0,1,false,false,false,15,0,"6,7,8",7476,7460,Full Day,Full Day,4,0,65.67,false,7,510192000847,,,7,0,2,0,4,0,0,0,154,7,32,2,97,2,16,2,2,0,0,0,28,2,9,0,607,28,82,2,899,39,141,6,23,13,0
42729,41613,33,31,0.93,0,8.15,0,96.51,100,429.6,16,9,0,17,20,92795,301,767751,2493,JOHN REDD SMITH ELEMENTARY,211097,00848,6,2011,26571,HENRY CO PBLC SCHS,5101920,40 SCHOOL DR,COLLINSVILLE,VA,24078,52.46,47.54,305,52.46,47.54,0.7,0.7,14.1,14.1,65.3,0,5.3,8.5,7.2,7.8,1.3,0,19.25,0,0,0,0,0,16,0,0,0,1,false,false,true,15,0,"3,4,5",7476,7460,Full Day,Full Day,4,0,66.23,false,7,510192000848,,,2,0,0,0,2,0,0,0,43,0,0,0,43,0,0,0,0,0,0,0,16,0,0,0,199,0,2,0,305,0,2,0,0,0,0
42729,41712,33,29,0.93,0,8.15,0,96.51,100,429.6,17,9,0,17,17,78549,278,602456,2129,RICH ACRES ELEMENTARY,211099,00853,6,2011,26571,HENRY CO PBLC SCHS,5101920,400 RICH ACRES SCHOOL RD,MARTINSVILLE,VA,24112,53.87,46.13,284,53.87,46.13,0.7,0.7,14.1,39.4,40.5,0,4.6,13.4,12,13.1,0.0,0,16.65,0,0,0,0,0,17,0,1,1,1,false,false,true,15,0,"Preschool,K,1,2,3,4,5",7476,7460,Full Day,Full Day,4,0,77.74,false,7,510192000853,,,2,0,0,0,2,0,0,0,112,0,0,0,40,0,0,0,0,0,0,0,13,0,0,0,115,0,0,0,284,0,0,0,0,0,0
42729,44548,33,14,0.93,0,8.15,9.09,96.51,93.18,429.6,22,9,0,17,17,109004,279,1072519,2750,DREWRY MASON ELEMENTARY,211100,00855,6,2011,26571,HENRY CO PBLC SCHS,5101920,45 DREWRY MASON DRIVE,RIDGEWAY,VA,24148,53.03,46.97,396,53.03,46.97,1,1,7.8,8.6,75.3,0,6.3,13.4,4.8,5.6,0.0,0,17.33,0,0,0,0,0,22,0,1,1,1,false,false,true,15,0,"Preschool,K,1,2,3,4,5",7476,7460,Full Day,Full Day,4,0,58.72,false,7,510192000855,,,4,0,0,0,4,0,0,0,34,0,2,0,31,0,0,0,0,0,0,0,25,0,0,0,298,0,8,0,396,0,10,0,2,0,0
42729,41426,33,53,0.93,0,8.15,5.26,96.51,100,429.6,19,9,0,17,17,85234,278,841326,2740,SANVILLE ELEMENTARY,211101,00857,6,2011,26571,HENRY CO PBLC SCHS,5101920,19 SANVILLE SCHOOL RD,BASSETT,VA,24055,49.35,50.65,306,49.35,50.65,0.7,0,7.2,6.2,78.8,0,7.2,21.2,3.3,3.9,0.7,0,15.35,0,0,0,0,0,19,0,1,1,0,false,false,true,15,0,"Preschool,K,1,2,3,4,5",7476,7460,Full Day,Full Day,4,0,71.66,false,7,510192000857,,,2,0,0,0,0,0,0,0,19,0,0,0,22,0,0,0,0,0,0,0,22,0,2,0,241,0,4,0,306,0,6,0,0,2,0
42729,40570,33,33,0.93,0,8.15,7.41,96.51,98.15,429.6,27,9,0,17,20,144214,274,1151793,2190,CARVER ELEMENTARY,211102,00859,6,2011,26571,HENRY CO PBLC SCHS,5101920,220 TROTT CIRCLE,MARTINSVILLE,VA,24112,54.63,45.37,529,54.63,45.37,0.4,0.4,10.4,16.6,63.1,0.4,8.7,16.8,4.7,5.5,0.0,0,18.46,0,0,0,0,0,27,0,1,1,1,false,false,true,15,0,"Preschool,K,1,2,3,4,5",7476,7460,Full Day,Full Day,4,0,72.81,false,7,510192000859,,,2,0,0,0,2,0,0,0,88,0,4,0,55,0,0,0,2,0,0,0,46,0,0,0,334,0,4,0,529,0,8,0,2,0,0
