NAME,ADDRESS,CONTACT,NUMBER,LEA,ACCREDIT,TITLE1_P,TITLE1_F,SCH_PERC_COREUQ_13,LEA_PERC_COREUQ_13,ST_PERC_COREUQ_13,SCH_PERC_PROV_13,SCH_PERC_PROVSPED_13,LEA_PERC_PROV_13,LEA_PERC_PROVSPED_13,ST_PERC_PROV_13,ST_PERC_PROVSPED_13,SCH_PERC_BACH_13,SCH_PERC_MAST_13,SCH_PERC_PHD_13,LEA_PERC_BACH_13,LEA_PERC_MAST_13,LEA_PERC_PHD_13,ST_PERC_BACH_13,ST_PERC_MAST_13,ST_PERC_PHD_13,SCH_3_READ_ADV_13,LEA_3_READ_ADV_13,ST_3_READ_ADV_13,SCH_3_READ_PROF_13,LEA_3_READ_PROF_13,ST_3_READ_PROF_13,SCH_3_READ_PASS_13,LEA_3_READ_PASS_13,ST_3_READ_PASS_13,SCH_3_READ_FAIL_13,LEA_3_READ_FAIL_13,ST_3_READ_FAIL_13,SCH_3_MATH_ADV_13,LEA_3_MATH_ADV_13,ST_3_MATH_ADV_13,SCH_3_MATH_PROF_13,LEA_3_MATH_PROF_13,ST_3_MATH_PROF_13,SCH_3_MATH_PASS_13,LEA_3_MATH_PASS_13,ST_3_MATH_PASS_13,SCH_3_MATH_FAIL_13,LEA_3_MATH_FAIL_13,ST_3_MATH_FAIL_13,SCH_4_READ_ADV_13,LEA_4_READ_ADV_13,ST_4_READ_ADV_13,SCH_4_READ_PROF_13,LEA_4_READ_PROF_13,ST_4_READ_PROF_13,SCH_4_READ_PASS_13,LEA_4_READ_PASS_13,ST_4_READ_PASS_13,SCH_4_READ_FAIL_13,LEA_4_READ_FAIL_13,ST_4_READ_FAIL_13,SCH_4_MATH_ADV_13,LEA_4_MATH_ADV_13,ST_4_MATH_ADV_13,SCH_4_MATH_PROF_13,LEA_4_MATH_PROF_13,ST_4_MATH_PROF_13,SCH_4_MATH_PASS_13,LEA_4_MATH_PASS_13,ST_4_MATH_PASS_13,SCH_4_MATH_FAIL_13,LEA_4_MATH_FAIL_13,ST_4_MATH_FAIL_13,SCH_5_READ_ADV_13,LEA_5_READ_ADV_13,ST_5_READ_ADV_13,SCH_5_READ_PROF_13,LEA_5_READ_PROF_13,ST_5_READ_PROF_13,SCH_5_READ_PASS_13,LEA_5_READ_PASS_13,ST_5_READ_PASS_13,SCH_5_READ_FAIL_13,LEA_5_READ_FAIL_13,ST_5_READ_FAIL_13,SCH_5_READ_ADV_13,LEA_5_READ_ADV_13,ST_5_READ_ADV_13,SCH_5_READ_PROF_13,LEA_5_READ_PROF_13,ST_5_READ_PROF_13,SCH_5_READ_PASS_13,LEA_5_READ_PASS_13,ST_5_READ_PASS_13,SCH_5_READ_FAIL_13,LEA_5_READ_FAIL_13,ST_5_READ_FAIL_13,SCH_5_MATH_ADV_13,LEA_5_MATH_ADV_13,ST_5_MATH_ADV_13,SCH_5_MATH_PROF_13,LEA_5_MATH_PROF_13,ST_5_MATH_PROF_13,SCH_5_MATH_PASS_13,LEA_5_MATH_PASS_13,ST_5_MATH_PASS_13,SCH_5_MATH_FAIL_13,LEA_5_MATH_FAIL_13,ST_5_MATH_FAIL_13,SCH_8_READ_ADV_13,LEA_8_READ_ADV_13,ST_8_READ_ADV_13,SCH_8_READ_PROF_13,LEA_8_READ_PROF_13,ST_8_READ_PROF_13,SCH_8_READ_PASS_13,LEA_8_READ_PASS_13,ST_8_READ_PASS_13,SCH_8_READ_FAIL_13,LEA_8_READ_FAIL_13,ST_8_READ_FAIL_13,SCH_8_MATH_ADV_13,LEA_8_MATH_ADV_13,ST_8_MATH_ADV_13,SCH_8_MATH_PROF_13,LEA_8_MATH_PROF_13,ST_8_MATH_PROF_13,SCH_8_MATH_PASS_13,LEA_8_MATH_PASS_13,ST_8_MATH_PASS_13,SCH_8_MATH_FAIL_13,LEA_8_MATH_FAIL_13,ST_8_MATH_FAIL_13,SCH_HS_READ_ADV_13,LEA_HS_READ_ADV_13,ST_HS_READ_ADV_13,SCH_HS_READ_PROF_13,LEA_HS_READ_PROF_13,ST_HS_READ_PROF_13,SCH_HS_READ_PASS_13,LEA_HS_READ_PASS_13,ST_HS_READ_PASS_13,SCH_HS_READ_FAIL_13,LEA_HS_READ_FAIL_13,ST_HS_READ_FAIL_13,SCH_HS_MATH_ADV_13,LEA_HS_MATH_ADV_13,ST_HS_MATH_ADV_13,SCH_HS_MATH_PROF_13,LEA_HS_MATH_PROF_13,ST_HS_MATH_PROF_13,SCH_HS_MATH_PASS_13,LEA_HS_MATH_PASS_13,ST_HS_MATH_PASS_13,SCH_HS_MATH_FAIL_13,LEA_HS_MATH_FAIL_13,ST_HS_MATH_FAIL_13,SCH_HS_ALG1_ADV_13,LEA_HS_ALG1_ADV_13,ST_HS_ALG1_ADV_13,SCH_HS_ALG1_PROF_13,LEA_HS_ALG1_PROF_13,ST_HS_ALG1_PROF_13,SCH_HS_ALG1_PASS_13,LEA_HS_ALG1_PASS_13,ST_HS_ALG1_PASS_13,SCH_HS_ALG1_FAIL_13,LEA_HS_ALG1_FAIL_13,ST_HS_ALG1_FAIL_13,SCH_HS_GEOM_ADV_13,LEA_HS_GEOM_ADV_13,ST_HS_GEOM_ADV_13,SCH_HS_GEOM_PROF_13,LEA_HS_GEOM_PROF_13,ST_HS_GEOM_PROF_13,SCH_HS_GEOM_PASS_13,LEA_HS_GEOM_PASS_13,ST_HS_GEOM_PASS_13,SCH_HS_GEOM_FAIL_13,LEA_HS_GEOM_FAIL_13,ST_HS_GEOM_FAIL_13,SCH_HS_ALG2_ADV_13,LEA_HS_ALG2_ADV_13,ST_HS_ALG2_ADV_13,SCH_HS_ALG2_PROF_13,LEA_HS_ALG2_PROF_13,ST_HS_ALG2_PROF_13,SCH_HS_ALG2_PASS_13,LEA_HS_ALG2_PASS_13,ST_HS_ALG2_PASS_13,SCH_HS_ALG2_FAIL_13,LEA_HS_ALG2_FAIL_13,ST_HS_ALG2_FAIL_13,SCH_6_READ_ADV_13,LEA_6_READ_ADV_13,ST_6_READ_ADV_13,SCH_6_READ_PROF_13,LEA_6_READ_PROF_13,ST_6_READ_PROF_13,SCH_6_READ_PASS_13,LEA_6_READ_PASS_13,ST_6_READ_PASS_13,SCH_6_READ_FAIL_13,LEA_6_READ_FAIL_13,ST_6_READ_FAIL_13,SCH_6_MATH_ADV_13,LEA_6_MATH_ADV_13,ST_6_MATH_ADV_13,SCH_6_MATH_PROF_13,LEA_6_MATH_PROF_13,ST_6_MATH_PROF_13,SCH_6_MATH_PASS_13,LEA_6_MATH_PASS_13,ST_6_MATH_PASS_13,SCH_6_MATH_FAIL_13,LEA_6_MATH_FAIL_13,ST_6_MATH_FAIL_13,SCH_7_READ_ADV_13,LEA_7_READ_ADV_13,ST_7_READ_ADV_13,SCH_7_READ_PROF_13,LEA_7_READ_PROF_13,ST_7_READ_PROF_13,SCH_7_READ_PASS_13,LEA_7_READ_PASS_13,ST_7_READ_PASS_13,SCH_7_READ_FAIL_13,LEA_7_READ_FAIL_13,ST_7_READ_FAIL_13,SCH_7_MATH_ADV_13,LEA_7_MATH_ADV_13,ST_7_MATH_ADV_13,SCH_7_MATH_PROF_13,LEA_7_MATH_PROF_13,ST_7_MATH_PROF_13,SCH_7_MATH_PASS_13,LEA_7_MATH_PASS_13,ST_7_MATH_PASS_13,SCH_7_MATH_FAIL_13,LEA_7_MATH_FAIL_13,ST_7_MATH_FAIL_13,
Southeastern Elementary,"1853 Battlefield Blvd S, Chesapeake, VA 23322",Principal: Ms. Hope Terrell,(757) 421-7676,Chesapeake City Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,0,1,0,2,1,1,5,1,27,69,2,34,62,1,42,56,1,28,14,16,55,55,53,83,69,69,17,31,31,16,12,16,65,58,51,81,70,67,19,30,33,35,18,18,47,55,52,83,73,70,17,27,30,40,26,26,52,56,54,91,83,80,9,17,20,22,21,21,56,51,53,78,73,73,22,27,27,27,21,23,56,51,48,83,73,71,17,27,29,32,25,24,52,52,49,84,76,73,16,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
S.P. Morton Elementary,"300 Morton Street, Franklin, VA 23851-2399",Principal: Mr. Jason Chandler,(757) 562-5458,Franklin City Public Schools,Accredited with Warning ,Title I Priority: Yes,Title I Focus: No,0,1,1,7,0,10,2,5,1,52,44,0,45,51,0,42,56,1,4,4,16,42,41,53,46,45,69,54,55,31,7,6,16,29,28,51,36,34,67,64,66,33,9,9,18,26,26,52,35,35,70,65,65,30,9,9,26,41,42,54,50,50,80,50,50,20,6,6,21,28,28,53,34,34,73,66,66,27,3,3,23,29,30,48,32,33,71,68,67,29,5,5,24,21,21,49,26,26,73,74,74,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Franklin High,"300 Morton Street, Franklin, VA 23851-2399",Principal: Mr. Travis Felts,(757) 562-5187,Franklin City Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,2,1,1,16,3,10,2,5,1,36,62,0,45,51,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,4,11,<,52,59,<,57,70,<,43,30,<,3,9,<,53,58,<,56,67,<,44,33,1,1,10,75,74,80,76,76,90,24,24,10,<,<,54,<,<,15,<,<,69,<,<,31,0,2,8,62,66,71,62,68,79,38,32,21,3,3,12,64,64,65,67,67,77,33,33,23,3,3,20,84,84,62,86,86,82,14,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Oscar Smith Middle,"2500 Rodgers St, Chesapeake, VA 23324",Principal: Mrs. Judith C. Thurston,(757) 494-7590,Chesapeake City Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,0,1,1,3,1,1,5,1,45,52,1,34,62,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,11,49,65,59,52,72,70,48,28,30,5,11,9,51,65,58,56,76,67,44,24,33,,,,,,,,,,,,,,,,,,,,,,,,,2,7,8,96,80,71,98,87,79,2,13,21,<,12,12,<,76,65,<,88,77,<,12,23,,,,,,,,,,,,,4,12,15,54,61,58,58,73,73,42,27,27,4,5,13,65,68,62,69,73,76,31,27,24,6,17,17,51,61,58,57,77,76,43,23,24,5,8,14,55,64,51,60,73,65,40,27,35,6
Thurgood Marshall Elementary,"2706 Border Road, Chesapeake, VA 23324",Principal: Mrs. Karen Y. Lopez,(757) 494-7515,Chesapeake City Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,0,1,2,0,1,1,5,1,23,75,2,34,62,1,42,56,1,4,14,16,48,55,53,51,69,69,49,31,31,4,12,16,52,58,51,56,70,67,44,30,33,6,18,18,56,55,52,61,73,70,39,27,30,10,26,26,73,56,54,83,83,80,17,17,20,7,21,21,54,51,53,61,73,73,39,27,27,7,21,23,57,51,48,64,73,71,36,27,29,9,25,24,69,52,49,78,76,73,22,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
George W. Carver Intermediate,"2601 Broad St, Chesapeake, VA 23324",Principal: Mrs. Michelle K. Ferebee,(757) 494-7505,Chesapeake City Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,0,1,,,1,1,5,1,27,67,4,34,62,1,42,56,1,6,14,16,45,55,53,51,69,69,49,31,31,11,12,16,50,58,51,61,70,67,39,30,33,13,18,18,45,55,52,58,73,70,42,27,30,17,26,26,60,56,54,77,83,80,23,17,20,16,21,21,45,51,53,61,73,73,39,27,27,15,21,23,52,51,48,67,73,71,33,27,29,17,25,24,48,52,49,64,76,73,36,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Oscar F. Smith High,"1994 Tiger Dr, Chesapeake, VA 23320",Principal: Mr. Paul A. Joseph,(757) 548-0696,Chesapeake City Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,0,1,1,0,1,1,5,1,34,63,2,34,62,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,8,11,<,65,59,<,72,70,<,28,30,<,11,9,<,65,58,<,76,67,<,24,33,12,13,10,76,79,80,88,92,90,12,8,10,<,62,54,<,4,15,<,65,69,<,35,31,1,7,8,78,80,71,78,87,79,22,13,21,5,12,12,75,76,65,80,88,77,20,12,23,18,22,20,59,66,62,77,88,82,23,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Camelot Elementary,"2901 Guenevere Dr, Chesapeake, VA 23323",Principal: Dr. Karen Cooper-Collins,(757) 558-5347,Chesapeake City Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,0,1,,,1,1,5,1,35,59,4,34,62,1,42,56,1,9,14,16,48,55,53,57,69,69,43,31,31,8,12,16,49,58,51,57,70,67,43,30,33,9,18,18,46,55,52,55,73,70,45,27,30,12,26,26,59,56,54,71,83,80,29,17,20,20,21,21,49,51,53,68,73,73,32,27,27,20,21,23,46,51,48,66,73,71,34,27,29,16,25,24,45,52,49,61,76,73,39,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Deep Creek High,"2900 Margaret Booker Dr, Chesapeake, VA 23323",Principal: Ms. J. Page Bagley,(757) 558-5302,Chesapeake City Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,0,1,1,0,1,1,5,1,36,62,1,34,62,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,8,11,<,65,59,<,72,70,<,28,30,,,,,,,,,,,,,9,13,10,83,79,80,92,92,90,8,8,10,<,62,54,<,4,15,<,65,69,<,35,31,2,7,8,88,80,71,90,87,79,10,13,21,7,12,12,78,76,65,85,88,77,15,12,23,10,22,20,76,66,62,86,88,82,14,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Western Branch Primary,"4122 Terry Dr, Chesapeake, VA 23321",Principal: Mrs. Gayle J. Bartlett,(757) 638-7951,Chesapeake City Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,0,1,,,1,1,5,1,22,78,0,34,62,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
