sch_name,lea_name,year,address,geocodingURL,contact,phone,accredit,sch_core_uq,lea_core_uq,st_core_uq,lea_prov_tch,lea_prov_sped_tch,st_prov_tch,st_prov_sped_tch,sch_bach,sch_mast,sch_phd,lea_bach,lea_mast,lea_phd,st_bach,st_mast,st_phd,sch_prov_tch,sch_prov_sped_tch,eid,street,city,state,country,title1_p,title1_f,combokey,nces_school_id,leaid,schid,sch_address,sch_city,sch_zip,jj,prek,k,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ug,sp_ed,mg_sch,charter_sch,alt_sch,ab_group,mg_sch2,alt_acd_dif,alt_disc_prob,alt_other,gte_program,provide_ap,num_ap_courses,student_ap_choice,m_ame_7_enrol,m_asi_7_enrol,m_his_7_enrol,m_bla_7_enrol,m_whi_7_enrol,m_hi_pac_7_enrol,m_2_or_more_7_enrol,m_tot_7_enrol,m_dis_idea_7_enrol,m_dis_504_7_enrol,m_lep_7_enrol,f_ame_7_enrol,f_asi_7_enrol,f_his_7_enrol,f_bla_7_enrol,f_whi_7_enrol,f_hi_pac_7_enrol,f_2_or_more_7_enrol,f_tot_7_enrol,f_dis_idea_7_enrol,f_dis_504_7_enrol,f_lep_7_enrol,tot_fte,fte_cert,teach_1st_yr,teach_2nd_yr,counsel,tot_enroll,m_perc,f_perc,ame_tot,asi_tot,his_tot,bla_tot,whi_tot,hi_pac_tot,more_tot,dis_504_tot,lep_tot,ame_perc,asi_perc,his_perc,bla_perc,whi_perc,hi_pac_perc,more_perc,dis_504_perc,lep_perc,teach_1st_perc,teach_2nd_perc,title_1,fte_absent,fte_teachers_fin,teach_amount,avg_teach_salary,tot_salaries,inst_salaries,expend,fte_absent_perc,read_3_score,read_4_score,read_5_score,read_6_score,read_7_score,read_8_score,read_11_score,write_5_score,write_8_score,write_11_score,math_3_score,math_4_score,math_5_score,math_6_score,math_7_score,math_8_score,alg_1_score,alg_2_score,geo_score,avg_eng_score,avg_math_score,poor_perc,blk_perc,azn_perc,wht_perc,male_perc,fem_perc,sev_dis_perc,pop5to17,pop5to17lag,pov5to17,pov5to17lag,pov_5to17_perc,pov_5to17_lag_perc,teach_3rd_higher,mastbachratio,perc_cert,logenroll,logfte,ratio,meanpov,cenpov,meanexp,cenexp,meaneduc,ceneduc,meancert,cencert,p25pov,p75pov,p25exp,p75exp,p25educ,p75educ,p25cert,p75cert,expint,educint,certint,yearid,v188
GREENDALE ELEM,WASHINGTON CO PBLC SCHS,_12,"13092 McGuffie Rd, Abingdon, VA 24210",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=13092+McGuffie+Rd%2C+Abingdon%2C+VA+24210,Principal: Mrs. Allyson Willis,(276) 739-3500,Fully Accredited,0,1,1,5,0,5,1,61,39,0,50,44,1,41,56,1,3,0,590,13092 McGuffie Rd,ABINGDON,VA,USA,0,0,5.104E11,5.104E11,5103900,1741,13092 MCGUFFIE RD,ABINGDON,24210,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,2,2,2,0,164,0,2,172,40,5,2,2,2,5,2,179,0,5,195,25,2,0,29,29,1,0,,367,46.87,53.13,4,4,7,2,343,0,7,7,2,1.09,1.09,1.91,0.54,93.46,0,1.91,1.91,0.54,3.45,0,1,10,27,1193379,44199,1521289,1207084,86804,34.48,490,491,476,,,,,449,,,431,451,461,,,,,,,475.1353,448.9096,61.25,0,0,94.58,46.88,53.12,3.25,7930,7929,1416,1374,17.85624,0.1732879,96.55,0.6393443,100,5.905362,3.367296,12.65517,15.90492,1.951323,90.38022,6.169785,1.486381,-0.8470369,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,12.03924,-1.652842,5.220583,_12,1923
ABINGDON ELEM,WASHINGTON CO PBLC SCHS,_12,"19431 Woodland Hills Rd, Abingdon, VA 24210",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=19431+Woodland+Hills+Rd%2C+Abingdon%2C+VA+24210,Principal: Mrs. Megan de Nobriga,(276) 739-3400,Fully Accredited,0,1,1,5,0,5,1,51,49,0,50,44,1,41,56,1,3,0,576,19431 Woodland Hills Rd,ABINGDON,VA,USA,0,0,5.104E11,5.104E11,5103900,1735,19431 WOODLAND HILLS RD,ABINGDON,24210,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,0,5,14,11,233,0,8,271,79,0,11,0,2,5,11,221,0,8,247,28,0,8,28,28,1,2,,518,52.32,47.68,0,7,19,22,454,0,16,0,19,0,1.35,3.67,4.25,87.64,0,3.09,0,3.67,3.57,7.14,1,1,34,1534844,45142,1955378,1569029,100298,3.57,481,501,489,,,,,454,,,419,445,449,,,,,,,480.6553,438.8541,49.7,4.34,0,86.98,51.68,48.32,8.68,7930,7929,1416,1374,17.85624,0.1732879,89.29,0.9607843,100,6.249975,3.332205,18.5,15.90492,1.951323,90.38022,-1.090218,1.486381,-0.5255969,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-2.127366,-1.025609,5.220583,_12,1919
WATAUGA ELEM,WASHINGTON CO PBLC SCHS,_12,"23181 Watauga Rd, Abingdon, VA 24211",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=23181+Watauga+Rd%2C+Abingdon%2C+VA+24211,Principal: Ms. Marie Stanley,(276) 739-3600,Fully Accredited,0,1,1,5,0,5,1,45,48,2,50,44,1,41,56,1,3,0,614,23181 Watauga Rd,ABINGDON,VA,USA,0,0,5.104E11,5.104E11,5103900,1986,23181 WATAUGA RD,ABINGDON,24211,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,0,8,11,2,266,0,11,298,61,2,11,2,11,14,2,251,2,2,284,22,0,11,30,30,0,2,,582,51.2,48.8,2,19,25,4,517,2,13,2,22,0.34,3.26,4.3,0.69,88.83,0.34,2.23,0.34,3.78,0,6.67,0,1,44,1940264,44097,2326315,1984678,105751,3.33,502,504,491,,,,,481,,,435,454,452,,,,,,,495.2426,447.4731,42.1,0,3.02,89.34,50.98,49.02,4.79,7930,7929,1416,1374,17.85624,0.1732879,93.33,1.066667,100,6.36647,3.401197,19.4,15.90492,1.951323,90.38022,2.949783,1.486381,-0.4197145,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,5.755979,-0.8189983,5.220583,_12,1933
EB STANLEY MIDDLE,WASHINGTON CO PBLC SCHS,_12,"297 Stanley St, Abingdon, VA 24210",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=297+Stanley+St%2C+Abingdon%2C+VA+24210,Principal: Mr. Scott Allen,(276) 739-3300,Fully Accredited,0,1,1,5,0,5,1,64,36,0,50,44,1,41,56,1,2,0,578,297 Stanley St,ABINGDON,VA,USA,0,0,5.104E11,5.104E11,5103900,1739,297 STANLEY ST,ABINGDON,24210,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,2,2,8,5,302,0,8,327,76,2,5,2,2,11,8,305,2,8,338,31,2,0,48.25,48.25,1,2.5,,665,49.17,50.83,4,4,19,13,607,2,16,4,5,0.6,0.6,2.86,1.95,91.28,0.3,2.41,0.6,0.75,2.07,5.18,0,20,51,2199611,43130,2708612,2232216,140674,41.45,,,,487,477,490,,,434,,,,,436,366,406,445,,,467.1881,391.3087,44.01,1.95,0,91.77,50.15,49.85,12.42,7930,7929,1416,1374,17.85624,0.1732879,92.75,0.5625,100,6.499787,3.876396,13.78238,15.90492,1.951323,90.38022,2.369781,1.486381,-0.9238812,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,4.624208,-1.80279,5.220583,_12,1921
ABINGDON HIGH,WASHINGTON CO PBLC SCHS,_12,"705 Thompson Dr, Abingdon, VA 24210",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=705+Thompson+Dr%2C+Abingdon%2C+VA+24210,Principal: Mr. Jimmy King,(276) 739-3200,Fully Accredited,3,1,1,5,0,5,1,40,50,4,50,44,1,41,56,1,,,571,705 Thompson Dr,ABINGDON,VA,USA,0,0,5.104E11,5.104E11,5103900,1736,705 THOMPSON DR,ABINGDON,24210,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,,,,,1,1,16,1,2,2,11,8,428,0,8,459,112,8,5,2,8,14,8,401,0,8,441,52,2,2,60.5,60.5,0.5,4,2,900,51,49,4,10,25,16,829,0,16,10,7,0.44,1.11,2.78,1.78,92.11,0,1.78,1.11,0.78,0.83,6.61,0,29,64,2732306,42692,3331590,2805031,326722,47.93,,,,,,,505,,,461,,,,,,,420,427,420,482.1816,421.6004,38.6,1.78,1.22,91.99,50.95,49.05,13.68,7930,7929,1416,1374,17.85624,0.1732879,92.56,1.25,100,6.802395,4.102643,14.87603,15.90492,1.951323,90.38022,2.179779,1.486381,-0.2363812,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,4.253452,-0.4612559,5.220583,_12,1920
ACCAWMACKE ELEM,ACCOMACK CO PBLC SCHS,_12,"P.O. Box 389, Accomac, VA 23301",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=P.O.+Box+389%2C+Accomac%2C+VA+23301,Principal: Clara B. Chandler,(757) 787-8013,Fully Accredited,0,4,1,13,0,5,1,53,44,0,60,37,1,41,56,1,6,0,2139,P.O. Box 389,ACCOMAC,VA,USA,0,0,5.1E11,5.1E11,5100060,1737,P.O. BOX 389,ACCOMAC,23301,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,2,80,104,125,0,0,311,46,2,77,0,2,68,83,104,0,0,257,22,0,68,41,41,7,2,,568,54.75,45.25,0,4,148,187,229,0,0,2,145,0,0.7,26.06,32.92,40.32,0,0,0.35,25.53,17.07,4.88,1,22,41,1607456,39206,2212715,1781987,0,53.66,476,482,486,,,,,457,,,422,436,465,,,,,,,475.7191,440.9641,68.73,32.99,0,38.49,53.61,46.39,4.81,5009,5024,1531,1352,30.56498,0.2691083,78.05,0.8301887,100,6.342122,3.713572,13.85366,15.90492,14.66006,90.38022,-12.33022,1.486381,-0.6561925,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-180.7617,-9.619823,39.22164,_12,61
ROCKFISH RIVER ELEM,NELSON CO PBLC SCHS,_12,"200 Chapel Hollow Rd, Afton, VA 22920",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=200+Chapel+Hollow+Rd%2C+Afton%2C+VA+22920,Principal: Ms. Kim M Candler,(434) 361-1791,Fully Accredited,0,0,1,5,0,5,1,41,59,0,46,51,2,41,56,1,,,2175,200 Chapel Hollow Rd,AFTON,VA,USA,0,0,5.103E11,5.103E11,5102580,1917,200 CHAPEL HOLLOW RD,AFTON,22920,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,0,17,11,161,0,11,202,43,5,8,0,0,14,14,170,0,20,218,19,0,8,34.6,34.6,3.8,2.8,,420,48.1,51.9,2,0,31,25,331,0,31,5,16,0.48,0,7.38,5.95,78.81,0,7.38,1.19,3.81,10.98,8.09,1,12,30.6,1429412,46713,2192211,1486392,234039,34.68,476,478,484,,,,,465,,,407,465,468,,,,,,,475.8024,444.7778,49.04,6.25,0,78.61,50,50,6.5,2108,2158,433,419,20.5408,0.1941613,80.93,1.439024,100,6.040255,3.543854,12.13873,15.90492,4.635878,90.38022,-9.450218,1.486381,-0.0473567,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-43.81005,-0.21954,12.40286,_12,1215
RED OAK-STURGEON ELEM,BRUNSWICK CO PBLC SCHS,_12,"PO Box 398, Alberta, VA 23821",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=PO+Box+398%2C+Alberta%2C+VA+23821,Principal: Mrs. Carolyn H. Meredith,(434) 949-7820,Fully Accredited,0,10,1,9,1,5,1,36,64,0,44,50,4,41,56,1,,,1668,PO Box 398,ALBERTA,VA,USA,0,0,5.1E11,5.1E11,5100480,185,PO BOX 398,ALBERTA,23821,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,0,0,122,23,0,2,149,22,2,0,0,0,0,77,35,0,0,112,13,2,0,21.33,21.33,0,0,,261,57.09,42.91,2,0,0,199,58,0,2,4,0,0.77,0,0,76.25,22.22,0,0.77,1.53,0,0,0,1,10.33,21,822428,39163,1206668,957566,48418,48.43,461,447,494,,,,,451,,,430,418,461,,,,,,,461.2782,433.4019,83.4,77.02,0,22.13,56.6,43.4,0,2365,2414,622,594,26.30021,0.2460646,100,1.777778,100,5.56452,3.060115,12.23629,15.90492,10.39529,90.38022,9.619781,1.486381,0.2913966,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,100.0005,3.029154,27.81165,_12,273
ALDIE ELEM,LOUDOUN CO PBLC SCHS,_12,"23269 Meetinghouse Ln, Aldie, VA 20105",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=23269+Meetinghouse+Ln%2C+Aldie%2C+VA+20105,Principal: Deborah Lee,(703) 957-4380,Fully Accredited,0,1,1,5,2,5,1,26,63,5,33,66,1,41,56,1,,,1027,23269 Meetinghouse Ln,ALDIE,VA,USA,0,0,5.102E11,5.102E11,5102250,908,23269 MEETINGHOUSE LN,ALDIE,20105,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,2,5,5,35,2,2,53,4,0,2,0,0,2,2,47,0,5,56,<=2,0,2,8.97,8.97,0,0,,109,48.62,51.38,2,2,7,7,82,2,7,0,4,1.83,1.83,6.42,6.42,75.23,1.83,6.42,0,3.67,0,0,0,0,5.5,321579,58469,508914,326757,9845,0,499,515,479,,,,,487,,,459,466,469,,,,,,,495.058,464.3518,10.09,0,0,76.15,47.71,52.29,0,72923,70829,2729,2855,3.742304,0.0403083,100,2.423077,100,4.691348,2.193886,12.15162,15.90492,-12.16261,90.38022,9.619781,1.486381,0.9366957,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-117.0017,-11.39267,-32.53995,_12,1050
PINEBROOK ELEM,LOUDOUN CO PBLC SCHS,_12,"25480 Mindful Court, Aldie, VA 20105",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=25480+Mindful+Court%2C+Aldie%2C+VA+20105,Principal: Paul Thiessen,(703) 957-4325,Fully Accredited,0,1,1,5,2,5,1,43,56,2,33,66,1,41,56,1,10,2,4947,25480 Mindful Court,ALDIE,VA,USA,0,0,5.102E11,5.102E11,5102250,2514,25480 MINDFUL COURT,ALDIE,20105,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,164,32,26,224,2,23,473,76,0,32,2,161,26,29,215,0,17,450,37,2,47,54.5,49.5,6,8,,923,51.25,48.75,4,325,58,55,439,2,40,2,79,0.43,35.21,6.28,5.96,47.56,0.22,4.33,0.22,8.56,11.01,14.68,0,13,40,2162377,54059,2771111,2231326,67289,23.85,505,523,491,,,,,515,,,454,475,459,,,,,,,508.3981,462.177,5.9,5.9,34.93,48.14,50.98,49.02,6.34,72923,70829,2729,2855,3.742304,0.0403083,74.31,1.302326,90.82569,6.827629,3.998201,16.93578,15.90492,-12.16261,90.38022,-16.07022,1.486381,-0.1840556,97.32459,-6.498901,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,195.4559,2.238597,79.04363,_12,1110
