standardId,surveyYear,surveyCountry,surveyTitle,respondentGender,respondentBirthYear,qg_40,qg_41,qg_42,qg_43_ag_310,qg_43_ag_311,qg_43_ag_312,qg_43_ag_313,qg_43_ag_314,qg_43_ag_315,qg_43_ag_316,qg_45,qg_46,qg_47,qg_48,qg_49,qg_69,qg_70,qg_71,qg_72,qg_73,qg_74,qg_75,qg_76,qg_77,qg_78,qg_79,qg_80,qg_81,qg_84,qg_85
25144,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,45-54,Syria will not comply with the agreement,"Yes, with UN authorization and congressional approval",Yes,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,Yes,Too much,Enhance the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25811,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will comply by June 30, 2014",No,No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,No,No,Too much,Enhance the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
25705,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,No,About the right amount,Decrease the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
25153,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,,,Syria will not comply with the agreement,"Yes, with UN authorization",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,Don't know,Too much,Enhance the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
25152,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,No,Too much,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25371,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,,,,"Other: (specify)|Any ""kinetic"" activity needs to be rooted in a sound examination of our political objectives and the consequences of the use of US force.  That hasn't been done.",,No,No,Too little,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
26100,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,,,Syria will not comply with the agreement,"Yes, with congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,No,No,Too much,Enhance the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
25412,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,,,,,,,Yes,Don't know,Too much,Enhance the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
21949,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,Yes,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,,,,,Yes,Don't know,Too much,Enhance the national security of the United States,Don't know,,,,,,,,,,,,,,,
20789,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, regardless of UN or congressional approval",No,,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,Other: (specify)|Destroy the regime.  The current course makes a mockery of international law.,,No,Don't know,Don't know,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
