
="",="(1)",="(2)",="(3)",="(4)"
="",="hdichange",="hdichange",="hdichange",="hdichange"

="hdi",="-0.00258**",="0.000558",="-0.00435**",="-0.00104"
="",="(0.00122)",="(0.00170)",="(0.00174)",="(0.00254)"

="naturalrentpercent",="0.000478",="-0.00276**",="0.000478",="-0.00305*"
="",="(0.000958)",="(0.00131)",="(0.00129)",="(0.00181)"

="inflation",="-0.0000209",="0.0103***",="0.0000416",="0.0122***"
="",="(0.000802)",="(0.00250)",="(0.000843)",="(0.00363)"

="subsaharan",="-0.141***",="-0.0255",="-0.152***",="-0.0663"
="",="(0.0352)",="(0.0475)",="(0.0525)",="(0.0716)"

="polity2",="0.000647",="-0.00199",="0.0121",="0.0121"
="",="(0.00376)",="(0.00484)",="(0.00740)",="(0.0104)"

="cofgdppolity",="-0.00800",="-0.0634",="-1.667*",="-1.206"
="",="(0.108)",="(0.0977)",="(0.875)",="(0.736)"

="cofpercentgdp",="-0.584",="-0.516",="-9.250**",="-6.335*"
="",="(0.414)",="(0.339)",="(4.017)",="(3.423)"

="_cons",="0.521***",="0.569***",="0.604***",="0.821***"
="",="(0.0915)",="(0.112)",="(0.114)",="(0.190)"

="N",="537",="243",="526",="243"
="r2",="0.0881",="0.149",=".",="."

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
