,(1),(2),(3)
,fte,fte,fdfte
minwage,4.140*,4.140**,4.140*
,(1.961),(1.529),(1.878)
abovemin,2.440,2.440,2.440
,(1.401),(1.323),(1.342)
hrsopen,0.965*,0.965*,0.965*
,(0.391),(0.443),(0.374)
nregs,1.199*,1.199*,1.199*
,(0.556),(0.589),(0.532)
chaindum2,-24.44***,.,.
,(5.288),.,.
chaindum3,-15.27**,.,.
,(5.003),.,.
chaindum4,0.162,.,.
,(4.665),.,.
yeardum,-2.274,-2.274*,-2.274
,(1.430),(1.047),(1.370)
_cons,-3.152,-18.88*,0.0488
,(11.75),(9.583),345
r2,0.798,0.0495,
N,752,752
Standard errors in parentheses,,
* p<0.05  ** p<0.01  *** p<0.001,,
