
="",="(1)",="(2)",="(3)"
="",="ypay",="ypay",="ypay"

="main",="",="",=""
="environ (d)",="0.342**",="0.356***",="0.347***"
="",="(0.101)",="(0.0781)",="(0.0807)"

="urban (d)",="0.226*",="0.331*",="0.356*"
="",="(0.0892)",="(0.136)",="(0.154)"

="logwaterbilpercent",="0.138*",="0.174*",="0.169"
="",="(0.0540)",="(0.0843)",="(0.0875)"

="logbidpercent",="-0.223***",="-0.313***",="-0.320***"
="",="(0.0309)",="(0.0560)",="(0.0625)"

="r2",="0.435",="",=""
="N",="95",="95",="95"

="Marginal effects; Standard errors in parentheses"
=" (d) for discrete change of dummy variable from 0 to 1"
="* p<0.05, ** p<0.01, *** p<0.001"
