
="",="(1)",="(2)",="(3)"
="",="ypay",="ypay",="ypay"

="main",="",="",=""
="environ",="0.342**",="1.510**",="2.773**"
="",="(0.101)",="(0.475)",="(0.913)"

="urban",="0.226*",="0.904*",="1.618*"
="",="(0.0892)",="(0.373)",="(0.692)"

="logwaterbilpercent",="0.138*",="0.510*",="0.859"
="",="(0.0540)",="(0.246)",="(0.444)"

="logbidpercent",="-0.223***",="-0.914***",="-1.622***"
="",="(0.0309)",="(0.173)",="(0.339)"

="_cons",="-0.554",="-4.645*",="-8.587*"
="",="(0.384)",="(1.849)",="(3.527)"

="r2",="0.435",="",=""
="N",="95",="95",="95"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
