
="",="(1)",="(2)",="(3)",="(4)"
="",="lambexp",="lambexp",="lambexp",="lambexp"

="model",="",="",="",=""
="ins",="0.0151*",="0.00226*",="0.0173*",="0.0179*"
="",="(0.00592)",="(0.000896)",="(0.00681)",="(0.00704)"

="totchr",="0.0887***",="0.0133***",="0.102***",="0.105***"
="",="(0.00500)",="(0.00106)",="(0.00576)",="(0.00599)"

="age",="0.233***",="0.0348***",="0.268***",="0.277***"
="",="(0.0291)",="(0.00478)",="(0.0335)",="(0.0347)"

="female",="0.108***",="0.0161***",="0.124***",="0.128***"
="",="(0.00795)",="(0.00151)",="(0.00916)",="(0.00951)"

="educ",="0.293***",="0.0439***",="0.337***",="0.349***"
="",="(0.0417)",="(0.00674)",="(0.0480)",="(0.0497)"

="blhisp",="-0.0426***",="-0.00637***",="-0.0489***",="-0.0506***"
="",="(0.00538)",="(0.000886)",="(0.00619)",="(0.00642)"

="N",="3328",="3328",="3328",="3328"

="Marginal effects; Standard errors in parentheses"
=" (d) for discrete change of dummy variable from 0 to 1"
="* p<0.05, ** p<0.01, *** p<0.001"
