54	DMA	Dominica	03:11:1978	31:12:2006
55	GRN	Grenada	07:02:1974	31:12:2006
56	SLU	Saint Lucia	22:02:1979	31:12:2006
57	SVG	Saint Vincent and the Grenadines	27:10:1979	31:12:2006
58	AAB	Antigua & Barbuda	01:11:1981	31:12:2006
60	SKN	Saint Kitts and Nevis	19:09:1983	31:12:2006
221	MNC	Monaco 	01:01:1816	31:12:2006
223	LIE	Liechtenstein 	01:01:1816	31:12:2006
331	SNM	San Marino 	01:01:1816	31:12:2006
232	AND	Andorra 	01:01:1816	31:12:2006
403	STP	São Tomé and Principe	12:07:1975	31:12:2006
591	SEY	Seychelles	29:06:1976	31:12:2006
935	VAN	Vanuatu	30:06:1980	31:12:2006
970	KBI	Kiribati	12:07:1979	31:12:2006
971	NAU	Nauru	31:12:1968	31:12:2006
972	TON	Tonga	04:06:1970	31:12:2006
973	TUV	Tuvalu	01:10:1978	31:12:2006
983	MSI	Marshall Islands	21:10:1986	31:12:2006
986	PAL	Palau	01:10:1994	31:12:2006
987	FSM	Federated States of Micronesia	03:11:1986	31:12:2006
990	WSM	Samoa/Western Samoa	01:01:1962	31:12:2006
