X,Y,sch_name,lea_name,year,address,contact,phone,accredit,sch_core_u,lea_core_u,st_core_uq,lea_prov_t,lea_prov_s,st_prov_tc,st_prov_sp,sch_bach,sch_mast,sch_phd,lea_bach,lea_mast,lea_phd,st_bach,st_mast,st_phd,sch_prov_t,sch_prov_s,eid,street,city,state,country,title1_p,title1_f,combokey,nces_schoo,leaid,schid,sch_addres,sch_city,sch_zip,jj,prek,k,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ug,sp_ed,mg_sch,charter_sc,alt_sch,ab_group,mg_sch2,alt_acd_di,alt_disc_p,alt_other,gte_progra,provide_ap,num_ap_cou,student_ap,m_ame_7_en,m_asi_7_en,m_his_7_en,m_bla_7_en,m_whi_7_en,m_hi_pac_7,m_2_or_mor,m_tot_7_en,m_dis_idea,m_dis_504_,m_lep_7_en,f_ame_7_en,f_asi_7_en,f_his_7_en,f_bla_7_en,f_whi_7_en,f_hi_pac_7,f_2_or_mor,f_tot_7_en,f_dis_idea,f_dis_504_,f_lep_7_en,tot_fte,fte_cert,teach_1st_,teach_2nd_,counsel,tot_enroll,m_perc,f_perc,ame_tot,asi_tot,his_tot,bla_tot,whi_tot,hi_pac_tot,more_tot,dis_504_to,lep_tot,ame_perc,asi_perc,his_perc,bla_perc,whi_perc,hi_pac_per,more_perc,dis_504_pe,lep_perc,title_1,fte_absent,fte_teache,teach_amou,avg_teach_,tot_salari,inst_salar,expend,read_3_sco,read_4_sco,read_5_sco,read_6_sco,read_7_sco,read_8_sco,read_11_sc,write_5_sc,write_8_sc,write_11_s,math_3_sco,math_4_sco,math_5_sco,math_6_sco,math_7_sco,math_8_sco,alg_1_scor,alg_2_scor,geo_score,avg_eng_sc,avg_math_s,poor_perc,blk_perc,azn_perc,wht_perc,male_perc,fem_perc,sev_dis_pe,pop5to17,pop5to17la,pov5to17,pov5to17la,pov_5to17_,teach_3rd_,mastbachra,perc_cert,logenroll,logfte,ratio,meanpov,cenpov,meanexp,cenexp,meaneduc,ceneduc,meancert,cencert,p25pov,p75pov,p25exp,p75exp,p25educ,p75educ,p25cert,p75cert,expint,educint,certint,yearid,v188,addrtype,addrlocat
-81.9517279,36.724483,EB STANLEY MIDDLE,WASHINGTON CO PBLC SCHS,_12,"297 Stanley St, Abingdon, VA 24210",Principal: Mr. Scott Allen,(276) 739-3300,Fully Accredited,0,1,1,5,0,5,1,64,36,0,50,44,1,41,56,1,2,0,578,297 Stanley St,ABINGDON,VA,USA,0,0,5.104e+11,5.104e+11,5103900,1739,297 STANLEY ST,ABINGDON,24210,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,2,2,8,5,302,0,8,327,76,2,5,2,2,11,8,305,2,8,338,31,2,0,48.25,48.25,1,2.5,,665,49.17,50.83,4,4,19,13,607,2,16,4,5,.6,.6,2.86,1.95,91.28,.3,2.41,.6,.75,2.07,5.18,0,20,51,2199611,43130,2708612,2232216,140674,41.45,,,,487,477,490,,,434,,,,,436,366,406,445,,,467.1881,391.3087,44.01,1.95,0,91.77,50.15,49.85,12.42,7930,7929,1416,1374,17.85624,.1732879,92.75,.5625,100,6.499787,3.876396,13.78238,15.90492,1.951323,90.38022,2.369781,1.486381,-.9238812,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,4.624208,-1.80279,5.220583
-81.9540439,36.720122,ABINGDON HIGH,WASHINGTON CO PBLC SCHS,_12,"705 Thompson Dr, Abingdon, VA 24210",Principal: Mr. Jimmy King,(276) 739-3200,Fully Accredited,3,1,1,5,0,5,1,40,50,4,50,44,1,41,56,1,,,571,705 Thompson Dr,ABINGDON,VA,USA,0,0,5.104e+11,5.104e+11,5103900,1736,705 THOMPSON DR,ABINGDON,24210,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,,,,,1,1,16,1,2,2,11,8,428,0,8,459,112,8,5,2,8,14,8,401,0,8,441,52,2,2,60.5,60.5,.5,4,2,900,51,49,4,10,25,16,829,0,16,10,7,.44,1.11,2.78,1.78,92.11,0,1.78,1.11,.78,.83,6.61,0,29,64,2732306,42692,3331590,2805031,326722,47.93,,,,,,,505,,,461,,,,,,,420,427,420,482.1816,421.6004,38.6,1.78,1.22,91.99,50.95,49.05,13.68,7930,7929,1416,1374,17.85624,.1732879,92.56,1.25,100,6.802395,4.102643,14.87603,15.90492,1.951323,90.38022,2.179779,1.486381,-.2363812,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,4.253452,-.4612559,5.220583
-77.6434829,38.974151,ALDIE ELEM,LOUDOUN CO PBLC SCHS,_12,"23269 Meetinghouse Ln, Aldie, VA 20105",Principal: Deborah Lee,(703) 957-4380,Fully Accredited,0,1,1,5,2,5,1,26,63,5,33,66,1,41,56,1,,,1027,23269 Meetinghouse Ln,ALDIE,VA,USA,0,0,5.102e+11,5.102e+11,5102250,908,23269 MEETINGHOUSE LN,ALDIE,20105,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,2,5,5,35,2,2,53,4,0,2,0,0,2,2,47,0,5,56,<=2,0,2,8.97,8.97,0,0,,109,48.62,51.38,2,2,7,7,82,2,7,0,4,1.83,1.83,6.42,6.42,75.23,1.83,6.42,0,3.67,0,0,0,0,5.5,321579,58469,508914,326757,9845,0,499,515,479,,,,,487,,,459,466,469,,,,,,,495.058,464.3518,10.09,0,0,76.15,47.71,52.29,0,72923,70829,2729,2855,3.742304,.0403083,100,2.423077,100,4.691348,2.193886,12.15162,15.90492,-12.16261,90.38022,9.619781,1.486381,.9366957,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,-117.0017,-11.39267,-32.53995
-77.0563739,38.8137514,GEORGE WASHINGTON 1 MIDDLE,ALEXANDRIA CITY PBLC SCHS,_12,"1005 Mt Vernon Ave, Alexandria, VA 22301",Principal: Gregory Tardieu,(703) 706-4500,Fully Accredited,1,2,1,12,1,5,1,28,70,1,26,72,1,41,56,1,15,0,532,1005 Mt Vernon Ave,ALEXANDRIA,VA,USA,0,0,5.100e+11,5.100e+11,5100120,42,1005 MT VERNON AVE,ALEXANDRIA,22301,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,5,71,68,95,0,0,241,58,5,50,0,11,68,65,92,0,2,238,22,2,26,56.8,50.7,15,1,,479,50.31,49.69,2,16,139,133,187,0,2,7,76,.42,3.34,29.02,27.77,39.04,0,.42,1.46,15.87,26.41,1.76,0,0,56,4113984,73464,4992215,4113984,74569,0,,,,481,469,476,,,436,,,,,426,411,362,423,,488,460.1482,398.9811,47.1,27.59,0,38.59,51.66,48.34,10.99,14964,14607,2386,2411,15.94493,.1650579,71.83,2.5,89.26057,6.1717,4.039536,8.433099,15.90492,.0400152,90.38022,-18.55022,1.486381,1.013619,97.32459,-8.064026,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,-.742291,.0405602,-.3226838
-77.0579649,38.822371,GEORGE WASHINGTON 2 MIDDLE,ALEXANDRIA CITY PBLC SCHS,_12,"1005 Mt. Vernon Avenue, Alexandria, VA 22301",Principal: Pierrette Hall,(703) 706-4500,Accredited with Warning,0,2,1,12,1,5,1,36,62,0,26,72,1,41,56,1,11,2,7082,1005 Mt. Vernon Avenue,ALEXANDRIA,VA,USA,0,0,5.100e+11,5.100e+11,5100120,2813,1005 MT. VERNON AVENUE,ALEXANDRIA,22301,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,11,62,71,86,0,2,234,46,2,47,0,14,62,71,95,0,0,242,22,0,32,56.6,50.5,17,1,,476,49.16,50.84,2,25,124,142,181,0,2,2,79,.42,5.25,26.05,29.83,38.03,0,.42,.42,16.6,30.04,1.77,0,0,56,3991879,71284,4892019,3991879,78911,0,,,,473,457,469,,,432,,,,,393,404,361,416,,500,452.6865,390.7535,50.62,29.42,4.12,36.83,50,50,10.29,14964,14607,2386,2411,15.94493,.1650579,68.19,1.722222,89.22262,6.165418,4.036009,8.409894,15.90492,.0400152,90.38022,-22.19022,1.486381,.235841,97.32459,-8.101974,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,-.8879464,.0094372,-.3242023
-77.0805869,38.814174,DOUGLAS MACARTHUR ELEM,ALEXANDRIA CITY PBLC SCHS,_12,"1101 Janneys Ln, Alexandria, VA 22302",Principal: Rae Covey,(703) 461-4190,Fully Accredited,2,2,1,12,1,5,1,39,56,2,26,72,1,41,56,1,6,0,491,1101 Janneys Ln,ALEXANDRIA,VA,USA,0,0,5.100e+11,5.100e+11,5100120,39,1101 JANNEYS LN,ALEXANDRIA,22302,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,0,20,50,74,182,0,0,326,73,5,50,2,20,50,59,191,2,0,324,34,2,32,52.2,47,4,2,,650,50.15,49.85,2,40,100,133,373,2,0,7,82,.31,6.15,15.38,20.46,57.38,.31,0,1.08,12.62,7.66,3.83,0,0,51,3870345,75889,4892698,3870345,96651,0,486,512,502,,,,,491,,,426,421,411,459,,,,,,497.705,420.7038,25.19,17.88,5.75,57.08,50.23,49.77,5.29,14964,14607,2386,2411,15.94493,.1650579,88.51,1.435897,90.03831,6.476973,3.955082,12.45211,15.90492,.0400152,90.38022,-1.870216,1.486381,-.0504837,97.32459,-7.286278,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,-.0748371,-.0020201,-.291562
-77.0837069,38.835882,CHARLES BARRETT ELEM,ALEXANDRIA CITY PBLC SCHS,_12,"1115 Martha Custis Dr, Alexandria, VA 22302",Principal: Mr. Seth Kennard,(703) 824-6960,Fully Accredited,3,2,1,12,1,5,1,19,81,0,26,72,1,41,56,1,17,0,492,1115 Martha Custis Dr,ALEXANDRIA,VA,USA,0,0,5.100e+11,5.100e+11,5100120,38,1115 MARTHA CUSTIS DR,ALEXANDRIA,22302,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,2,8,53,38,107,0,0,208,52,2,53,2,5,41,35,101,0,0,184,28,2,41,32,25,10,3,,392,53.06,46.94,4,13,94,73,208,0,0,4,94,1.02,3.32,23.98,18.62,53.06,0,0,1.02,23.98,31.25,9.38,0,0,32,2402067,75065,3158897,2402067,63482,0,451,486,507,,,,,475,,,403,418,450,,,,,,,479.2234,420.9595,30.61,16.33,0,53.06,51.53,48.47,8.93,14964,14607,2386,2411,15.94493,.1650579,59.37,4.263158,78.125,5.971262,3.465736,12.25,15.90492,.0400152,90.38022,-31.01022,1.486381,2.776777,97.32459,-19.19959,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,-1.240881,.1111133,-.7682759
-77.0472483,38.8064111,JEFFERSON-HOUSTON ELEM,ALEXANDRIA CITY PBLC SCHS,_12,"1501 Cameron St, Alexandria, VA 22314",Principal: Rosalyn Rice-Harris,(703) 706-4400,Accreditation Denied,1,2,1,12,1,5,1,21,68,5,26,72,1,41,56,1,9,0,537,1501 Cameron St,ALEXANDRIA,VA,USA,1,0,5.100e+11,5.100e+11,5100120,44,1501 CAMERON ST,ALEXANDRIA,22314,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,2,38,134,38,0,0,214,103,0,32,2,5,17,98,32,0,0,154,43,0,26,49.35,44.45,10,0,,368,58.15,41.85,4,7,55,232,70,0,0,0,58,1.09,1.9,14.95,63.04,19.02,0,0,0,15.76,20.26,0,1,0,48,3527372,73487,4541366,3527372,62110,0,377,421,423,400,417,422,,398,416,,386,370,344,377,365,,386,,,418.1875,363.4344,67.76,61.75,0,19.13,57.92,42.08,17.49,14964,14607,2386,2411,15.94493,.1650579,79.74,3.238095,90.07092,5.908083,3.898938,7.45694,15.90492,.0400152,90.38022,-10.64022,1.486381,1.751714,97.32459,-7.25367,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,-.4257708,.0700952,-.2902572
-77.0753589,38.833004,GEORGE MASON ELEM,ALEXANDRIA CITY PBLC SCHS,_12,"2601 Cameron Mills Rd, Alexandria, VA 22302",Principal: Kevin West,(703) 706-4470,Fully Accredited,0,2,1,12,1,5,1,18,83,0,26,72,1,41,56,1,5,0,538,2601 Cameron Mills Rd,ALEXANDRIA,VA,USA,0,0,5.100e+11,5.100e+11,5100120,41,2601 CAMERON MILLS RD,ALEXANDRIA,22302,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,2,5,68,23,152,0,0,250,49,0,56,5,5,65,20,140,0,0,235,13,0,38,40.6,35,7,1,,485,51.55,48.45,7,10,133,43,292,0,0,0,94,1.44,2.06,27.42,8.87,60.21,0,0,0,19.38,17.24,2.46,0,0,39,2784588,71400,3575403,2784588,64679,0,473,505,508,,,,,477,,,420,437,435,480,,,,,,489.7993,429.3447,31.14,5.93,0,61.65,51.06,48.94,5.72,14964,14607,2386,2411,15.94493,.1650579,80.3,4.611111,86.20689,6.184149,3.703768,11.94581,15.90492,.0400152,90.38022,-10.08022,1.486381,3.12473,97.32459,-11.1177,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,-.403362,.1250368,-.4448772
-77.0625429,38.816594,MOUNT VERNON ELEM,ALEXANDRIA CITY PBLC SCHS,_12,"2601 Commonwealth Ave, Alexandria, VA 22305",Principal: Peter Balas,(703) 706-4460,Fully Accredited,0,2,1,12,1,5,1,26,73,0,26,72,1,41,56,1,17,2,533,2601 Commonwealth Ave,ALEXANDRIA,VA,USA,0,0,5.100e+11,5.100e+11,5100120,50,2601 COMMONWEALTH AVE,ALEXANDRIA,22305,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,5,215,23,119,0,0,362,79,5,179,0,2,179,35,119,0,0,335,52,2,137,70.2,63.7,18,6,,697,51.94,48.06,0,7,394,58,238,0,0,7,316,0,1,56.53,8.32,34.15,0,0,1,45.34,25.64,8.55,1,0,69,4765748,69069,6328062,4765748,69,0,461,448,454,,,,,444,,,419,395,419,,,,,,,451.7654,410.2727,1.96,8.13,0,32.96,52.73,47.27,4.07,14964,14607,2386,2411,15.94493,.1650579,65.81,2.807692,90.74074,6.546785,4.251348,9.928775,15.90492,.0400152,90.38022,-24.57022,1.486381,1.321311,97.32459,-6.583855,-6.964747,6.72269,-3.53022,5.499779,-.6634321,.3621037,.1176758,2.675407,-.9831828,.0528726,-.2634544
